variable	variable2	values	mappedTerm	valueOrder
st3participantsample_data_2022-01-10_1509::redcap_repeat_instance	st3participantsample_data_2022-01-10_1509::redcap_repeat_instance	1		
st3participantsample_data_2022-01-10_1509::redcap_repeat_instance	st3participantsample_data_2022-01-10_1509::redcap_repeat_instance	2		
st3participantsample_data_2022-01-10_1509::redcap_repeat_instance	st3participantsample_data_2022-01-10_1509::redcap_repeat_instance	3		
st3participantsample_data_2022-01-10_1509::redcap_repeat_instance	st3participantsample_data_2022-01-10_1509::redcap_repeat_instance	4		
st3participantsample_data_2022-01-10_1509::redcap_repeat_instance	st3participantsample_data_2022-01-10_1509::redcap_repeat_instance	5			
st3participantsample_data_2022-01-10_1509::rdt_yn	st3participantsample_data_2022-01-10_1509::rdt_yn	0	No	
st3participantsample_data_2022-01-10_1509::rdt_yn	st3participantsample_data_2022-01-10_1509::rdt_yn	1	Yes	
st3participantsample_data_2022-01-10_1509::rdt_rad	st3participantsample_data_2022-01-10_1509::rdt_rad	0	Negative	1
st3participantsample_data_2022-01-10_1509::rdt_rad	st3participantsample_data_2022-01-10_1509::rdt_rad	1	Plasmodium falciparum	2
st3participantsample_data_2022-01-10_1509::rdt_rad	st3participantsample_data_2022-01-10_1509::rdt_rad	2	Plasmodium vivax	3
st3participantsample_data_2022-01-10_1509::rdt_rad	st3participantsample_data_2022-01-10_1509::rdt_rad	3	Mixed Plasmodium falciparum and vivax	4
st3participantsample_data_2022-01-10_1509::hgb_yn	st3participantsample_data_2022-01-10_1509::hgb_yn	0	No	
st3participantsample_data_2022-01-10_1509::hgb_yn	st3participantsample_data_2022-01-10_1509::hgb_yn	1	Yes		
st3participantsample_data_2022-01-10_1509::samplefilt_rad	st3participantsample_data_2022-01-10_1509::samplefilt_rad	0	No	
st3participantsample_data_2022-01-10_1509::samplefilt_rad	st3participantsample_data_2022-01-10_1509::samplefilt_rad	1	Yes	
st3participantsample_data_2022-01-10_1509::samplesmear_rad	st3participantsample_data_2022-01-10_1509::samplesmear_rad	0	No	
st3participantsample_data_2022-01-10_1509::samplesmear_rad	st3participantsample_data_2022-01-10_1509::samplesmear_rad	1	Yes	
st3participantsample_data_2022-01-10_1509::samplevette_rad	st3participantsample_data_2022-01-10_1509::samplevette_rad	0	No	
st3participantsample_data_2022-01-10_1509::samplevette_rad	st3participantsample_data_2022-01-10_1509::samplevette_rad	1	Yes	
