IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,house_rad,1,gujaratseveremalaria_data_2020-03-015_revised,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,House is made from,"88888, missing | 5, Other | 4, Thatch | 2, Brick | 1, Mud | 3, Concrete",variable,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021208,Other building material,house_other,2,gujaratseveremalaria_data_2020-03-015_revised,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"If other, specify",,variable,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_00000009,Country,country,1,,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,"variable,derived",,,,India ICEMR Severe P.vivax and falciparum Cohort,ENVO_00000004,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000773,Village,village,2,gujaratseveremalaria_data_2020-03-015_revised,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Village/Nagar,,variable,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,yes,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000444,Taluk,city,3,gujaratseveremalaria_data_2020-03-015_revised,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,City/Taluk/Tehsil,,variable,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,yes,,,,,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,1,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,2,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,,3,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,4,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,,5,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,,,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,,,multifilter,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021093,Water source,water_rad,1,gujaratseveremalaria_data_2020-03-015_revised,,Household,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,Water source,"88888, missing | 6, Other | 4, Stream/river | 3, Open well | 2, Bore well | 5, Public tank/pump | 1, Indoor plumbing",variable,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021211,Other water source,water_rad_other,2,gujaratseveremalaria_data_2020-03-015_revised,,Household,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,"If other, specify",,variable,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000435,Poverty line,ses_rad,,gujaratseveremalaria_data_2020-03-015_revised,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Socioeconomic status,"88888, missing | 1, Above poverty line | 2, Below poverty line",variable,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021071,Indoor,sprayed_chk___2,1,gujaratseveremalaria_data_2020-03-015_revised,,Household,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,Sprayed in last 12 months,"88888, missing | 1, No/not applicable | 2, Indoor | 3, Outdoor | 4, Can't remember",value,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021072,Outdoor,sprayed_chk___3,2,gujaratseveremalaria_data_2020-03-015_revised,,Household,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,Sprayed in last 12 months,"88888, missing | 1, No/not applicable | 2, Indoor | 3, Outdoor | 4, Can't remember",value,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021073,Can't remember,sprayed_chk___4,3,gujaratseveremalaria_data_2020-03-015_revised,,Household,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,Sprayed in last 12 months,"88888, missing | 1, No/not applicable | 2, Indoor | 3, Outdoor | 4, Can't remember",value,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021200,Missing,sprayed_chk___88888,4,gujaratseveremalaria_data_2020-03-015_revised,,Household,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,Sprayed in last 12 months,"88888, missing | 1, No/not applicable | 2, Indoor | 3, Outdoor | 4, Can't remember",value,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021070,No/not applicable,sprayed_chk___1,5,gujaratseveremalaria_data_2020-03-015_revised,,Household,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,Sprayed in last 12 months,"88888, missing | 1, No/not applicable | 2, Indoor | 3, Outdoor | 4, Can't remember",value,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,India ICEMR Severe P.vivax and falciparum Cohort,,,,,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0010075,Height,height,1,gujaratseveremalaria_data_2020-03-015_revised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,Height,,variable,yes,,,India ICEMR Severe P.vivax and falciparum Cohort,,cm,http://purl.obolibrary.org/obo/UO_0000015,,,,,,
