file	category	id
jaintia_data_2021-01-22_1315visits1_2_hh	participant	cenid+redcap_repeat_instrument
jaintia_data_2021-01-22_1315visits1_2_hh	household	cenid
khasi_data_2021-01-22_1310visits1_2_hh	participant	cenid+redcap_repeat_instrument
khasi_data_2021-01-22_1310visits1_2_hh	household	cenid
jaintia_data_2021-01-22_1315visits1_2_part	sample	cenid+redcap_repeat_instrument+redcap_repeat_instance
jaintia_data_2021-01-22_1315visits1_2_part	observation	cenid+redcap_repeat_instrument+redcap_repeat_instance
jaintia_data_2021-01-22_1315visits1_2_part	participant	cenid+redcap_repeat_instrument
jaintia_data_2021-01-22_1315visits1_2_part	household	cenid
khasi_data_2021-01-22_1310visits1_2_part	sample	cenid+redcap_repeat_instrument+redcap_repeat_instance
khasi_data_2021-01-22_1310visits1_2_part	observation	cenid+redcap_repeat_instrument+redcap_repeat_instance
khasi_data_2021-01-22_1310visits1_2_part	participant	cenid+redcap_repeat_instrument
khasi_data_2021-01-22_1310visits1_2_part	household	cenid
