colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,uniqueVar,dataSet,variable_dataFile,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
1,starttime,bednet level data baseline survey,discard,,,Date/time of start of interview,NA,,,,Datetime stamp - automatically generated,bednet level data baseline survey::starttime,LLINEUP2,starttime,chr,17:58.0,NA,NA,>10 unique values,1629,0,duplicated variable
2,date,bednet level data baseline survey,discard,,,NA,NA,,,,NA,bednet level data baseline survey::date,LLINEUP2,date,chr,4/11/21,date?,%Y-%m-%d,>10 unique values,27,0,duplicated variable
3,hhid,bednet level data baseline survey,discard,,,Household ID,NA,,,,"9-digit number generated at the time of the first HH visit, composed of the following:

Survey: 1 digit
MRC: 2 digits [01-70]
village code: 2 digits [01-99]
Household number: 4 digits [0001-_ _]
",bednet level data baseline survey::hhid,LLINEUP2,hhid,int,115010040,NA,NA,106010004 to 163070043,610,0,duplicated variable
4,mrccode,bednet level data baseline survey,discard,,,NA,NA,,,,NA,bednet level data baseline survey::mrccode,LLINEUP2,mrccode,int,15,NA,NA,6 to 63,12,0,duplicated variable
5,region,bednet level data baseline survey,discard,,,NA,NA,,,,NA,bednet level data baseline survey::region,LLINEUP2,Region,int,3,NA,NA,1 to 7,6,0,duplicated variable
6,llinarm,bednet level data baseline survey,discard,,,NA,NA,,,,NA,bednet level data baseline survey::llinarm,LLINEUP2,LLINarm,int,1,NA,NA,1 to 2,2,0,duplicated variable
7,llindistmonth,bednet level data baseline survey,discard,,,NA,NA,,,,NA,bednet level data baseline survey::llindistmonth,LLINEUP2,LLINdistmonth,int,731,NA,NA,731 to 734,2,0,duplicated variable
8,netnum,bednet level data baseline survey,discard,,,Net Number,NA,,,,Consecutive number starting with 1 and continuing for all nets in the house,bednet level data baseline survey::netnum,LLINEUP2,netnum,int,1,NA,NA,1 to 9,9,0,NA
9,uniquebnid,bednet level data baseline survey,discard,,,NA,NA,,,,NA,bednet level data baseline survey::uniquebnid,LLINEUP2,uniqueBNid,int,1150100401,NA,NA,1060100041 to 1630700433,1631,0,NA
10,obs,bednet level data baseline survey,discard,,,May I have a look at net number [[netnum]] to establish the brand?,"1 - Observed
0 - Not observed
-9: Skipped",,,,NA,bednet level data baseline survey::obs,LLINEUP2,obs,chr,Observed,NA,NA,"Not observed, Observed",2,0,NA
11,labelobs,bednet level data baseline survey,discard,,,Was the label observed?,"1 - Yes
0 - No
-9: Skipped",,,,NA,bednet level data baseline survey::labelobs,LLINEUP2,labelobs,chr,Yes,NA,NA,"No, Yes",2,0,NA
12,brandnet,bednet level data baseline survey,discard,,,What is the brand of net number [[netnum]] ?,"1 - Royal Guard 
2 - PermaNet 2.0
3 - PermaNet 3.0
4 - Olyset Net
5- Olyset Net Plus
6 - Duranet
7 - Interceptor
8 - Netprotect
9 - KO net 
11 - Iconet
12 - Safi net
13 - B52
14 - Bamboo hut
15 - Century
16 - Lucky net
17 - Victoria
18 - Homemade net
19 - Dawa net
20 - Iconlife
21 - Yorkool
22 - Safe Net
23 - DK
24- Kooper net
25 - Royal Sentry Net
26 - LLIN NOS (long lasting)
27 - Untreated LLIN NOS
28 - No label
29 - Not observed
96 - Other brand
-7 - Don't  Know
-8- Refused to Answer",,,,skip removed,bednet level data baseline survey::brandnet,LLINEUP2,brandnet,chr,PermaNet 3.0,NA,NA,>10 unique values,13,0,NA
13,otherb,bednet level data baseline survey,discard,,,Specify other brands or types of mosquito net,NA,,,,NA,bednet level data baseline survey::otherb,LLINEUP2,otherb,chr,-9,NA,NA,"-9, MAG-NET, MAGNET, NOT OBSERVED",4,0,NA
14,netbrandhow,bednet level data baseline survey,discard,,,How was brand of the net determined?,"1 <U+2013>Saw net + label
2 <U+2013>Saw net but not label so guessed
3 <U+2013>Didn<U+2019>t see net but was told net type by household resident
4 <U+2013>Guessed based on nets distributed in this cluster
96<U+2013> Other (Specify)",,,,NA,bednet level data baseline survey::netbrandhow,LLINEUP2,netbrandhow,int,1,NA,NA,-7 to 3,4,0,NA
15,othbrandhow,bednet level data baseline survey,discard,,,Please specify other way you determined the net brand,NA,,,,NA,bednet level data baseline survey::othbrandhow,LLINEUP2,othbrandhow,chr,-9,NA,NA,"-9, HAD NO LABEL, NO LABEL, NOT OBSERVED WAS JUST TOLD",4,0,NA
16,nethung,bednet level data baseline survey,discard,,,"If observed, was the net hanging?","1 <U+2013> Yes 
0 <U+2013> No
-9: Skipped",,,,NA,bednet level data baseline survey::nethung,LLINEUP2,nethung,int,1,NA,NA,-9 to 1,3,0,NA
17,everhung,bednet level data baseline survey,discard,,,"If not hanging, was this net ever hung?","1 <U+2013> Yes 
0 <U+2013> No
-9: Skipped",,,,NA,bednet level data baseline survey::everhung,LLINEUP2,everhung,int,-9,NA,NA,-9 to 1,3,0,NA
18,everhung1,bednet level data baseline survey,discard,,,"If not observed, was this net ever hung?","1 <U+2013> Yes 
0 <U+2013> No
-9: Skipped",,,,NA,bednet level data baseline survey::everhung1,LLINEUP2,everhung1,int,-9,NA,NA,-9 to 1,3,0,NA
19,nethungcat,bednet level data baseline survey,discard,,,NA,NA,,,,NA,bednet level data baseline survey::nethungcat,LLINEUP2,nethungcat,int,1,NA,NA,1 to 3,3,0,NA
20,howoldnet,bednet level data baseline survey,discard,,,"How many months ago did your household obtain net number [[netnum]]?

IF LESS THAN ONE MONTH, WRITE '0'.
IF MORE THAN 36 MONTHS AGO RECORD 37",-7: Don't know,,,,NA,bednet level data baseline survey::howoldnet,LLINEUP2,howoldnet,int,5,NA,NA,-7 to 37,20,0,NA
21,howoldnetcat,bednet level data baseline survey,discard,,,NA,NA,,,,NA,bednet level data baseline survey::howoldnetcat,LLINEUP2,howoldnetcat,int,3,NA,NA,1 to 5,5,0.001226242,NA
22,uccnet,bednet level data baseline survey,discard,,,Did you receive this net in the 2020-2021 UCC?,"1 <U+2013> Yes 
0 <U+2013> No",,,,NA,bednet level data baseline survey::uccnet,LLINEUP2,uccnet,chr,Yes,NA,NA,"No, Yes",2,0,NA
23,wherenet,bednet level data baseline survey,discard,,,"If not, where did you get net [[netnum]] from?","1 <U+2013> Prior UCC
2 -- Gov't hospital
3 <U+2013> Gov't health center
4 <U+2013> Private hospital/clinic
5 <U+2013> Private pharmacy
6 <U+2013> Shop
7 <U+2013> Open market
8 <U+2013> Hawker
9 <U+2013> Project/NGO
10 <U+2013> Campaign/VHT (Community, school, etc.)
11 <U+2013> Church
12 <U+2013> Friend/Relative
96 <U+2013> Other 
-7: Don't know
-8: Refused to answer
",,,,"Added in option '0' for the MOH UCC, and deleted option '12' for village leader",bednet level data baseline survey::wherenet,LLINEUP2,wherenet,chr,Most recent UCC,NA,NA,"Church, Don't know, Gov't hospital, Hawker, Most recent UCC, Open market, Prior UCC, Private pharmacy, Project/NGO/Non-health facility, Shop",10,0,NA
24,spcfro,bednet level data baseline survey,discard,,,Specify other source of net [[netnum]],NA,,,,NA,bednet level data baseline survey::spcfro,LLINEUP2,spcfro,chr,-9,NA,NA,"-9, GOVERNMENT IN PARISHES, MILITARY GROUP, PREVIOUS CAMPAIGN, UCC 2017, UCC 2019, UCC2017",7,0,NA
25,free,bednet level data baseline survey,discard,,,Was net number [[netnum]] given to you free of charge?  Or did you or someone in your household pay for this net?,"1 <U+2013> Free 
2 <U+2013> Paid for
-7: Don't know
-8: Refused to answer
",,,,NA,bednet level data baseline survey::free,LLINEUP2,free,chr,Free,NA,NA,"Free, Paid for",2,0,NA
26,slpnet,bednet level data baseline survey,discard,,,Did anyone sleep under net number [[netnum]] last night?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",,,,net washed,bednet level data baseline survey::slpnet,LLINEUP2,slpnet,chr,Yes,NA,NA,"No, Yes",2,0,NA
27,sleptunder,bednet level data baseline survey,discard,,,Who slept under net number [[netnum]] last night?,-6: N/A,,,,"Multiple response question; Comma separated list of each linenum of the people who slept under the net

Logic check: Person cannot sleep under more than 1 net",bednet level data baseline survey::sleptunder,LLINEUP2,sleptunder,chr,1,NA,NA,>10 unique values,95,0,NA
28,anynet,bednet level data baseline survey,discard,,,NA,NA,,,,NA,bednet level data baseline survey::anynet,LLINEUP2,ANYnet,int,1,NA,NA,1 to 1,1,0,NA
29,anyllin,bednet level data baseline survey,discard,,,NA,NA,,,,NA,bednet level data baseline survey::anyllin,LLINEUP2,ANYLLIN,int,1,NA,NA,0 to 1,2,0,NA
1,intnum,clinical survey level data baseline survey,discard,,,Interviewer's Number,NA,,,,Each census worker will be assigned a unique ID,clinical survey level data baseline survey::intnum,LLINEUP2,intnum,int,18,NA,NA,11 to 21,10,0,duplicated variable
2,starttime,clinical survey level data baseline survey,discard,,,Date/time of start of interview,NA,,,,Datetime stamp - automatically generated,clinical survey level data baseline survey::starttime,LLINEUP2,starttime,chr,18:31.0,NA,NA,>10 unique values,1162,0,duplicated variable
3,date,clinical survey level data baseline survey,keep,,,NA,NA,,,,NA,clinical survey level data baseline survey::date,LLINEUP2,date,chr,4/11/21,date?,%Y-%m-%d,>10 unique values,27,0,duplicated variable
4,hhid,clinical survey level data baseline survey,discard,,,Household ID,NA,,,,"9-digit number generated at the time of the first HH visit, composed of the following:

Survey: 1 digit
MRC: 2 digits [01-70]
village code: 2 digits [01-99]
Household number: 4 digits [0001-_ _]
",clinical survey level data baseline survey::hhid,LLINEUP2,HHID,int,115010040,NA,NA,106010004 to 163070043,607,0,duplicated variable
5,linenum,clinical survey level data baseline survey,discard,,,Household member's line number (head of household=1),NA,,,,NA,clinical survey level data baseline survey::linenum,LLINEUP2,LINENUM,int,3,NA,NA,2 to 14,13,0,duplicated variable
6,uniqueid,clinical survey level data baseline survey,discard,,,NA,NA,,,,NA,clinical survey level data baseline survey::uniqueid,LLINEUP2,uniqueid,dbl,11501004003,NA,NA,10601000403 to 16307004310,1164,0,duplicated variable
7,age,clinical survey level data baseline survey,keep,,,Age in years,NA,,,,NA,clinical survey level data baseline survey::age,LLINEUP2,age,int,10,NA,NA,2 to 10,9,0,duplicated variable
