order,colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
,,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,LLINEUP2,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,LLINEUP2,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,LLINEUP2,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,LLINEUP2,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,LLINEUP2,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,LLINEUP2,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,LLINEUP2,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0051964,Health care,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,LLINEUP2,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0021097,Personal vector intervention,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,LLINEUP2,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,LLINEUP2,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0051106,COVID-19 knowledge,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,LLINEUP2,,,,,,,,,,
,,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,LLINEUP2,,,,,,,,,,
,,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,LLINEUP2,,,,,,,,,,
,,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,LLINEUP2,,,,,,,,,,
57,57,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,household level data baseline survey::electricity,1,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,"Does your household have...

...Electricity?","1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
58,58,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,household level data baseline survey::radio,2,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,...Radio?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
59,59,http://purl.obolibrary.org/obo/ENVO_01000578,Cassette player,household level data baseline survey::cassette,3,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Cassette player?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
60,60,http://purl.obolibrary.org/obo/ENVO_01000579,Television,household level data baseline survey::tv,4,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Television?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
61,61,http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,household level data baseline survey::fridge,5,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Refrigerator?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
62,62,http://purl.obolibrary.org/obo/ENVO_01000584,Table,household level data baseline survey::tble,6,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Table?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
63,63,http://purl.obolibrary.org/obo/ENVO_01000586,Chair,household level data baseline survey::chair,7,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Chairs?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
64,64,http://purl.obolibrary.org/obo/ENVO_01000588,Sofa,household level data baseline survey::sofa,8,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Sofa set?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
65,65,http://purl.obolibrary.org/obo/ENVO_00000501,Bed,household level data baseline survey::bed,9,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Bed?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
66,66,http://purl.obolibrary.org/obo/ENVO_01000595,Cupboard,household level data baseline survey::cupboard,10,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Cupboard?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
67,67,http://purl.obolibrary.org/obo/ENVO_01000596,Clock,household level data baseline survey::clock,11,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Clock?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
68,68,http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,household level data baseline survey::mobile,12,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,"Does any member of your household own or have

 Mobile phone?","1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
69,69,http://purl.obolibrary.org/obo/EUPATH_0000186,Watch,household level data baseline survey::watch,13,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,A watch?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
70,70,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,household level data baseline survey::bicycle,14,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,.A bicycle?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
71,71,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,household level data baseline survey::scooter,15,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,A motorcycle or motor scooter?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
72,72,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,household level data baseline survey::car,16,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,A car or truck?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
73,73,http://purl.obolibrary.org/obo/EUPATH_0000179,Boat with a motor,household level data baseline survey::mboat,17,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,A boat with a motor?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
74,74,http://purl.obolibrary.org/obo/EUPATH_0000170,Boat without a motor,household level data baseline survey::nomboat,18,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,A boat without a  motor?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
75,75,http://purl.obolibrary.org/obo/EUPATH_0000167,Bank account,household level data baseline survey::bankacco,19,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,A bank account?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
76,76,http://purl.obolibrary.org/obo/EUPATH_0020205,Internet device,household level data baseline survey::internet,20,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,A device that can be used to access the internet?,"1 - Yes
0 - No
-7: Don't know
-8: Refused to answer",value,,,,LLINEUP2,,,,,,,,,,
78,79,http://purl.obolibrary.org/obo/EUPATH_0044109,Smartphone,household level data baseline survey::smartphone,21,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Smartphone,"1 - Yes
0 - No",value,,,,LLINEUP2,,,,,,,,,,
79,80,http://purl.obolibrary.org/obo/EUPATH_0044110,Tablet computer,household level data baseline survey::tablet,22,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Tablet,"1 - Yes
0 - No",value,,,,LLINEUP2,,,,,,,,,,
80,81,http://purl.obolibrary.org/obo/EUPATH_0044108,Laptop computer,household level data baseline survey::laptop,23,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,laptop,"1 - Yes
0 - No",value,,,,LLINEUP2,,,,,,,,,,
81,82,http://purl.obolibrary.org/obo/EUPATH_0044107,Desktop computer,household level data baseline survey::desktop,24,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,desktop,"1 - Yes
0 - No",value,,,,LLINEUP2,,,,,,,,,,
37,31,http://purl.obolibrary.org/obo/EUPATH_0000023,Cooking fuel,household level data baseline survey::fueltype,1,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,What type of fuel does your household mainly use for cooking?,"1 - electricity
2 - lpg/natural gas
3 - biogas
4 - paraffin/kerosene
5 - charcoal
6 - firewood
7 - straw/shrubs/grass
8 - animal dung
95 - no food cooked in household
96 - other
-8: Refused to answer",variable,,,,LLINEUP2,,,,,,,,,,
38,33,http://purl.obolibrary.org/obo/EUPATH_0000023,Cooking fuel,household level data baseline survey::otherfuel,,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,Specify other type of fuel used,,variable,,,,LLINEUP2,,,,,,,,,,
39,34,http://purl.obolibrary.org/obo/OBI_0400065,Lighting source,household level data baseline survey::senergy,2,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,What is the main source of energy for lighting in the household?,"1 - electricity
2 - solar
3 - gas
4 - paraffin - hurricane lamp
5 - paraffin - pressure lamp
6 - paraffin - wick lamp
7 - firewood
8 - candles
9 - torch/battery powered lamp
96 - other
-8: Refused to answer",variable,,,,LLINEUP2,,,,,,,,,,
40,36,http://purl.obolibrary.org/obo/OBI_0400065,Lighting source,household level data baseline survey::othereng,,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,Specify other source of energy for lighting,,variable,,,,LLINEUP2,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,,3,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,,,category,,,,LLINEUP2,,,,,,,,,,
41,37,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,household level data baseline survey::mmfloor,1,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"MAIN MATERIAL OF THE FLOOR 
 
RECORD OBSERVATION.","11 - earth or sand
12 - earth and dung
31 - parquet or polished wood
33 - mosaic or tiles
34 - bricks
35 - cement/concrete
36 - stones
96 - other
-9: Skipped",variable,,,,LLINEUP2,,,,,,,,,,
42,39,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,household level data baseline survey::othermmf,,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Specify other material of the floor,,variable,,,,LLINEUP2,,,,,,,,,,
43,40,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,household level data baseline survey::mmroof,2,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"MAIN MATERIAL OF THE ROOF.
  
RECORD OBSERVATION.","11 - thatched (including papyrus)
12 - mud
21 - wood/planks
22 - iron sheets
23 - asbestos
24 - tiles
25 - tin
26 - cement
96 - other
-9: Skipped",variable,,,,LLINEUP2,,,,,,,,,,
44,42,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,household level data baseline survey::othermmr,,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Specify other material of the roof,,variable,,,,LLINEUP2,,,,,,,,,,
45,43,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,household level data baseline survey::mmewalls,3,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"MAIN MATERIAL OF THE EXTERIOR WALLS.
  
RECORD OBSERVATION.","11 - thatched/straw
21 - mud and poles
22 - un-burnt bricks
23 - un-burnt bricks with plaster/cement
24 - burnt bricks with mud
31 - cement blocks
32 - stone
33 - timber
34 - burnt bricks with plaster/cement
35 - iron sheets
96 - other
-9: Skipped",variable,,,,LLINEUP2,,,,,,,,,,
46,45,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,household level data baseline survey::othermme,,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Specify other material of the exterior walls,,variable,,,,LLINEUP2,,,,,,,,,,
47,46,http://purl.obolibrary.org/obo/ENVO_01000825,Eaves,household level data baseline survey::eaves,4,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Does the household have eaves?,"1 - Yes
0 - No",variable,,,,LLINEUP2,,,,,,,,,,
48,47,http://purl.obolibrary.org/obo/EUPATH_0042021,Eaves covered,household level data baseline survey::eavetype,5,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"TYPE OF EAVES.
  
RECORD OBSERVATION.","1 - Open
2 - Closed",variable,,,,LLINEUP2,,,,,,,,,,
49,49,http://purl.obolibrary.org/obo/ENVO_01000744,Dwelling type,household level data baseline survey::housetype,6,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,,variable,,,,LLINEUP2,,,,,,,,,,
50,50,http://purl.obolibrary.org/obo/EUPATH_0025050,Windows,household level data baseline survey::windows,7,household level data baseline survey,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Does the household have windows?,"1 - Yes
0 - No",variable,,,,LLINEUP2,,,,,,,,,,
