file	category	id
bednet_12m	bednet	{{b}}+uniquebnid
bednet_24m	bednet	{{b}}+uniquebnid
hh_member_12m	bednet	{{b}}+uniquebnid
hh_member_24m	bednet	{{b}}+uniquebnid
bednet_12m	community	{{c}}+mrccode
bednet_24m	community	{{c}}+mrccode
health_facility	community	{{c}}+newsiteid
hh_12m	community	{{c}}+mrccode
hh_24m	community	{{c}}+mrccode
hh_member_12m	community	{{c}}+mrccode
hh_member_24m	community	{{c}}+mrccode
health_facility	community_repeated_measures	{{cr}}+newsiteid+monthyear
bednet_12m	household	{{h}}+hhid
bednet_24m	household	{{h}}+hhid
hh_12m	household	{{h}}+hhid
hh_24m	household	{{h}}+hhid
hh_member_12m	household	{{h}}+hhid
hh_member_24m	household	{{h}}+hhid
hh_member_12m	participant	{{p}}+uniqueid
hh_member_24m	participant	{{p}}+uniqueid
hh_member_12m	sample	{{s}}+uniqueid
hh_member_24m	sample	{{s}}+uniqueid
