variable	variable2	values	mappedTerm	valueOrder

clinical survey level data baseline survey::consent	clinical survey level data baseline survey::consent	No		
clinical survey level data baseline survey::consent	clinical survey level data baseline survey::consent	Not at home		
clinical survey level data baseline survey::consent	clinical survey level data baseline survey::consent	Yes		
clinical survey level data baseline survey::consent2	clinical survey level data baseline survey::consent2	No		
clinical survey level data baseline survey::consent2	clinical survey level data baseline survey::consent2	Skipped		
clinical survey level data baseline survey::consent2	clinical survey level data baseline survey::consent2	Yes		
clinical survey level data baseline survey::hemocue	clinical survey level data baseline survey::hemocue	Skipped		
clinical survey level data baseline survey::hemocue	clinical survey level data baseline survey::hemocue	Tested			
clinical survey level data baseline survey::hemoglobin	clinical survey level data baseline survey::hemoglobin	NA		
clinical survey level data baseline survey::hbdone	clinical survey level data baseline survey::hbdone	0	No	
clinical survey level data baseline survey::hbdone	clinical survey level data baseline survey::hbdone	1	Yes	
clinical survey level data baseline survey::hbdone	clinical survey level data baseline survey::hbdone	NA	NA	
clinical survey level data baseline survey::anemia11	clinical survey level data baseline survey::anemia11	0	No	
clinical survey level data baseline survey::anemia11	clinical survey level data baseline survey::anemia11	1	Yes	
clinical survey level data baseline survey::anemia11	clinical survey level data baseline survey::anemia11	NA	NA	
clinical survey level data baseline survey::anemia10	clinical survey level data baseline survey::anemia10	0	No	
clinical survey level data baseline survey::anemia10	clinical survey level data baseline survey::anemia10	1	Yes	
clinical survey level data baseline survey::anemia10	clinical survey level data baseline survey::anemia10	NA	NA	
clinical survey level data baseline survey::anemia8	clinical survey level data baseline survey::anemia8	0	No	
clinical survey level data baseline survey::anemia8	clinical survey level data baseline survey::anemia8	1	Yes	
clinical survey level data baseline survey::anemia8	clinical survey level data baseline survey::anemia8	NA	NA	
clinical survey level data baseline survey::fever	clinical survey level data baseline survey::fever	-9		
clinical survey level data baseline survey::fever	clinical survey level data baseline survey::fever	0		
clinical survey level data baseline survey::fever	clinical survey level data baseline survey::fever	1		
clinical survey level data baseline survey::febrile	clinical survey level data baseline survey::febrile	0	No	
clinical survey level data baseline survey::febrile	clinical survey level data baseline survey::febrile	1	Yes	
clinical survey level data baseline survey::febrile	clinical survey level data baseline survey::febrile	NA	NA	
clinical survey level data baseline survey::rdtdone	clinical survey level data baseline survey::rdtdone	-9		
clinical survey level data baseline survey::rdtdone	clinical survey level data baseline survey::rdtdone	0		
clinical survey level data baseline survey::rdtdone	clinical survey level data baseline survey::rdtdone	1		
