variable	variable2	values	mappedTerm
gender_ses	gender_ses	0	Male
gender_ses	gender_ses	1	Female
site_ses	site_ses	1	Bangwe Health Centre
site_ses	site_ses	10	
site_ses	site_ses	11	
site_ses	site_ses	2	Chileka Health Centre
site_ses	site_ses	3	Chilomoni Health Centre
site_ses	site_ses	4	Mpemba Health Centre
site_ses	site_ses	5	Ndirande Health Centre
site_ses	site_ses	6	Zingwangwa Health Centre
site_ses	site_ses	7	
site_ses	site_ses	8	
site_ses	site_ses	9	
bn_zone	bn_zone	-9	Unknown
bn_zone	bn_zone	1	Zone 1
bn_zone	bn_zone	2	Zone 2
bn_zone	bn_zone	3	Zone 3
bn_zone	bn_zone	4	Zone 4
vil_bn1	vil_bn1	1	Railways
vil_bn1	vil_bn1	2	Namiyango Yard
vil_bn1	vil_bn1	3	B.C.A Hills
vil_bn2	vil_bn2	1	Chilambe
vil_bn2	vil_bn2	10	Wisiki thundu
vil_bn2	vil_bn2	11	
vil_bn2	vil_bn2	12	
vil_bn2	vil_bn2	13	
vil_bn2	vil_bn2	15	
vil_bn2	vil_bn2	2	Masala 1 & 2
vil_bn2	vil_bn2	3	Mgomanjira
vil_bn2	vil_bn2	4	Mondiwa mapondo
vil_bn2	vil_bn2	5	Mondiwa mwateya
vil_bn2	vil_bn2	6	Namiyango maplot
vil_bn2	vil_bn2	7	William
vil_bn2	vil_bn2	8	Wisiki (Bangwe market)
vil_bn2	vil_bn2	9	Wisiki lilaka
vil_bn3	vil_bn3	1	Butawo
vil_bn3	vil_bn3	10	Naluso
vil_bn3	vil_bn3	11	Namboya
vil_bn3	vil_bn3	12	Nkhuku ten
vil_bn3	vil_bn3	14	
vil_bn3	vil_bn3	15	
vil_bn3	vil_bn3	16	
vil_bn3	vil_bn3	2	Mathuli
vil_bn3	vil_bn3	3	Mbalame
vil_bn3	vil_bn3	4	Minyanga
vil_bn3	vil_bn3	5	Mpingwe salvation
vil_bn3	vil_bn3	6	Mpingwe school
vil_bn3	vil_bn3	7	Mwamadi delunde
vil_bn3	vil_bn3	8	Mwamadi mfumu
vil_bn3	vil_bn3	9	Mwamadi mvula
vil_bn4	vil_bn4	1	B.C.A Chimaliro
vil_bn4	vil_bn4	10	Namatapa 1
vil_bn4	vil_bn4	11	Namatapa 2
vil_bn4	vil_bn4	12	Nthandizi 1
vil_bn4	vil_bn4	13	Nthandizi 2
vil_bn4	vil_bn4	14	Ntopwa
vil_bn4	vil_bn4	16	B.C.A Chilumba
vil_bn4	vil_bn4	2	B.C.A Chipangala 1
vil_bn4	vil_bn4	3	B.C.A Chipangala 2
vil_bn4	vil_bn4	4	B.C.A Chiswe 1
vil_bn4	vil_bn4	5	B.C.A Chiswe 2
vil_bn4	vil_bn4	6	B.C.A Mtendere
vil_bn4	vil_bn4	7	Mbayani 1
vil_bn4	vil_bn4	8	Mbayani 2
vil_bn4	vil_bn4	9	Nachamba
ck_zone	ck_zone	-9	Unknown
ck_zone	ck_zone	1	Zone 1
ck_zone	ck_zone	2	Zone 2
ck_zone	ck_zone	3	Zone 3
ck_zone	ck_zone	4	Zone 4
ck_zone	ck_zone	5	Zone 5
vil_ck_zone1_ses	vil_ck_zone1_ses	1	Besitala
vil_ck_zone1_ses	vil_ck_zone1_ses	10	
vil_ck_zone1_ses	vil_ck_zone1_ses	11	
vil_ck_zone1_ses	vil_ck_zone1_ses	12	
vil_ck_zone1_ses	vil_ck_zone1_ses	13	
vil_ck_zone1_ses	vil_ck_zone1_ses	15	
vil_ck_zone1_ses	vil_ck_zone1_ses	16	
vil_ck_zone1_ses	vil_ck_zone1_ses	17	
vil_ck_zone1_ses	vil_ck_zone1_ses	18	
vil_ck_zone1_ses	vil_ck_zone1_ses	19	
vil_ck_zone1_ses	vil_ck_zone1_ses	2	Chatha
vil_ck_zone1_ses	vil_ck_zone1_ses	20	
vil_ck_zone1_ses	vil_ck_zone1_ses	21	
vil_ck_zone1_ses	vil_ck_zone1_ses	3	Magombo
vil_ck_zone1_ses	vil_ck_zone1_ses	4	Maleya
vil_ck_zone1_ses	vil_ck_zone1_ses	5	Malizani
vil_ck_zone1_ses	vil_ck_zone1_ses	6	Malunga
vil_ck_zone1_ses	vil_ck_zone1_ses	7	Mbuka
vil_ck_zone1_ses	vil_ck_zone1_ses	8	Mdala
vil_ck2	vil_ck2	1	Chindevu
vil_ck2	vil_ck2	10	Makolosa
vil_ck2	vil_ck2	11	Mpasuka
vil_ck2	vil_ck2	12	Nkuweya
vil_ck2	vil_ck2	13	Peter Bilira
vil_ck2	vil_ck2	14	Puli
vil_ck2	vil_ck2	15	Steven
vil_ck2	vil_ck2	16	
vil_ck2	vil_ck2	2	Galawanda
vil_ck2	vil_ck2	3	Gavi
vil_ck2	vil_ck2	4	Jonathan
vil_ck2	vil_ck2	5	Kafere
vil_ck2	vil_ck2	6	Kapitao
vil_ck2	vil_ck2	7	Kumpanda
vil_ck2	vil_ck2	8	Kunjawa
vil_ck2	vil_ck2	9	Lunzu
vil_ck3	vil_ck3	1	Chikaoneka
vil_ck3	vil_ck3	10	Malaka
vil_ck3	vil_ck3	11	Manya
vil_ck3	vil_ck3	12	Mapemba
vil_ck3	vil_ck3	13	Masitala
vil_ck3	vil_ck3	14	Mkunthiwa
vil_ck3	vil_ck3	15	
vil_ck3	vil_ck3	16	
vil_ck3	vil_ck3	17	
vil_ck3	vil_ck3	18	
vil_ck3	vil_ck3	19	
vil_ck3	vil_ck3	20	
vil_ck3	vil_ck3	21	
vil_ck3	vil_ck3	22	
vil_ck3	vil_ck3	2	Chilawira
vil_ck3	vil_ck3	3	Chinseu
vil_ck3	vil_ck3	4	Chuma
vil_ck3	vil_ck3	5	Dambo
vil_ck3	vil_ck3	6	Gopani
vil_ck3	vil_ck3	7	Holowa
vil_ck3	vil_ck3	8	Khungulu
vil_ck3	vil_ck3	9	Makwinja
vil_ck4	vil_ck4	1	Botomani
vil_ck4	vil_ck4	2	Chaola
vil_ck4	vil_ck4	3	Chinkango
vil_ck4	vil_ck4	4	Chintumbira
vil_ck4	vil_ck4	5	Chiwaya
vil_ck4	vil_ck4	6	John
vil_ck4	vil_ck4	7	Kachiwala
vil_ck4	vil_ck4	8	Malindi
vil_ck4	vil_ck4	9	Njolomole
vil_ck4	vil_ck4	10	Nkata A, B & C
vil_ck4	vil_ck4	11	Muotcha
vil_ck4	vil_ck4	12	Pambaza
vil_ck4	vil_ck4	13	Singano
