IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,Myanmar ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050141,State or region,state,,icemr_preliminarystudy_data_clean,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,State/Region,,variable,,,,Myanmar ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050142,Station hospital or RHC,hospital,,icemr_preliminarystudy_data_clean,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Station Hospital/RHC,,variable,,,,Myanmar ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021094,Study site,site,,icemr_preliminarystudy_data_clean,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Study Site,,variable,,,,Myanmar ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050143,Township,township,,icemr_preliminarystudy_data_clean,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Township,,variable,,,,Myanmar ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,Myanmar ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,Myanmar ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050171,Village visitor count,outsiders_num,,icemr_preliminarystudy_data_clean,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,D1. How many outsiders (not from your village) come into the village on a monthl,,variable,,,,Myanmar ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,Myanmar ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050103,Distance to work or study,work_distance,,icemr_preliminarystudy_data_clean,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,B1. How far away is your place of work or study?,,variable,,,,Myanmar ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050104,Duration at plantation,plantations_duration,,icemr_preliminarystudy_data_clean,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,C2c. Duration of working at plantations,,variable,,,,Myanmar ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050105,Duration of farming,farming_duration,,icemr_preliminarystudy_data_clean,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,C1c. Duration of attending crops/farming,,variable,,,,Myanmar ICEMR,,,,,,,,,,
