variable	IRI	label	parentIRI	parentLabel	codebookDescription
ELECTIRC	EUPATH_0021084	Electricity	EUPATH_0000144	Assets	Does your household have......Electricity?
RADIO		Radio	EUPATH_0000144	Assets	...Radio?
CASSETTE		Cassette player	EUPATH_0000144	Assets	…Cassette player?
TV		Television	EUPATH_0000144	Assets	…Television?
MOBILE		Mobile phone	EUPATH_0000144	Assets	…Mobile phone?
PHONE		Landline phone	EUPATH_0000144	Assets	…Fixed phone?
FRIDGE		Refrigerator	EUPATH_0000144	Assets	…Refrigerator?
TABLE	ENVO_01000584	Table	EUPATH_0000144	Assets	…Table?
CHAIR	ENVO_01000586	Chair	EUPATH_0000144	Assets	…Chairs?
SOFA	ENVO_01000588	Sofa	EUPATH_0000144	Assets	…Sofa set?
BED	ENVO_00000501	Bed	EUPATH_0000144	Assets	…Bed?
CUPBOARD			EUPATH_0000144	Assets	…Cupboard?
CLOCK		Clock	EUPATH_0000144	Assets	…Clock?
WATCH		Watch	EUPATH_0000144	Assets	Does any member of your household own or have… …A watch?
BICYCLE		Bicycle	EUPATH_0000144	Assets	….A bicycle?
SCOOTER	EUPATH_0015006	Motorcycle/Scooter	EUPATH_0000144	Assets	…A motorcycle or motor scooter?
CART		Cart	EUPATH_0000144	Assets	…An animal-drawn cart?
CAR	EUPATH_0015004	Car/Truck	EUPATH_0000144	Assets	…A car or truck?
MBOAT	EUPATH_0015010	Boat with a motor	EUPATH_0000144	Assets	…A boat with a motor?
NOMBOAT		Boat without a motor	EUPATH_0000144	Assets	…A boat without a  motor?
BANKACCO	EUPATH_0000167	Bank account	EUPATH_0000144	Assets	…A boat without a  motor?
