displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType
,,,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,,,category
,,,http://purl.obolibrary.org/obo/EUPATH_0000322,Anopheles funestus,,Entomology,Anopheles,http://purl.obolibrary.org/obo/EUPATH_0025053,,,category
,,,http://purl.obolibrary.org/obo/EUPATH_0000323,Anopheles gambiae sl,,Entomology,Anopheles,http://purl.obolibrary.org/obo/EUPATH_0025053,,,category
4,fedanoph2,CDC LT data through February 28th 2019.dta,http://purl.obolibrary.org/obo/EUPATH_0020082,Bloodfed other Anopheles species count,,Entomology,Anopheles,http://purl.obolibrary.org/obo/EUPATH_0025053,Total blood fed other Anopheles sp.,NA,variable
4,fedanoph1,CDC LT data through February 28th 2019.dta,http://purl.obolibrary.org/obo/EUPATH_0020082,Bloodfed other Anopheles species count,,Entomology,Anopheles,http://purl.obolibrary.org/obo/EUPATH_0025053,Total blood fed other Anopheles sp.,NA,variable
4,fedanoph3,CDC LT data through February 28th 2019.dta,http://purl.obolibrary.org/obo/EUPATH_0020082,Bloodfed other Anopheles species count,,Entomology,Anopheles,http://purl.obolibrary.org/obo/EUPATH_0025053,Total blood fed other Anopheles sp.,NA,variable
1,totalanopheles3,CDC LT data through February 28th 2019.dta,http://purl.obolibrary.org/obo/EUPATH_0000135,Female Anopheles count,,Entomology,Anopheles,http://purl.obolibrary.org/obo/EUPATH_0025053,,,variable
1,totalanopheles2,CDC LT data through February 28th 2019.dta,http://purl.obolibrary.org/obo/EUPATH_0000135,Female Anopheles count,,Entomology,Anopheles,http://purl.obolibrary.org/obo/EUPATH_0025053,,,variable
1,totalanopheles1,CDC LT data through February 28th 2019.dta,http://purl.obolibrary.org/obo/EUPATH_0000135,Female Anopheles count,,Entomology,Anopheles,http://purl.obolibrary.org/obo/EUPATH_0025053,,,variable
3,gravidanoph3,CDC LT data through February 28th 2019.dta,http://purl.obolibrary.org/obo/EUPATH_0020086,Gravid/semigravid other Anopheles species count,,Entomology,Anopheles,http://purl.obolibrary.org/obo/EUPATH_0025053,Total gravid/semigravid  other Anopheles sp.,NA,variable
