IRI,termType
EUPATH_0000144,multifilter
EUPATH_0021002,multifilter
EUPATH_0000134,"variable, derived"
EUPATH_0000116,"variable, derived"
EUPATH_0000117,"variable, derived"
EUPATH_0000118,"variable, derived"
EUPATH_0000119,"variable, derived"
EUPATH_0000090,"category, variable"
EUPATH_0000040,"category, variable"
EUPATH_0000316,"category, variable"
EUPATH_0000115,"variable, derived"
EUPATH_0000114,"variable, derived"
EUPATH_0000336,"variable, derived"
EUPATH_0000337,"variable, derived"
EUPATH_0000121,"variable, derived"
EUPATH_0000486,"variable, derived"
EUPATH_0000122,"variable, derived"
EUPATH_0000123,"variable, derived"
EUPATH_0000139,"variable, derived"
EUPATH_0000491,"variable, derived"
EUPATH_0000141,"variable, derived"
EUPATH_0000140,"variable, derived"
