variable	variable2	values	mappedTerm	valueOrder
abdominalpain	abdominalpain	0	No	
abdominalpain	abdominalpain	1	Yes	
abdominalpain	abdominalpain	9	Unable to assess	
alphathal	alphathal	0	Wild type	
alphathal	alphathal	1	Heterozygous	
alphathal	alphathal	2	Homozygous	
anorexia	anorexia	0	No	
anorexia	anorexia	1	Yes	
anorexia	anorexia	9	Unable to assess	
anymalaria	anymalaria	0	No	
anymalaria	anymalaria	1	Yes	
anymalaria	anymalaria	9	:::UNDEF:::	
bankacco	bankacco	yes	Yes	
bankacco	bankacco	no	No	
bed	bed	yes	Yes	
bed	bed	no	No	
bicycle	bicycle	yes	Yes	
bicycle	bicycle	no	No	
car	car	yes	Yes	
car	car	no	No	
cart	cart	yes	Yes	
cart	cart	no	No	
cassette	cassette	yes	Yes	
cassette	cassette	no	No	
chair	chair	yes	Yes	
chair	chair	no	No	
clock	clock	yes	Yes	
clock	clock	no	No	
complicatedmalaria	complicatedmalaria	0	No	
complicatedmalaria	complicatedmalaria	1	Yes	
cough	cough	0	No	
cough	cough	1	Yes	
cough	cough	9	Unable to assess	
cupboard	cupboard	yes	Yes	
cupboard	cupboard	no	No	
diarrhea	diarrhea	0	No	
diarrhea	diarrhea	1	Yes	
diarrhea	diarrhea	9	Unable to assess	
district	district	1	Walukuba	
district	district	2	Kihihi	
district	district	3	Nagongera	
dxcode	dxcode	1	Abscess	
dxcode	dxcode	2	Allergic rhinitis	
dxcode	dxcode	3	Anemia - general	
dxcode	dxcode	4	Anal fissure	
dxcode	dxcode	5	Anal fistula - acquired HIV-related recto-vesico	
dxcode	dxcode	6	Anal fistula - unspecified	
dxcode	dxcode	7	Angular chelitis	
dxcode	dxcode	8	Animal bite	
dxcode	dxcode	9	Appendicitis	
dxcode	dxcode	10	Arthritis	
dxcode	dxcode	11	Asthma exacerbation	
dxcode	dxcode	13	Lung disease, chronic HIV associated	
dxcode	dxcode	14	Burns	
dxcode	dxcode	15	Cancer - non HIV-related	
dxcode	dxcode	16	Candidiasis - esophageal	
dxcode	dxcode	17	Candidiasis - respiratory tract	
dxcode	dxcode	18	Carbuncle/furuncle	
dxcode	dxcode	19	Cardiomyopathy	
dxcode	dxcode	20	Cellulitis	
dxcode	dxcode	21	Cerebellar dysfunction/ataxia	
dxcode	dxcode	22	Chicken pox	
dxcode	dxcode	23	Cholera	
dxcode	dxcode	24	Coccidiomycosis	
dxcode	dxcode	25	Common cold/Flu	
dxcode	dxcode	26	Congenital malformation, congenital heart disease	
dxcode	dxcode	27	Conjunctivitis	
dxcode	dxcode	28	Convulsion/Seizure	
dxcode	dxcode	29	Foreign body in eye	
dxcode	dxcode	30	Corneal ulcer	
dxcode	dxcode	31	Cranial nerve disorders	
dxcode	dxcode	32	Cryptococcal infection	
dxcode	dxcode	33	Cryptosporidiosis	
dxcode	dxcode	34	Cytomegalovirus infection	
dxcode	dxcode	35	Dehydration	
dxcode	dxcode	36	Dental abscess	
dxcode	dxcode	37	Dental caries	
dxcode	dxcode	38	Dermatitis - atopic	
dxcode	dxcode	39	Dermatitis - papular pruiritic eruptions	
dxcode	dxcode	40	Dermatitis - seborrhoeic	
dxcode	dxcode	41	Dermatitis - unspecified	
dxcode	dxcode	42	Diabetes mellitus	
dxcode	dxcode	43	Diarrhea - acute	
dxcode	dxcode	44	Diarrhea - persistent (>14 days)	
dxcode	dxcode	45	Drug rash	
dxcode	dxcode	46	Dysentery	
dxcode	dxcode	47	Dyspepsia/Gastritis	
dxcode	dxcode	48	Pustular skin infection	
dxcode	dxcode	49	Empyema	
dxcode	dxcode	50	Encephalopathy - HIV-related (no other explanation such as stroke or infection)	
dxcode	dxcode	51	Encephalopathy - unspecified	
dxcode	dxcode	52	Epididymo-orchitis	
dxcode	dxcode	53	Epilepsy	
dxcode	dxcode	54	Erythema multiforme	
dxcode	dxcode	55	Esophagitis	
dxcode	dxcode	56	Malnutrition - moderate	
dxcode	dxcode	57	Folliculitis	
dxcode	dxcode	58	Fracture (bone)	
dxcode	dxcode	60	G6PD deficiency	
dxcode	dxcode	61	Vomiting	
dxcode	dxcode	62	Gastroenteritis	
dxcode	dxcode	63	Gingivitis - acute necrotizing ulcerative	
dxcode	dxcode	64	Gingivitis - linear gingival erythema	
dxcode	dxcode	65	Gingivitis - unspecified	
dxcode	dxcode	66	Glomerulonephritis	
dxcode	dxcode	67	Glossitis	
dxcode	dxcode	68	Headache - migraine	
dxcode	dxcode	69	Headache - unspecified	
dxcode	dxcode	70	Hearing loss/deficit	
dxcode	dxcode	71	Helminth infection	
dxcode	dxcode	72	Hepatitis	
dxcode	dxcode	73	Hepatomegaly	
dxcode	dxcode	74	Hepatosplenomegaly	
dxcode	dxcode	75	Hernia - inguinal	
dxcode	dxcode	76	Hernia - umbilical	
dxcode	dxcode	77	Hernia - others (femoral, hiatal)	
dxcode	dxcode	78	Herpes simplex - cutaneous	
dxcode	dxcode	79	Herpes simplex - orolabial	
dxcode	dxcode	80	Herpes simplex - genital	
dxcode	dxcode	81	Herpes zoster	
dxcode	dxcode	82	Histoplasmosis	
dxcode	dxcode	83	Hydrocele	
dxcode	dxcode	84	Hypoglycaemia	
dxcode	dxcode	85	Impacted cerumen	
dxcode	dxcode	86	Impetigo	
dxcode	dxcode	87	Isosporiasis	
dxcode	dxcode	88	Jiggers	
dxcode	dxcode	89	Kaposi's sarcoma	
dxcode	dxcode	90	Keratoconjunctivitis	
dxcode	dxcode	91	Kwashiorkor	
dxcode	dxcode	92	Lymphocytic interstitial pneumonia (LIP)	
dxcode	dxcode	93	Lung abscess	
dxcode	dxcode	94	Lymphadenitis	
dxcode	dxcode	95	Lymphoma - hodgkins	
dxcode	dxcode	96	Lymphoma - non hodgkins	
dxcode	dxcode	97	Lymphoma - primary cns	
dxcode	dxcode	98	Marasmus	
dxcode	dxcode	100	Mastoiditis	
dxcode	dxcode	101	Measles	
dxcode	dxcode	102	Meningitis - bacterial	
dxcode	dxcode	103	Meningitis - cryptococcal	
dxcode	dxcode	104	Meningitis - nonbacterial	
dxcode	dxcode	105	Microsporidiosis	
dxcode	dxcode	106	Molluscum contangiosum (severe)	
dxcode	dxcode	107	Molluscum contangiosum (mild)	
dxcode	dxcode	108	Mumps	
dxcode	dxcode	109	Mycobacterial avium complex - disseminated	
dxcode	dxcode	110	Mycobacterial avium complex - localized	
dxcode	dxcode	111	Bacterial skin infection	
dxcode	dxcode	112	Nephropathy	
dxcode	dxcode	113	Nephrotic syndrome	
dxcode	dxcode	114	Neutropenia  - general	
dxcode	dxcode	115	Obesity	
dxcode	dxcode	116	Oral hairy leukoplakia	
dxcode	dxcode	117	Candiasis - oral	
dxcode	dxcode	118	Oral ulcers - single episode	
dxcode	dxcode	119	Osteomyelitis	
dxcode	dxcode	120	Otitis externa	
dxcode	dxcode	121	Otitis media - nonsuppurative	
dxcode	dxcode	122	Otitis media - suppurative	
dxcode	dxcode	123	Pain	
dxcode	dxcode	124	Pancreatitis	
dxcode	dxcode	125	Paralysis	
dxcode	dxcode	126	Paresis (impaired strength)	
dxcode	dxcode	127	Paronychia	
dxcode	dxcode	128	Parotid enlargement	
dxcode	dxcode	129	Pemphigoid	
dxcode	dxcode	130	Pemphigus	
dxcode	dxcode	131	Penicilliosis	
dxcode	dxcode	132	Peptic ulcer disease	
dxcode	dxcode	133	Balanitis	
dxcode	dxcode	134	Periodontitis - acute necrotizing ulcerative	
dxcode	dxcode	135	Periodontitis - unspecified	
dxcode	dxcode	136	Peripheral neuropathy	
dxcode	dxcode	137	Peritonsillar abscess	
dxcode	dxcode	138	Persistent generalized lymphadenopathy (PGL)	
dxcode	dxcode	139	Pharyngitis	
dxcode	dxcode	140	Congenital malformation, phimosis/paraphimosis	
