IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/EUPATH_0000327,Entomology,,,,,Entomology,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,PRISM2 ICEMR Cohort,,,,,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0000192,Bloodfed Anopheles funestus count,fedfunes2 | fedfunes1 | fedfunes3,3,CDC LT data through February 28th 2019.dta,,Entomology,http://purl.obolibrary.org/obo/EUPATH_0000322,Anopheles funestus results,Total blood fed An. funestus,NA,variable,yes,,,PRISM2 ICEMR Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000136,Female Anopheles funestus count,totalfunestus3 | totalfunestus2 | totalfunestus1,1,CDC LT data through February 28th 2019.dta,,Entomology,http://purl.obolibrary.org/obo/EUPATH_0000322,Anopheles funestus results,,,variable,yes,,,PRISM2 ICEMR Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000197,Gravid Anopheles funestus count,gravidfenes1 | gravidfenes3 | gravidfenes2,2,CDC LT data through February 28th 2019.dta,,Entomology,http://purl.obolibrary.org/obo/EUPATH_0000322,Anopheles funestus results,Total gravid/semigravid An. Funestus,,variable,yes,,,PRISM2 ICEMR Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000202,Unable to assess Anopheles funestus count,unableassess3 | unableassess2 | unableassess1,5,CDC LT data through February 28th 2019.dta,,Entomology,http://purl.obolibrary.org/obo/EUPATH_0000322,Anopheles funestus results,Total An. funestus unable to assess,NA,variable,yes,,,PRISM2 ICEMR Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000204,Unfed Anopheles funestus count,unfedfunes3 | unfedfunes2 | unfedfunes1,4,CDC LT data through February 28th 2019.dta,,Entomology,http://purl.obolibrary.org/obo/EUPATH_0000322,Anopheles funestus results,Total unfed An. funestus,NA,variable,yes,,,PRISM2 ICEMR Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020263,"Anopheles arabiensis count, by PCR",arabiensis,7,CDC LT data through February 28th 2019.dta,"The number of Anopheles gambiae sl that were tested for subspecies identification by PCR and found to be Anopheles arabiensis per household on a given day. Note, this data is ony linked to the first reported collection within a household on a given day, not each collection that potentially contributed to it.",Entomology,http://purl.obolibrary.org/obo/EUPATH_0000323,Anopheles gambiae sl results,,,variable,yes,,,PRISM2 ICEMR Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020264,"Anopheles gambiae s.s. count, by PCR",gambiaess,8,CDC LT data through February 28th 2019.dta,"The number of Anopheles gambiae sl that were tested for subspecies identification by PCR and found to be Anopheles gambiae s.s. per household on a given day. Note, this data is ony linked to the first reported collection within a household on a given day, not each collection that potentially contributed to it.",Entomology,http://purl.obolibrary.org/obo/EUPATH_0000323,Anopheles gambiae sl results,,,variable,yes,,,PRISM2 ICEMR Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020262,Anopheles gambiae sl tested by PCR count,totalforspeciesID,6,CDC LT data through February 28th 2019.dta,"A subset of Anopheles gambiae sl were tested for subspecies identification by PCR. This variable indicates the number of Anopheles gambiae sl from all collections done within a household on a given day. Note, this data is ony linked to the first reported collection within a household on a given day, not each collection that potentially contributed to it.",Entomology,http://purl.obolibrary.org/obo/EUPATH_0000323,Anopheles gambiae sl results,,,variable,yes,,,PRISM2 ICEMR Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000193,Bloodfed Anopheles gambiae count,fedgamb2 | fedgamb3 | fedgamb1,3,CDC LT data through February 28th 2019.dta,,Entomology,http://purl.obolibrary.org/obo/EUPATH_0000323,Anopheles gambiae sl results,Total blood fed An.gambiae sl,NA,variable,yes,,,PRISM2 ICEMR Cohort,,,,,,,,,
