file	category	id
PRISM 2 expanded database FINAL	Community	{{c}}+hhid
PRISM 2 expanded database FINAL	Household	hhid
PRISM 2 expanded database FINAL	Participant	cohortid
PRISM 2 expanded database FINAL	Observation	uniqueid
PRISM 2 expanded database FINAL	Sample	{{s}}+uniqueid
Household level data FINAL	Community	{{c}}+hhid
Household level data FINAL	Household	hhid
PRISM 2 CDC LT data FINAL_long	Community	{{c}}+hhid
PRISM 2 CDC LT data FINAL_long	Household	hhid
PRISM 2 CDC LT data FINAL_long	HouseholdObservation	trap
oocyst_coi	Community	
oocyst_coi	Household	
oocyst_coi	Participant	cid
oocyst_coi	Observation	uniqueid
oocyst_coi	Sample	{{s}}+uniqueid
bloodstage_haplotypes	Community	
bloodstage_haplotypes	Household	
bloodstage_haplotypes	Participant	cid
bloodstage_haplotypes	Observation	uniqueid
bloodstage_haplotypes	Sample	{{s}}+uniqueid
PRISM_datashare_adjusted values	Community	
PRISM_datashare_adjusted values	Household	
PRISM_datashare_adjusted values	Participant	
PRISM_datashare_adjusted values	Observation	uniqueid
PRISM_datashare_adjusted values	Sample	{{s}}+uniqueid
bloodstage_coi	Community	
bloodstage_coi	Household	
bloodstage_coi	Participant	cid
bloodstage_coi	Observation	uniqueid
bloodstage_coi	Sample	{{s}}+uniqueid
