entity,label,displayOrder,plabel
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,
http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,
http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,,
http://purl.obolibrary.org/obo/PCO_0000024,Household,,
http://purl.obolibrary.org/obo/EUPATH_0023004,"Bacteria, by microscopy",24,Bacteria
http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria,,Blood microbiology test
http://purl.obolibrary.org/obo/NCBITaxon_2759,Eukaryota,,Blood microbiology test
http://purl.obolibrary.org/obo/OBIB_0000236,Blood sample volume,1,Blood sample
http://purl.obolibrary.org/obo/EFO_0004309,Platelet count (per uL blood),10,Blood test
http://purl.obolibrary.org/obo/CMO_0000027,White blood cell count (per mm3),11,Blood test
http://purl.obolibrary.org/obo/EUPATH_0023035,Partial pressure of oxygen (mmHg),12,Blood test
http://purl.obolibrary.org/obo/EUPATH_0023005,Bicarbonate (mmol/L),2,Blood test
http://purl.obolibrary.org/obo/EUPATH_0023010,BUN (mg/dL),3,Blood test
http://purl.obolibrary.org/obo/EUPATH_0023011,Creatinine (mg/dL),4,Blood test
http://purl.obolibrary.org/obo/EUPATH_0023054,Total bilirubin (mg/dL),5,Blood test
http://purl.obolibrary.org/obo/EUPATH_0023017,Fasting blood sugar (mg/dL),6,Blood test
http://purl.obolibrary.org/obo/EFO_0004348,Hematocrit (%),7,Blood test
http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),8,Blood test
http://purl.obolibrary.org/obo/EUPATH_0023025,"Hemoglobin (g/dL), at hospital",9,Blood test
http://purl.obolibrary.org/obo/PATO_0000047,Sex,1,Demographics
http://purl.obolibrary.org/obo/EUPATH_0000442,State of birth,2,Demographics
http://purl.obolibrary.org/obo/EUPATH_0023056,Tribal affilliation,3,Demographics
http://purl.obolibrary.org/obo/EUPATH_0000359,Occupation,,Employment
http://purl.obolibrary.org/obo/NCBITaxon_5820,Plasmodium,,Eukaryota
http://purl.obolibrary.org/obo/EUPATH_0021095,State,,Geographic location
http://purl.obolibrary.org/obo/EUPATH_0023036,Participant inpatient or outpatient,1,Hospitalization
http://purl.obolibrary.org/obo/EUPATH_0023013,Discharged,2,Hospitalization
http://purl.obolibrary.org/obo/EUPATH_0023057,Died,3,Hospitalization
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,Household
http://purl.obolibrary.org/obo/EUPATH_0011795,Blood test,,Laboratory test
http://purl.obolibrary.org/obo/EUPATH_0020005,Blood microbiology test,,Laboratory test
http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,,Observation
http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,1,Observation
http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,2,Observation
http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,3,Observation
http://purl.obolibrary.org/obo/EUPATH_0000340,Travel details,6,Observation
http://purl.obolibrary.org/obo/EUPATH_0023001,Relocation details,7,Observation
http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,8,Observation
http://purl.obolibrary.org/obo/EUPATH_0004991,Observation date,,Observation details
http://purl.obolibrary.org/obo/EUPATH_0023052,Time of observation,,Observation details
http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,Participant
http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,,Participant
http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,,Participant
http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,Participant
http://purl.obolibrary.org/obo/EUPATH_0000120,Age at enrollment,,Participant study details
http://purl.obolibrary.org/obo/EUPATH_0000151,Enrollment date,,Participant study details
http://purl.obolibrary.org/obo/EUPATH_0023002,Enrollment time,,Participant study details
http://purl.obolibrary.org/obo/CMO_0000289,Respiratory rate (breaths/min),,Physical examination
http://purl.obolibrary.org/obo/EFO_0004326,Heart rate (beats/min),,Physical examination
http://purl.obolibrary.org/obo/EUPATH_0000110,Temperature (C),,Physical examination
http://purl.obolibrary.org/obo/EUPATH_0000544,Temperature measurement method,,Physical examination
http://purl.obolibrary.org/obo/EUPATH_0021086,Systolic blood pressure (mmHg),,Physical examination
http://purl.obolibrary.org/obo/EUPATH_0021087,Diastolic blood pressure (mmHg),,Physical examination
http://purl.obolibrary.org/obo/EUPATH_0000437,"Plasmodium species, by FalciVax RDT",13,Plasmodium
http://purl.obolibrary.org/obo/EUPATH_0023031,"Plasmodium species, by FalciVax RDT at hospital",14,Plasmodium
http://purl.obolibrary.org/obo/EUPATH_0023032,"Plasmodium species, by thick smear microscopy",15,Plasmodium
http://purl.obolibrary.org/obo/EUPATH_0023033,"Plasmodium species, by thin smear microscopy",16,Plasmodium
http://purl.obolibrary.org/obo/EUPATH_0023034,"Plasmodium species, by microscopy at hospital",17,Plasmodium
