variable,dataset,IRI,label,definition,category,parentIRI,parentLabel,notesForOnt,JZ_notes,SSS_answer
X8._Date_enrolled,enrollment_form,EUPATH_0000151,Enrollment date,,Participant,EUPATH_0000307,Participant study details,,,
X9._Time_enrolled,enrollment_form,EUPATH_0023002,Enrollment time,,Participant,EUPATH_0000307,Participant study details,,shall combine time with date?,"No, keep it separate"
Participant_ID,sample_collection_form,EUPATH_0000095,Participant ID,,Participant,EUPATH_0000096,Participant,Same as X1._Participant_ID,,
X10._Temperature_.deg_Fahrenheit.,sample_collection_form,EUPATH_0000110,Temperature (C),,Observation,OGMS_0000083,Physical examination,"If no temp, 000.0",need convert value from in unit F to unit C,Agreed
X11._Temperature_reading_time_.24h.,sample_collection_form,EUPATH_0023052,Time of observation,,Observation,EUPATH_0000310,Observation details,,shall combine time with date?,"No, keep it separate. However, these columns and the general observation date/time will map to the same variables"
X12._Temperature_reading_date,sample_collection_form,EUPATH_0000091,Date of observation,,Observation,EUPATH_0000310,Observation details,,need to add 'date of temperature measured',
X14._Blood_volume_collected_.ml.,sample_collection_form,OBIB_0000236,Blood specimen volume,,Observation,OGMS_0000056,Laboratory test,"If not collected, 00.0",,
X15._Collection_time_.24h.,sample_collection_form,EUPATH_0023038,Sample collection time,,Observation,OBI_0000659,Sample collection,,shall combine time with date?,"No, keep it separate"
X16._Collection_date,sample_collection_form,OBI_0001619,Sample collection date,,Observation,OBI_0000659,Sample collection,,,
X26._Hospital_RDT_.._Species_of_malaria.,samp_coll_form_3,EUPATH_0023031,"Parasite species, FalciVax RDT from hospital",Parasite species identification via an RDT performed by the hospital. Exact date of RDT unknown,Observation,OGMS_0000056,Laboratory test,"01, 01 - Pf | 02, 02 - Pv | 03, 03 - Pm | 04, 04 - Po | 05, 05 - mixed Pf/Pv | 06, 06 - mixed Pf/Pm | 07, 07 - negative | 00, 00 - Missing | 99, 99 - Uncertain",,
X27._Hospital_Smear_.._Species_of_malaria,samp_coll_form_3,EUPATH_0023034,"Parasite species, microscopy from hospital ",Parasite species identification via microscopy done by the hospital. Exact date of blood smear unknown,Observation,OGMS_0000056,Laboratory test,"01, 01 - Pf | 02, 02 - Pv | 03, 03 - Pm | 04, 04 - Po | 05, 05 - mixed Pf/Pv | 06, 06 - mixed Pf/Pm | 07, 07 - negative | 00, 00 - Missing | 99, 99 - Uncertain",,
X28._Hospital_Hb_.g.dl.,samp_coll_form_3,EUPATH_0023025,"Hemoglobin (g/dL), from hospital",Hemoglobin measurement done by the hospital. Exact date of measurement unknown,Observation,OGMS_0000056,Laboratory test,In g/dL. No count performed = 00.0,,
X29._Antimalarial_therapy_initiation_at_GMC.,samp_coll_form_3,EUPATH_0023040,Started antimalarial treatment,,Observation,EUPATH_0000740,Malaria treatment,"01, 01 - Yes | 02, 02 - No | 00, 00 - Missing | 99, 99 - Uncertain",,
X30._Antimalarial_therapy_initiation_at_GMC_date,samp_coll_form_3,EUPATH_0023050,Therapy start date,,Observation,EUPATH_0000740,Malaria treatment,,,
