file	category	id
enrollment_form_labkey_correctid	household	{{h}}+participant_id
enrollment_form_labkey_correctid	participant	{{p}}+participant_id
enrollment_form_labkey_correctid	participant_repeated_measures	{{pr}}+participant_id+{{enrollment}}
Diagnostics Assay	household	{{h}}+Participant_ID
Diagnostics Assay	participant	{{p}}+Participant_ID
Diagnostics Assay	participant_repeated_measures	{{pr}}+participant_id+{{enrollment}}
Diagnostics Assay	sample	{{s}}+participant_id+{{enrollment}}
inpatient_care_chart_review	household	{{h}}+Participant_ID
inpatient_care_chart_review	participant	{{p}}+Participant_ID
inpatient_care_chart_review	participant_repeated_measures	{{pr}}+participant_id+x68._date_of_observation_collection+x69._time_of_observation
inpatient_care_chart_review	sample	{{s}}+participant_id+x68._date_of_observation_collection+x69._time_of_observation
inpatient_treatment_drug_1	household	{{h}}+Participant_ID
inpatient_treatment_drug_1	participant	{{p}}+Participant_ID
inpatient_treatment_drug_1	participant_repeated_measures	{{pr}}+participant_id+x51._rx_name+timepoint
inpatient_treatment_drug_2	household	{{h}}+Participant_ID
inpatient_treatment_drug_2	participant	{{p}}+Participant_ID
inpatient_treatment_drug_2	participant_repeated_measures	{{pr}}+participant_id+x56._rx_name+timepoint
inpatient_treatment_drug_3	household	{{h}}+Participant_ID
inpatient_treatment_drug_3	participant	{{p}}+Participant_ID
inpatient_treatment_drug_3	participant_repeated_measures	{{pr}}+participant_id+x61._rx_name+timepoint
inpatient_treatment_drug_4	household	{{h}}+Participant_ID
inpatient_treatment_drug_4	participant	{{p}}+Participant_ID
inpatient_treatment_drug_4	participant_repeated_measures	{{pr}}+participant_id+x66._generic_antimalarial_name+timepoint
inpatient_treatment_drug_5	household	{{h}}+Participant_ID
inpatient_treatment_drug_5	participant	{{p}}+Participant_ID
inpatient_treatment_drug_5	participant_repeated_measures	{{pr}}+participant_id+x71._generic_antimalarial_name+timepoint
questionnaire_form_1	household	{{h}}+Participant_ID
questionnaire_form_1	participant	{{p}}+Participant_ID
questionnaire_form_2	household	{{h}}+Participant_ID
questionnaire_form_2	participant	{{p}}+Participant_ID
questionnaire_form_3	household	{{h}}+Participant_ID
questionnaire_form_3	participant	{{p}}+Participant_ID
samp_coll_form_3	household	{{h}}+Participant_ID
samp_coll_form_3	participant	{{p}}+Participant_ID
samp_coll_form_3	participant_repeated_measures	{{pr}}+participant_id+{{enrollment}}
samp_coll_form_3	sample	{{s}}+participant_id+{{enrollment}}
sample_collection_form	household	{{h}}+Participant_ID
sample_collection_form	participant	{{p}}+Participant_ID
sample_collection_form	participant_repeated_measures	{{pr}}+participant_id+{{enrollment}}
sample_collection_form	sample	{{s}}+participant_id+{{enrollment}}
