colOrder,variable,uniqueVar,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
6,province,province|household,household,http://purl.obolibrary.org/obo/NCIT_C25632,Province,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,Province,,variable,
6,patient_type,patient_type|observations,observations,http://purl.obolibrary.org/obo/EUPATH_0026001,Citizenship,Asked at every observation,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Type of patient,"Foreigner, Thai",variable,
8,subdistrict,subdistrict|household,household,http://purl.obolibrary.org/obo/EUPATH_0026002,Subdistrict,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,Subdistrict,,variable,
8,confirmedslideresults,confirmedslideresults|observations,observations,http://purl.obolibrary.org/obo/EUPATH_0026003,"Plasmodium species, by control lab microscopy",Field slide results confirmed by a second  control lab,Sample,Plasmodium,http://purl.obolibrary.org/obo/NCBITaxon_5820,result confirmed from Lab,"F,F+G,F+V,Fg,V,ND,Neg",variable,
9,cohort,cohort|observations,observations,http://purl.obolibrary.org/obo/EUPATH_0026004,Cohort member,Whether the participant was enrolled in the mass blood survey cohort,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,patients within or outside cohort,yes/no,variable,
10,ethnicid,ethnicid|participants,participants,http://purl.obolibrary.org/obo/OMRSE_00000100,Ethnicity,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,ethnic,,variable,
7,occupation,occupation|observations,observations,http://purl.obolibrary.org/obo/EUPATH_0026006,Current occupation,Asked at every observation,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Occupation,,variable,
7,hh,hh|participants,participants,http://purl.obolibrary.org/obo/EUPATH_0026005,Interviewee household head,,Participant,Individuals related to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,head of household,1=yes 0=no,variable,
5,datasource,datasource|observations,observations,http://purl.obolibrary.org/obo/BFO_0000015,Observation type,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,observations from activities,"MBS1-12(Mass Blood Survey), HP=Hospital, PCD=Passive Case Detection",variable,
4,housetype,housetype|household,household,http://purl.obolibrary.org/obo/ENVO_01000744,Dwelling type,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Type of house,,variable,
9,village,village|household,household,http://purl.obolibrary.org/obo/ENVO_01000773,Village,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,village,"3,6,9",variable,
2,housecode,housecode|household,household,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,house id = hamlet code 2 digits plus house sequence number,,variable,
2,studycode,studycode|observations,observations,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,hamlet code follow with sequence of house number and member number within house,,variable,
3,studycode,studycode|participants,participants,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,hamlet code follow with sequence of house number and member number within house,,variable,
1,temp,temp|observations,observations,http://purl.obolibrary.org/obo/EUPATH_0000110,Temperature (C),,Observation,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083,body temperature,,variable,
5,age,age|participants,participants,http://purl.obolibrary.org/obo/EUPATH_0000120,Age at enrollment,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,age at survey,,variable,
1,surveydate,surveydate|participants,participants,http://purl.obolibrary.org/obo/EUPATH_0000151,Enrollment date,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,date of house survey,,variable,
12,eduid,eduid|participants,participants,http://purl.obolibrary.org/obo/EUPATH_0000345,Education level,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,education,,variable,
11,occid,occid|participants,participants,http://purl.obolibrary.org/obo/EUPATH_0000359,Occupation,,Participant,Employment,http://purl.obolibrary.org/obo/EUPATH_0000342,occupation,,variable,
7,district,district|household,household,http://purl.obolibrary.org/obo/EUPATH_0000407,District,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,District,,variable,
4,malaria_result,malaria_result|observations,observations,http://purl.obolibrary.org/obo/EUPATH_0000423,"Plasmodium species, by microscopy",,Sample,Plasmodium,http://purl.obolibrary.org/obo/NCBITaxon_5820,result from field test ,"F,F+G,Fg,V,Neg, NA",variable,
9,nationid,nationid|participants,participants,http://purl.obolibrary.org/obo/EUPATH_0000424,Nationality,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Nationality,,variable,
