colOrder,uniqueVar,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
6,icemr2_households::country,icemr2_households,http://purl.obolibrary.org/obo/ENVO_00000009,Country,,Household,,,Country,,variable,,,,,,,ICEMR2 SEA Surveillance,,,yes,,,,,,
8,icemr2_households::district,icemr2_households,http://purl.obolibrary.org/obo/EUPATH_0026006,District in Thailand,,Household,,,District,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
2,icemr2_households::hamlet,icemr2_households,http://purl.obolibrary.org/obo/EUPATH_0057901,Hamlet,Subvillage is the smallest unit in administrative areas,Household,,,Subvillage is the smallest unit in administrative areas,"SO=Suan Oi, OP=Orphanage,PM=Pa Man, KN=Ko Ma Nae, SN=Mae Slid Noi, NB=Nong Bua, TO= Talaorka",variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
5,icemr2_households::housetype,icemr2_households,,House type,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Type of house,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
11,icemr2_households::latitude,icemr2_households,http://purl.obolibrary.org/obo/OBI_0001620,Latitude,,Household,,,Latitude household,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,variableTree,,,,,
12,icemr2_households::longitude,icemr2_households,http://purl.obolibrary.org/obo/OBI_0001621,Longitude,,Household,,,Longitude household,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,variableTree,,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0043203,Geohash1,,Household,,,,,"variable,derived",,,,,,,ICEMR2 SEA Surveillance,,,,everywhere,,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0043204,Geohash2,,Household,,,,,"variable,derived",,,,,,,ICEMR2 SEA Surveillance,,,,everywhere,,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0043205,Geohash3,,Household,,,,,"variable,derived",,,,,,,ICEMR2 SEA Surveillance,,,,everywhere,,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0043206,Geohash4,,Household,,,,,"variable,derived",,,,,,,ICEMR2 SEA Surveillance,,,,everywhere,,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0043207,Geohash5,,Household,,,,,"variable,derived",,,,,,,ICEMR2 SEA Surveillance,,,,everywhere,,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0043208,Geohash6,,Household,,,,,"variable,derived",,,,,,,ICEMR2 SEA Surveillance,,,,everywhere,,,,,
7,icemr2_households::province,icemr2_households,http://purl.obolibrary.org/obo/EUPATH_0026007,Province in Thailand,,Household,,,Province,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
9,icemr2_households::subdistrict,icemr2_households,http://purl.obolibrary.org/obo/EUPATH_0026002,Subdistrict in Thailand,,Household,,,Subdistrict,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
10,icemr2_households::village,icemr2_households,http://purl.obolibrary.org/obo/ENVO_01000773,Village,,Household,,,ICEMER2 Village code system,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
6,icemr2_participants::age,icemr2_participants,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,Age at survey,,variable,,,,,,,ICEMR2 SEA Surveillance,Years,,yes,,,,,,
7,icemr2_observations::age_y,icemr2_observations,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,Age in Year,,variable,,,,yes,,,ICEMR2 SEA Surveillance,Years,,,,,,,,
13,icemr2_observations::cohort,icemr2_observations,http://purl.obolibrary.org/obo/EUPATH_0026004,Cohort member,,Participant,,,patients within or outside cohort,yes/no,variable,,,,yes,,,ICEMR2 SEA Surveillance,,,,,,,,,
6,icemr2_observations::datasource,icemr2_observations,http://purl.obolibrary.org/obo/BFO_0000015,Observation type,,Participant,,,observations from activities,"MBS1-11, PCD=Passive Case Detection",variable,,,,yes,,,ICEMR2 SEA Surveillance,,,,,,,,,
5,icemr2_participants::dob_yy,icemr2_participants,http://purl.obolibrary.org/obo/EUPATH_0030005,Birth year,,Participant,,,Year of birth,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
