colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType,,,,,,,
44,rdt_kit,icemr_cohort_20230126,,RDT kit,"If RDT was done, please specify which RDT kit was used",Sample,http://purl.obolibrary.org/obo/EUPATH_0021130,Blood eukaryote testing,"If did the RDT, please specify which RDT kit used",,variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
43,rdt_rst,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0024217,"Plasmodium, by RDT",Rapid Diagnostic Test (RDT) Result,Sample,,,Rapid Diagnostic Test (RDT) Result,"X=N/A, Not Done
N=Negative
P=Positive
U=Undetermined",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,yes,,,,,,,,,,,,,
42,vm_trvl,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0000450,Traveled in last 2 weeks',Did this resident travel out of village in the past two weeks?,Participant,,,Did this resident travel out of village in the past two weeks?,"N=No, Y-Yes",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
40,vm_fver,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0000414,Fever duration',"If resident felt sick, how many days did they have fever? (> 37.5 degrees C)? (Within a range of 0-99 days)",Participant,,,"If resident feel sick, how many days do they have fever (> 37.5<U+00B0>C)? [0 ~ 99 Days]",,variable,,,,yes,,,SSA ICEMR Kenya Cohort,days,,,,,,,,,,,,,,,
13,nt_type,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0025016,Bednet type',"If any bednet owned, please specify the majority type",Participant,,,"If any bednet owned, please specify the majority type","0=N/A, 1=Regular untreated net, 2=Regular ITN, NOT retreated within 6 months, 3=Regular ITN, retreated within 6 months, 4=LLIN, Long Lasting Insecticidal Net, 5=PBO Net, 99=Others",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
7,h2_adm4,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0051287,County in Kenya,Sub-location of household,Household,,,Sub-location of household,,variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
12,nt_ownd,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0020225,Bednet count,Number of bednets owned,Household,,,Number of bednets owned,,variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
16,hf_clic,icemr_cohort_20230126,,Clinic name,Malaria Treatment Clinic: Select which clinic was used for seeking malaria treatment,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,Malaria Treatment Clinic: Select which clinic was used for seeking malaria treatment,,variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
17,hf_tran,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0057802,Transport to health facility,The major transportation method used to go to the hospital/clinic for malaria treatment,Participant,,,The major transportation method used to go to the hospital/clinic for malaria treatment,"0=Not go to hospital/clinic, 1=Walk, 2=Bicycle/tricycle (boda-boda), 3=Motorbike/Motor-tricycle, 4=Mini-Bus (Matatu), 5=Private Car/Truck, 6=Other vehicle, 99=Other methods",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
18,hs_roof,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,Roof Material,Household,,,Roof Material,"0=NA / No Roof, 1=Corrugated Iron Sheet, 2=Tiles, 3=Concrete,
4=Asbestos Sheets, 5=Grass (Other than Thatching), 6=Makuti (Thatch), 7=Tin, 8=Mud/Dung, 99=Other",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
