colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
17,http://purl.obolibrary.org/obo/EUPATH_0057802,Transport to health facility,hf_tran,1,icemr_cohort_20230126,The major transportation method used to go to the hospital/clinic for malaria treatment,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,The major transportation method used to go to the hospital/clinic for malaria treatment,"0=Not go to hospital/clinic, 1=Walk, 2=Bicycle/tricycle (boda-boda), 3=Motorbike/Motor-tricycle, 4=Mini-Bus (Matatu), 5=Private Car/Truck, 6=Other vehicle, 99=Other methods",variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
44,http://purl.obolibrary.org/obo/EUPATH_0064251,RDT type,rdt_kit,1,icemr_cohort_20230126,"If RDT was done, please specify which RDT kit was used",Sample,http://purl.obolibrary.org/obo/EUPATH_0021130,Blood eukaryote testing,"If did the RDT, please specify which RDT kit used",,variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,1,,,Sample,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0020125,Blood microbiology tests procedures,,2,,,Sample,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0021130,Blood eukaryote testing,,3,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0020125,Blood microbiology tests procedures,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
65,http://purl.obolibrary.org/obo/OBI_0003055,Filter paper sample,vs_samp_dbs,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,,Filter paper,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
66,http://purl.obolibrary.org/obo/EUPATH_0064277,Malaria RDT sample,vs_samp_rdt,2,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,,Malaria RDT,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
67,http://purl.obolibrary.org/obo/EUPATH_0064278,Blood smear sample,vs_samp_smr,3,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,,Blood smear (slide),value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
68,http://purl.obolibrary.org/obo/EUPATH_0064279,Whole blood plasma sample,vs_samp_wbp,4,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,,Whole blood plasma,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
69,http://purl.obolibrary.org/obo/EUPATH_0064280,No blood sample,vs_samp_not,5,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,,No blood sample,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
