"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,household_questionnaire,,text,"Record ID (do not use)",,,,,,,,,,,,,
invid,household_questionnaire,"<h4 style=""text-align:center;font-weight:bold;"">ICEMR Cambodia 2017</h4>
<h4 style=""text-align:center;color:blue;font-weight:bold;"">កំរងសំនួរសំរាប់ខ្នងផ្ទះ / HOUSEHOLD QUESTIONNAIRE</h4>",text,"នាមខ្លួននិងនាមត្រកូលអ្នកអង្កេតការសិក្សារឺអ្នកសំភាស
What is the investigator name?",,,,,,,,y,,,,,
visdat,household_questionnaire,,text,"កាលបរិច្ឆេទការអង្កេតការសិក្សារឺការសំភាស
What is the visit date?",,,date_dmy,,,,,y,,,,,
hhid,household_questionnaire,,text,"លេខកូដខ្នងផ្ទះ?
What is the household identifier?
<span style=""font-weight: lighter; font-style:italic;"">[Refer to available list. Do NOT attribute the same identifier to another household once you've allocated it]</span>",,,numeric_id_4d,,,,,y,,,,,
hh_first_name,household_questionnaire,,text,"នាមខ្លួនមេគ្រួសារ?​​
What is the given name (first name) of the head of household?",,,,,,y,,,,,,,
hh_last_name,household_questionnaire,,text,"នាមត្រកូលមេគ្រួសារ?
What is the surname (family name) of the head of household?",,,,,,y,,,,,,,
hhq_dummy_text_1,household_questionnaire,,descriptive,"<div class=""blue"" style=""text-align:justify;color:blue;background-color:#E2EAFA;"">We would first like to ask you some questions about the household head, characteristics of the house and possessions of the household. This information helps us to understand people's standards of living and whether this has an influence on their access to malaria control interventions.</div>",,,,,,,,,,,,,
hh_school_attend,household_questionnaire,,radio,"តើមេគ្រួសារធ្លាប់បានចូលរៀនទេ?
Has the head of the household ever attended school?","1, ធ្លាប់បានចូលរៀន (Yes) | 0, មិនធ្លាប់បានចូលរៀនទេ (No)",,,,,,,,RH,,,,
hh_school_level,household_questionnaire,,radio,"ប្រសិនបើគាត់ធ្លាប់បានចូលរៀនដូច្នេះតើគាត់រៀនបានដល់ថ្នាក់ទីប៉ុន្មាន?
If YES, what was the highest level of school the head of household completed?","Primary, ចន្លោះថ្នាក់ទី១និង៦ (Grade 1-6) | Secondary, ចន្លោះថ្នាក់ទី៧និង៩ (Grade 7-9) | HighSchool, ចន្លោះថ្នាក់ទី១០និង១២ (Grade 10-12) | TechSchool, សាលាបច្ចេកទេស (Technical School) | Uni, មហាវិទ្យាល័យ (University)",,,,,,"[hh_school_attend] = '1'",,LV,,,,
income,household_questionnaire,,radio,"តើប្រភពប្រាក់ចំណូលចំបងរបស់គ្រួសារបានមកពីណា?
[សំនួរនេះមិនមែនសំដៅទៅលើមុខរបរទេគឺសំដៅទៅលើប្រភពប្រាក់ចំណូលចំបងរបស់គ្រួសារទាំងមូល។​មានន័យថាជាប្រភពប្រាក់ចំណូលបស់សមាជិកគ្រួសារទាំងអស់។]
What is the main source of income of the household?
<span style=""font-weight:lighter;font-style:italic;"">[Not OCCUPATION but main source of INCOME. This question concerns the entire household: probe for other household members]</span>","1, ធ្វើចំការកៅស៊ូ (Rubber plantation) | 2, ធ្វើកសិកម្ម (Farming) | 3, បរបាញ់ (Hunting) | 4, កាប់ឈើ (Wood logging) | 5, ធ្វើសំណង់​ រឺ​​សាងសង់ផ្លូវ (Construction) | 99, ប្រភពប្រាក់ចំណូលណាមួយផ្សេងទៀត (Other)",,,,,,,,LV,,,,
income_oth,household_questionnaire,,text,"សូមបញ្ជាក់ប្រភពប្រាក់ចំណូលណាមួយផ្សេងទៀតប្រសិនបើមាន
If ""Other"", specify",,,,,,,"[income] = '99'",,RH,,,,
