colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
3,icemrcambodiacensus_data_2022-05-13_1304_sak::visdat,icemrcambodiacensus_data_2022-05-13_1304_sak,EUPATH_0004991,Observation date ,,,EUPATH_0000310,Observation details,"កាលបរិច្ឆេទធ្វើស្ថិតិ?
What is the visit date?",,variable,,yes,yes,yes,SW PACIFIC,,,yes,,,,,,
3,icemrcambodiahousehold_data_2022-05-13_1307_sak::visdat,icemrcambodiahousehold_data_2022-05-13_1307_sak,EUPATH_0004991,Observation date ,,,EUPATH_0000310,Observation details,"កាលបរិច្ឆេទធ្វើស្ថិតិ?
What is the visit date?",,variable,,yes,yes,yes,SW PACIFIC,,,,,,,,,
3,icemrcambodiaprevalence_data_2022-06-06_2029_sak::visdat,icemrcambodiaprevalence_data_2022-06-06_2029_sak,EUPATH_0004991,Observation date ,,,EUPATH_0000310,Observation details,"កាលបរិច្ឆេទធ្វើស្ថិតិ?
What is the visit date?",,variable,,yes,yes,yes,SW PACIFIC,,,,,,,,,
5,icemrcambodiacensus_data_2022-05-13_1304_sak::village,icemrcambodiacensus_data_2022-05-13_1304_sak,ENVO_01000773,Village,,,EUPATH_0011928,Urban or rural site,What is the name of the village?,"1, ឆ្នែង / Chhnaeng | 2, អូរអាម / Oham | 3, ឡាប៉ាខេ / Lapakhe | 4, អូររណា / Ohrana | 5, ត្រពាំងផ្អេរ / Trapaingphiae | 6, ស្រែល្វីវី / Sraelvy | 7, ស្រែខ្ទុម / Sraektum | 8, ស្រែអំពិល / Sraeampil | 9, ​អូរច្រា / Ohchra | 10, ពូចា / Poucha | 11, ស្រែព្រះ / Sraepreas | 12, ហ្គាទី / Gaty | 99, ភូមិណាមួយផ្សេងទៀត / Other",variable,,,,,SW PACIFIC,,,yes,,,,,,
6,icemrcambodiacensus_data_2022-05-13_1304_sak::village_oth,icemrcambodiacensus_data_2022-05-13_1304_sak,EUPATH_0053210,"Village name, other",,,GAZ_00000448,Geogphaphic location,"សូមបញ្ជាក់ភូមិណាមួយផ្សេងទៀតប្រសិនបើមាន
If ""Other"", specify",,variable,,,,,SW PACIFIC,,,,,,,,,
7,icemrcambodiacensus_data_2022-05-13_1304_sak::hamlet,icemrcambodiacensus_data_2022-05-13_1304_sak,,Hamlet,,,,,"ឈ្មោះភូមិរណបឬឈ្មោះតំបន់នៅក្នុងភូមិ?
What is the name of the hamlet?",,variable,need new term,,,,SW PACIFIC,,,,,,,,,
8,icemrcambodiacensus_data_2022-05-13_1304_sak::respondent_ishead,icemrcambodiacensus_data_2022-05-13_1304_sak,EUPATH_0026005,Interviewee household head,,,hmmm but this individuals related to participant,,"តើអ្នកដែលផ្តល់ចំលើយជាមេគ្រួសារ?
Is the respondent the head of household?","1, ជាមេគ្រួសារ  / Yes | 0, មិនមែនជាមេគ្រួសារ / No",variable,,,,,SW PACIFIC,,,,,,,,,
9,icemrcambodiacensus_data_2022-05-13_1304_sak::hh_nb_live,icemrcambodiacensus_data_2022-05-13_1304_sak,EUPATH_0000019,Persons living in house count,,,EUPATH_0000304,Socioeconomic factors,"ចំនួនសមាជិកគ្រួសារមានប៉ុន្មាននាក់?
How many people live in this household?",,variable,,,,,SW PACIFIC,,,,,,,,,
10,icemrcambodiacensus_data_2022-05-13_1304_sak::floor,icemrcambodiacensus_data_2022-05-13_1304_sak,EUPATH_0000006,Floor material,,,EUPATH_0000303,Dwelling characteristics,"សម្ភារះចំបងនៃសំណង់ជាន់របស់ផ្ទះ?
What is the main material of the floor?
<span style=""font-weight: lighter; font-style:italic;"">[Observe]</span>","1, ដី/ខ្សាច់ (Earth / Sand) | 2, រនាបត្នោត/រនាបឫស្សី/ក្រាលស្មៅ (Palm / Bamboo / Grass) | 3, ឈើក្តារបន្ទះធម្មតា (Wood) | 4, ឈើក្តារបន្ទះដែលកែច្នៃនិងលាបថ្នាំរលោង (Polished wood) | 5, ស៊ីម៉ង់/ឥដ្ឋការ៉ូ (Cement / Tiles) | 99, សម្ភារះណាមួយផ្សេងទៀត (Other)",multifilter,,,,,SW PACIFIC,,,,,,,,,
11,icemrcambodiacensus_data_2022-05-13_1304_sak::floor_oth,icemrcambodiacensus_data_2022-05-13_1304_sak,,Other floor material,,,EUPATH_0000303,Dwelling characteristics,"សូមបញ្ជាក់សម្ភារះណាមួយផ្សេងទៀតប្រសិនបើមាន
If ""Other"", specify",,value,,,,,SW PACIFIC,,,,,,,,,
