IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,West Africa ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021094,Study site,3_observations_passive_case_dete::study_site | 1_participants::study_site | 2_observations_cross::study_site,1,2_observations_cross | 1_participants | 3_observations_passive_case_dete,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,yes,,,West Africa ICEMR,,,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0025072,Health center,1_participants::hc | 2_observations_cross::hc | 3_observations_passive_case_dete::hc,2,2_observations_cross | 1_participants | 3_observations_passive_case_dete,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Health Center of the point of enrollment,"1, no, SLAP de This
2, no, Medina Fall Post1
3, no, Medina Fall Post2
4, no, Gambissara HC
5, no, Cscom Dangassa
6, no, Cscom Kolia Bambana
7, no, Not in a HC
-77, no, Missing",variable,,,,West Africa ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0027061,Neighborhood,2_observations_cross::nborhood | 3_observations_passive_case_dete::nborhood | 1_participants::nborhood,3,3_observations_passive_case_dete | 1_participants | 2_observations_cross,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,,,,West Africa ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,West Africa ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,West Africa ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0003075,Age at enrollment,1_participants::age,,1_participants,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,C.3 CRF1,,variable,,,,West Africa ICEMR,EUPATH_0000120,,,yes,,,,,,
http://purl.obolibrary.org/obo/IAO_0000414,Weight,1_participants::weight | 3_observations_passive_case_dete::body_weight | 2_observations_cross::weight,,2_observations_cross | 3_observations_passive_case_dete | 1_participants,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,Body weight,"-99, -99, Unknown
-77, -77, Missing | -77, -77, Missing on the form",variable,yes,,,West Africa ICEMR,,kg,http://purl.obolibrary.org/obo/UO_0000009,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0027015,Fever or malaria in last 6 months,2_observations_cross::b2,1,2_observations_cross,,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,Has the patient had an episode of fever/ malaria in the past 6 months,"1, no, Yes
0, no, No
-77, no, Missing in the form",variable,yes,,,West Africa ICEMR,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0027053,Co-trimoxazole in last 2 weeks treatment duration,3_observations_passive_case_dete::g21_duration,10,3_observations_passive_case_dete,,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,Duration of treatment,"-99, -99, Don't know
-77, -77, Missing",variable,yes,,,West Africa ICEMR,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0027051,Co-trimoxazole in last 2 weeks doses per day,3_observations_passive_case_dete::g23_doses_day,11,3_observations_passive_case_dete,,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,# Doses/Day,"-99, -99, Don't know
-88, -88, Not applicable
-77, -77, Missing",variable,yes,,,West Africa ICEMR,,,,,,,,,,
