uniqueVar	variable	values	mappedTerm	valueOrder
tick_joined_minimal::tick_sex	tick_sex	M	Male	1
tick_joined_minimal::tick_sex	tick_sex	F	Female	2	
tick_joined_minimal::ehrlichia_anaplasma_pos	ehrlichia_anaplasma_pos	Y	Yes	1
tick_joined_minimal::ehrlichia_anaplasma_pos	ehrlichia_anaplasma_pos	N	No	2
tick_joined_minimal::ehrlichia_anaplasma_pos	ehrlichia_anaplasma_pos	NA	Not tested	3
tick_joined_minimal::borrelia_pos	borrelia_pos	Y	Yes	1
tick_joined_minimal::borrelia_pos	borrelia_pos	N	No	2
tick_joined_minimal::borrelia_pos	borrelia_pos	NA	Not tested	3
tick_joined_minimal::apicomplexa_pos	apicomplexa_pos	Y	Yes	1
tick_joined_minimal::apicomplexa_pos	apicomplexa_pos	N	No	2
tick_joined_minimal::apicomplexa_pos	apicomplexa_pos	NA	Not tested	3
tick_joined_minimal::rickettsia_pos	rickettsia_pos	Y	Yes	1
tick_joined_minimal::rickettsia_pos	rickettsia_pos	N	No	2
tick_joined_minimal::rickettsia_pos	rickettsia_pos	NA	Not tested	3
tick_joined_minimal::powassan_pos	powassan_pos	Y	Yes	1
tick_joined_minimal::powassan_pos	powassan_pos	N	No	2
tick_joined_minimal::powassan_pos	powassan_pos	NA	Not tested	3
		
