IRI,label,variable,dataset,definition,codebookValues,parentIRI,parentLabel,termType,replaces,category,ISA_Type,ISA_Parent
http://purl.obolibrary.org/obo/EUPATH_0000452,"City, village, or region",location,AnophelesAlbimanus.txt,"The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v 1.512)  (http://purl.bioontology.org/ontology/GAZ)",,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,,Anopheles albimanus,characteristicQualifier,Source
http://purl.obolibrary.org/obo/ENVO_00000004,Country,country,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,OBI_0001627,Anopheles albimanus,characteristicQualifier,Source
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,env_feature,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000587,Environment information,variable,ENVO_00002297,Anopheles albimanus,characteristicQualifier,Source
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,body_habitat,AnophelesAlbimanus.txt,original body habitat where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Anopheles albimanus,characteristicQualifier,Source
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,body_site,AnophelesAlbimanus.txt,name of body site where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Anopheles albimanus,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000512,Host common name,host_common_name,AnophelesAlbimanus.txt,"common name of the host, e.g. human",,http://purl.obolibrary.org/obo/EUPATH_0000589,Host information,variable,,Anopheles albimanus,characteristicQualifier,Source
http://purl.obolibrary.org/obo/UBERON_0000105,Host life stage,host_life_stage,AnophelesAlbimanus.txt,description of life stage of host,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Anopheles albimanus,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0009007,Host phenotype,phenotype,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Anopheles albimanus,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0001620,Latitude (degrees),latitude,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,,Anopheles albimanus,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0001621,Longitude (degrees),longitude,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,,Anopheles albimanus,characteristicQualifier,Source
http://purl.obolibrary.org/obo/ECTO_9002101,Pyrethroid insecticide exposure,exposure to pyrethroid insecticide,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,,Anopheles albimanus,characteristicQualifier,Source
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,region,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000603,Sequencing,variable,,Anopheles albimanus,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,sample_type,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,variable,,Anopheles albimanus,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000639,Study group,cohort,AnophelesAlbimanus.txt,"Describes treatment, infection status, etc.","Co-housed Naive, Infected",http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Anopheles albimanus,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0001169,Age (years),age,CAMP.txt,"age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees. The unit of age is year.",,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0009005,Animal sterilization,Animal sterilization,CAMP.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0010375,Case or control subject,case_control,CAMP.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/ENVO_00000004,Country,country,CAMP.txt,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,OBI_0001627,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,env_feature,CAMP.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000587,Environment information,variable,ENVO_00002297,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,body_habitat,CAMP.txt,original body habitat where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,body_product,CAMP.txt,"substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA",,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Dog,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,body_site,CAMP.txt,name of body site where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Dog,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000512,Host common name,host_common_name,CAMP.txt,"common name of the host, e.g. human",,http://purl.obolibrary.org/obo/EUPATH_0000589,Host information,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0009015,Pathogen species,Parasite_found_species,CAMP.txt,,,http://purl.obolibrary.org/obo/EUPATH_0009016,Pathogen type,variable,,Dog,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0009016,Pathogen type,Parasite_found_type,CAMP.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000724,Stool microbiology test,variable,,Dog,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0009004,Pet ownership,VHUP_#,CAMP.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,region,CAMP.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000603,Sequencing,variable,,Dog,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,sample_type,CAMP.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,variable,,Dog,characteristicQualifier,Sample
