IRI,label,variable,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_00000009,Country,Bangladesh_healthy_5yr.txt::country,"","","","","",OBI_0001627 | ENVO_00000004,"","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,Bangladesh_healthy_5yr.txt::env_feature,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000733,Weight-for-age z-score,Bangladesh_healthy_5yr.txt::WAZ,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009026,SRA Run ID,Bangladesh_healthy_5yr.txt::Run,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009027,SRA Experiment ID,Bangladesh_healthy_5yr.txt::Experiment,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009028,Monthly sample,Bangladesh_healthy_5yr.txt::Monthly Sample,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009030,SRA study ID,Bangladesh_healthy_5yr.txt::SRA Study ID,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0011894,Height-for-age z-score,Bangladesh_healthy_5yr.txt::HAZ,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0011895,Weight-for-height z-score,Bangladesh_healthy_5yr.txt::WHZ,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001169,Age,Bangladesh_healthy_5yr.txt::Age (months),"","","","","","",months,http://purl.obolibrary.org/obo/UO_0000035,"","","","","",""
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,Bangladesh_healthy_5yr.txt::Child ID,"","","","","","","","","",everywhere,"","","",yes
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,Bangladesh_healthy_5yr.txt::sample_type,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/PATO_0000047,Sex,Bangladesh_healthy_5yr.txt::Sex,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,Bangladesh_healthy_5yr.txt::region,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,Bangladesh_healthy_5yr.txt::body_site,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,Bangladesh_healthy_5yr.txt::body_product,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,Bangladesh_healthy_5yr.txt::body_habitat,"","","","","","","","","","","","","",""
