IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,DailyBaby.txt::country,DailyBaby.txt,"","","","","","","","","","","","","",""
ENVO_01000739,Habitat,DailyBaby.txt::env_feature,DailyBaby.txt,"","","","","",ENVO_00002297,"","","","","","","",""
EUPATH_0000343,Animals on property,DailyBaby.txt::presence_of_pets,DailyBaby.txt,"","","","","","","","","","","","","",""
EUPATH_0000580,Antibiotic exposure,DailyBaby.txt::antibiotic_exposure,DailyBaby.txt,"","","","","","","","","","","","","",""
EUPATH_0000581,Delivery mode,DailyBaby.txt::baby_delivery_mode,DailyBaby.txt,"","","","","","","","","","","","","",""
EUPATH_0009123,Antifungal exposure,DailyBaby.txt::antifungal_exposure,DailyBaby.txt,"","","","","","","","","","","","","",""
EUPATH_0011036,Age 1st solid food given,DailyBaby.txt::age_first_solid_food_given_days,DailyBaby.txt,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
EUPATH_0011732,Diet,DailyBaby.txt::child_diet,DailyBaby.txt,"","","","","","","","","","","","","",""
OBI_0001169,Age,DailyBaby.txt::day_of_life,DailyBaby.txt,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
OBI_0003070,Sample collection device or method,DailyBaby.txt::sample_collection_method,DailyBaby.txt,"","","","","",EUPATH_0000608,"","","","","","","",""
OBI_0003071,Subject ID,DailyBaby.txt::subject_id,DailyBaby.txt,"","","","","","","","","",everywhere,"","","",yes
OBI_0100051,Sample type,DailyBaby.txt::sample_type,DailyBaby.txt,"","","","","","","","","","","","","",""
PATO_0000047,Sex,DailyBaby.txt::sex,DailyBaby.txt,"","","","","","","","","","","","","",""
SO_0001000,Region of 16S rRNA sequenced,DailyBaby.txt::region,DailyBaby.txt,"","","","","","","","","","","","","",""
UBERON_0000061,Host body site,DailyBaby.txt::body_site,DailyBaby.txt,"","","","","","","","","","","","","",""
UBERON_0000463,Host body product,DailyBaby.txt::body_product,DailyBaby.txt,"","","","","","","","","","","","","",""
UBERON_0000466,Host body habitat,DailyBaby.txt::body_habitat,DailyBaby.txt,"","","","","","","","","","","","","",""
