IRI,label,variable,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ARO_3004306,Methicillin resistant Staphylococcus aureus,EcoCF.txt::methicillin resistant Staphylococcus aureus (MRSA),"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/CHEBI_161680,Aztreonam,EcoCF.txt::Aztreonam,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/CHEBI_28864,Tobramycin,EcoCF.txt::Tobramycin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/CHEBI_2955,Azithromycin,EcoCF.txt::Azithromycin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/CHEBI_37943,Colistin,EcoCF.txt::Colistin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/DRON_00018567,Dornase,EcoCF.txt::Dornase,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000009,Country,EcoCF.txt::country,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,EcoCF.txt::env_feature,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009032,CFTR mutation (allele 2),EcoCF.txt::Mutation 2,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009087,"Forced expiratory volume, percentage",EcoCF.txt::Forced Expiratory Volume (FEV1) percentage,"","","","","","",%,http://purl.obolibrary.org/obo/UO_0000187,"","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009088,Forced expiratory volume,EcoCF.txt::Forced Expiratory Volume (FEV1) liter,"","","","","","",L,http://purl.obolibrary.org/obo/UO_0000099,"","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009089,Virology result,EcoCF.txt::Virology result,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009091,CFTR mutation (F508del),EcoCF.txt::F508del-CFTR genotype,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009092,CFTR mutation (allele 1),EcoCF.txt::Mutation 1,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009096,Methicillin sensitive Staphylococcus aureus,EcoCF.txt::methicillin sensitive Staphylococcus aureus (MSSA),"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009103,Influenza,EcoCF.txt::Influenza,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009105,Pseudomonas (mucoid),EcoCF.txt::Pseudomonas (mucoid),"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009106,Pseudomonas (nonmucoid),EcoCF.txt::Pseudomonas (nonmucoid),"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009111,Rhinovirus,EcoCF.txt::Rhinovirus,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009117,Mixed Commensal Flora (prelim),EcoCF.txt::MCF (prelim),"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009119,Methicillin sensitive Staphylococcus aureus (prelim),EcoCF.txt::MSSA (prelim),"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009120,Pseudomonas (prelim),EcoCF.txt::Pseudomonas (prelim),"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/HP_0032319,Clinical status,EcoCF.txt::Clinical Status,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_10508,Adenovirus,EcoCF.txt::Adenovirus,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_11137,Human coronavirus 229E,EcoCF.txt::Coronavirus 229E,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_11216,Human parainfluenza virus 3,EcoCF.txt::parainfluenza 3,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_12059,Enterovirus,EcoCF.txt::Enterovirus,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_1279,Staphylococcus,EcoCF.txt::Staphylococcus,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_12814,Respiratory syncytial virus,EcoCF.txt::Respiratory syncytial virus,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_1313,Streptococcus pneumoniae,EcoCF.txt::Streptococcus pneumoniae,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_1314,Streptococcus pyogenes,EcoCF.txt::Streptococcus pyogenes,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_162145,Human metapneumovirus,EcoCF.txt::Human metapneumovirus,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_1817,Nocardia,EcoCF.txt::Nocardia,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_222,Achromobacter,EcoCF.txt::Achromobacter,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_24,Shewanella putrefaciens,EcoCF.txt::Shewanella putrifaciens,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_2501931,Coronavirus,EcoCF.txt::Coronavirus,"","","","","",NCBITaxon_11118,"","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_253,Chryseobacterium indologenes,EcoCF.txt::Chryseobacterium indologenes,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_277944,Human coronavirus NL63,EcoCF.txt::Coronavirus NL63,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_28090,Acinetobacter lwoffi,EcoCF.txt::Acinetobacter lwoffi,"","","","","",SNOMEDCT/83088009,"","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_286,Pseudomonas,EcoCF.txt::Pseudomonas,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_290028,Human coronavirus HKU1,EcoCF.txt::Coronavirus HKU1,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_303,Pseudomonas putida,EcoCF.txt::Pseudomonas putida,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_31631,Coronavirus OC43,EcoCF.txt::Coronavirus OC43,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_36420,Influenza A 2009,EcoCF.txt::Influenza A 2009,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_36809,Mycobacteroides abscessus,EcoCF.txt::Mycobacterium abcessus,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_40323,Stenotrophomonas,EcoCF.txt::Stenotrophomonas,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_469,Acinetobacter,EcoCF.txt::Acinetobacter,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_47886,Pseudomonas luteola,EcoCF.txt::Pseudomonas luteola,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_487,Neisseria meningitidis,EcoCF.txt::Neisseria meningitidis,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_5067,Aspergillus,EcoCF.txt::Aspergillus,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_544,Citrobacter,EcoCF.txt::Citrobacter,"","","","","","","","","","","","","",""
