IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_00000009,Country,EMP_10249_ECAM.txt::geo_loc_name,EMP_10249_ECAM.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000176,Elevation,EMP_10249_ECAM.txt::elevation,EMP_10249_ECAM.txt,"","","","","","",feet,http://purl.obolibrary.org/obo/UO_0010013,"","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000428,Environment (biome),EMP_10249_ECAM.txt::env_biome,EMP_10249_ECAM.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000856,"City, village, or region",EMP_10249_ECAM.txt::village,EMP_10249_ECAM.txt,"","","","","",EUPATH_0000452,"","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,EMP_10249_ECAM.txt::env_feature,EMP_10249_ECAM.txt,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000492,Courses of antibiotics,EMP_10249_ECAM.txt::course_num,EMP_10249_ECAM.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000497,Mom's courses of delivery antibiotics,EMP_10249_ECAM.txt::mom_courses_ofdeliveryabx,EMP_10249_ECAM.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000580,Antibiotic exposure,EMP_10249_ECAM.txt::antiexposedall,EMP_10249_ECAM.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000581,Delivery mode,EMP_10249_ECAM.txt::delivery,EMP_10249_ECAM.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000582,Antibiotics,EMP_10249_ECAM.txt::abx_name,EMP_10249_ECAM.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000585,Child's diet (by month),EMP_10249_ECAM.txt::diet_2_month,EMP_10249_ECAM.txt,"","","","","","","","","","","","","",""
