IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,EMP_1064_Bee_Microbiome.txt::country,EMP_1064_Bee_Microbiome.txt,"","","","","","","","","","","","","",""
ENVO_00000176,Elevation,EMP_1064_Bee_Microbiome.txt::elevation,EMP_1064_Bee_Microbiome.txt,"","","","","","","","","","","","","",""
ENVO_00000428,Environment (biome),EMP_1064_Bee_Microbiome.txt::env_biome,EMP_1064_Bee_Microbiome.txt,"","","","","","","","","","","","","",""
ENVO_00010483,Environment (material),EMP_1064_Bee_Microbiome.txt::env_matter,EMP_1064_Bee_Microbiome.txt,"","","","","","","","","","","","","",""
ENVO_01000739,Habitat,EMP_1064_Bee_Microbiome.txt::env_feature,EMP_1064_Bee_Microbiome.txt,"","","","","",ENVO_00002297,"","","","","","","",""
EUPATH_0000578,Depth,EMP_1064_Bee_Microbiome.txt::depth,EMP_1064_Bee_Microbiome.txt,"","","","","","","","","","","","","",""
EUPATH_0000583,Bee colony tetracycline,EMP_1064_Bee_Microbiome.txt::colony_tetracycline,EMP_1064_Bee_Microbiome.txt,"","","","","","","","","","","","","",""
EUPATH_0000592,Bee larval tetracycline,EMP_1064_Bee_Microbiome.txt::larval_tetracycline,EMP_1064_Bee_Microbiome.txt,"","","","","","","","","","","","","",""
OBI_0001169,Age,EMP_1064_Bee_Microbiome.txt::host_age,EMP_1064_Bee_Microbiome.txt,"","","","","","",years,http://purl.obolibrary.org/obo/UO_0000036,"","","","","",""
OBI_0001619,Sample collection date,EMP_1064_Bee_Microbiome.txt::collection_timestamp,EMP_1064_Bee_Microbiome.txt,"","","","","","","","","","","","","",""
OBI_0001620,Latitude,EMP_1064_Bee_Microbiome.txt::latitude,EMP_1064_Bee_Microbiome.txt,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
OBI_0001621,Longitude,EMP_1064_Bee_Microbiome.txt::longitude,EMP_1064_Bee_Microbiome.txt,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
OBI_0003071,Subject ID,EMP_1064_Bee_Microbiome.txt::host_subject_id,EMP_1064_Bee_Microbiome.txt,"","","","","",EUPATH_0000606,"","","",everywhere,"","","",yes
OBI_0003074,Subject common name,EMP_1064_Bee_Microbiome.txt::host_common_name,EMP_1064_Bee_Microbiome.txt,"","","","","",EUPATH_0000512,"","","","","","","",""
OBI_0100051,Sample type,EMP_1064_Bee_Microbiome.txt::sample_type,EMP_1064_Bee_Microbiome.txt,"","","","","","","","","","","","","",""
PATO_0000047,Sex,EMP_1064_Bee_Microbiome.txt::sex,EMP_1064_Bee_Microbiome.txt,"","","","","","","","","","","","","",""
REO_0000699,Social role,EMP_1064_Bee_Microbiome.txt::role,EMP_1064_Bee_Microbiome.txt,"","","","","","","","","","","","","",""
UBERON_0000061,Host body site,EMP_1064_Bee_Microbiome.txt::body_site,EMP_1064_Bee_Microbiome.txt,"","","","","","","","","","","","","",""
UBERON_0000105,Host life stage,EMP_1064_Bee_Microbiome.txt::host_life_stage,EMP_1064_Bee_Microbiome.txt,"","","","","","","","","","","","","",""
UBERON_0000463,Host body product,EMP_1064_Bee_Microbiome.txt::body_product,EMP_1064_Bee_Microbiome.txt,"","","","","","","","","","","","","",""
UBERON_0000466,Host body habitat,EMP_1064_Bee_Microbiome.txt::body_habitat,EMP_1064_Bee_Microbiome.txt,"","","","","","","","","","","","","",""
