IRI,label,variable,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_00000009,Country,EMP_1927_HMP_V13.txt::geo_loc_name,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000176,Elevation,EMP_1927_HMP_V13.txt::elevation,"","","","","","",feet,http://purl.obolibrary.org/obo/UO_0010013,"","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000428,Environment (biome),EMP_1927_HMP_V13.txt::env_biome,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00010483,Environment (material),EMP_1927_HMP_V13.txt::env_matter,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,EMP_1927_HMP_V13.txt::env_feature,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001620,Latitude,EMP_1927_HMP_V13.txt::latitude,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
http://purl.obolibrary.org/obo/OBI_0001621,Longitude,EMP_1927_HMP_V13.txt::longitude,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
http://purl.obolibrary.org/obo/OBI_0001622,Title,EMP_1927_HMP_V13.txt::title,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001891,Sequencing center,EMP_1927_HMP_V13.txt::sequencecenter,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,EMP_1927_HMP_V13.txt::host_subject_id,"","","","","","","","","",everywhere,"","","",yes
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,EMP_1927_HMP_V13.txt::sample_type,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,EMP_1927_HMP_V13.txt::region,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,EMP_1927_HMP_V13.txt::body_site,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,EMP_1927_HMP_V13.txt::body_product,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,EMP_1927_HMP_V13.txt::body_habitat,"","","","","","","","","","","","","",""
