IRI,label,variable,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_00000009,Country,EMP_2192_Gilbert_House.txt::country,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000176,Elevation,EMP_2192_Gilbert_House.txt::elevation,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000428,Environment (biome),EMP_2192_Gilbert_House.txt::env_biome,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00010483,Environment (material),EMP_2192_Gilbert_House.txt::env_matter,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,EMP_2192_Gilbert_House.txt::env_feature,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,EMP_2192_Gilbert_House.txt::number_residents_human,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000493,Family ID,EMP_2192_Gilbert_House.txt::family,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000494,Dwelling ID,EMP_2192_Gilbert_House.txt::house,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000588,Family move,EMP_2192_Gilbert_House.txt::moved,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000595,Child occupants,EMP_2192_Gilbert_House.txt::number_children,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000597,Percent adult occupants,EMP_2192_Gilbert_House.txt::percent_adult_residents,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000598,Percent male occupants,EMP_2192_Gilbert_House.txt::percent_male,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000602,Presence of pets or farm animals,EMP_2192_Gilbert_House.txt::pet_farm_animal,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009002,Sample source type,EMP_2192_Gilbert_House.txt::source,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009122,Sample collection time relative to move,EMP_2192_Gilbert_House.txt::move_time,"","","","","",MICRO_0000486,"","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,EMP_2192_Gilbert_House.txt::collection_timestamp,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001620,Latitude,EMP_2192_Gilbert_House.txt::latitude,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
http://purl.obolibrary.org/obo/OBI_0001621,Longitude,EMP_2192_Gilbert_House.txt::longitude,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
http://purl.obolibrary.org/obo/OBI_0001622,Title,EMP_2192_Gilbert_House.txt::title,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001898,Notes,EMP_2192_Gilbert_House.txt::notes,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0002599,Swab sample,EMP_2192_Gilbert_House.txt::surface,"","","","","",EUPATH_0009003,"","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,EMP_2192_Gilbert_House.txt::host_subject_id,"","","","","",EUPATH_0000606,"","","",everywhere,"","","",yes
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,EMP_2192_Gilbert_House.txt::subject,"","","","","",EUPATH_0000606,"","","",everywhere,"","","",yes
http://purl.obolibrary.org/obo/OBI_0003074,Subject common name,EMP_2192_Gilbert_House.txt::host_common_name,"","","","","",EUPATH_0000512,"","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,EMP_2192_Gilbert_House.txt::sample_type,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/PATO_0000047,Sex,EMP_2192_Gilbert_House.txt::sex,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/REO_0000699,Social role,EMP_2192_Gilbert_House.txt::role,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,EMP_2192_Gilbert_House.txt::region,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,EMP_2192_Gilbert_House.txt::body_site,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000105,Host life stage,EMP_2192_Gilbert_House.txt::life_stage,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,EMP_2192_Gilbert_House.txt::body_product,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,EMP_2192_Gilbert_House.txt::body_habitat,"","","","","","","","","","","","","",""
