IRI,label,variable,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_00000009,Country,EMP_797_Song_Family.txt::country,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000176,Elevation,EMP_797_Song_Family.txt::elevation,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000428,Environment (biome),EMP_797_Song_Family.txt::env_biome,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00010483,Environment (material),EMP_797_Song_Family.txt::env_matter,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,EMP_797_Song_Family.txt::env_feature,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000493,Family ID,EMP_797_Song_Family.txt::family,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000586,Drug usage,EMP_797_Song_Family.txt::drug_usage,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000593,Host total mass,EMP_797_Song_Family.txt::tot_mass,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000602,Presence of pets or farm animals,EMP_797_Song_Family.txt::pet_farm_animal,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000607,Weight loss in last three months,EMP_797_Song_Family.txt::weight_loss_3_month,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,EMP_797_Song_Family.txt::diet,"","","","","",EUPATH_0000590,"","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001169,Age,EMP_797_Song_Family.txt::host_age,"","","","","","",years,http://purl.obolibrary.org/obo/UO_0000036,"","","","","",""
http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,EMP_797_Song_Family.txt::collection_timestamp,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001620,Latitude,EMP_797_Song_Family.txt::latitude,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
http://purl.obolibrary.org/obo/OBI_0001621,Longitude,EMP_797_Song_Family.txt::longitude,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
http://purl.obolibrary.org/obo/OBI_0001622,Title,EMP_797_Song_Family.txt::title,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0003070,Sample collection device or method,EMP_797_Song_Family.txt::samp_collect_device,"","","","","",EUPATH_0000608,"","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,EMP_797_Song_Family.txt::host_subject_id,"","","","","",EUPATH_0000606,"","","",everywhere,"","","",yes
http://purl.obolibrary.org/obo/OBI_0003074,Subject common name,EMP_797_Song_Family.txt::host_common_name,"","","","","",EUPATH_0000512,"","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,EMP_797_Song_Family.txt::sample_type,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/PATO_0000047,Sex,EMP_797_Song_Family.txt::sex,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,EMP_797_Song_Family.txt::region,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,EMP_797_Song_Family.txt::body_site,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000105,Host life stage,EMP_797_Song_Family.txt::host_life_stage,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,EMP_797_Song_Family.txt::body_product,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,EMP_797_Song_Family.txt::body_habitat,"","","","","","","","","","","","","",""
