IRI,label,variable,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_00000009,Country,ENTiCE.txt::country,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,ENTiCE.txt::env_feature,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009006,Days in study,ENTiCE.txt::Timepoint post-treatment,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009009,CCECAI,ENTiCE.txt::CCECAI,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/MP_0005381,Digestive phenotype,ENTiCE.txt::phenotype,"","","","","",EUPATH_0009007,"","","","","","","",""
http://purl.obolibrary.org/obo/NCIT_C53693,Canine breed,ENTiCE.txt::Breed_Strain,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001622,Title,ENTiCE.txt::title,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,ENTiCE.txt::host_subject_id,"","","","","",EUPATH_0000606,"","","",everywhere,"","","",yes
http://purl.obolibrary.org/obo/OBI_0003074,Subject common name,ENTiCE.txt::host_common_name,"","","","","",EUPATH_0000512,"","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,ENTiCE.txt::sample_type,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/PATO_0000047,Sex,ENTiCE.txt::host_sex,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,ENTiCE.txt::region,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,ENTiCE.txt::body_site,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,ENTiCE.txt::body_product,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,ENTiCE.txt::body_habitat,"","","","","","","","","","","","","",""
