IRI,label,variable,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/CMO_0000105,BMI,FARMM_metagenomics.txt::host_body_mass_index,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000009,Country,FARMM_metagenomics.txt::country,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000856,"City, village, or region",FARMM_metagenomics.txt::City,"","","","","",EUPATH_0000452,"","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,FARMM_metagenomics.txt::env_feature,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009125,Antibiotic medication related to sample collection,FARMM_metagenomics.txt::antibiotics,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0010075,Height,FARMM_metagenomics.txt::host_height,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0010375,Case or control participant,FARMM_metagenomics.txt::case_control,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0011732,Diet,FARMM_metagenomics.txt::diet,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/IAO_0000414,Weight,FARMM_metagenomics.txt::Host weight (kg),"","","","","","",kg,"","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001169,Age,FARMM_metagenomics.txt::host_age,"","","","","","",years,"","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,FARMM_metagenomics.txt::Study timepoint,"","","","","","",days,"","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001620,Latitude,FARMM_metagenomics.txt::latitude,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
http://purl.obolibrary.org/obo/OBI_0001621,Longitude,FARMM_metagenomics.txt::longitude,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,FARMM_metagenomics.txt::subject_id,"","","","","","","","","",everywhere,"","","",yes
http://purl.obolibrary.org/obo/OBI_0003074,Subject common name,FARMM_metagenomics.txt::host_common_name,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,FARMM_metagenomics.txt::sample_type,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,FARMM_metagenomics.txt::host_body_site,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,FARMM_metagenomics.txt::host_body_product,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,FARMM_metagenomics.txt::body_habitat,"","","","","","","","","","","","","",""
