IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_00000009,Country,MALED_healthy.txt::country,MALED_healthy.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,MALED_healthy.txt::env_feature,MALED_healthy.txt,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000733,Weight-for-age z-score,MALED_healthy.txt::WAZ,MALED_healthy.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009025,SRA Sample ID,MALED_healthy.txt::SRA_Sample,MALED_healthy.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009026,SRA Run ID,MALED_healthy.txt::Run,MALED_healthy.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009027,SRA Experiment ID,MALED_healthy.txt::Experiment,MALED_healthy.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0011894,Height-for-age z-score,MALED_healthy.txt::HAZ,MALED_healthy.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0011895,Weight-for-height z-score,MALED_healthy.txt::WHZ,MALED_healthy.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001169,Age,MALED_healthy.txt::Age (months),MALED_healthy.txt,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,MALED_healthy.txt::Child ID,MALED_healthy.txt,"","","","","","","","","",everywhere,"","","",yes
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,MALED_healthy.txt::sample_type,MALED_healthy.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,MALED_healthy.txt::region,MALED_healthy.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,MALED_healthy.txt::body_site,MALED_healthy.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,MALED_healthy.txt::body_product,MALED_healthy.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,MALED_healthy.txt::body_habitat,MALED_healthy.txt,"","","","","","","","","","","","","",""
