IRI,label,variable,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_00000009,Country,MORDOR_metatranscriptome.txt::country,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,MORDOR_metatranscriptome.txt::body_habitat,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009332,Phase,MORDOR_metatranscriptome.txt::phase,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0030004,Village code,MORDOR_metatranscriptome.txt::village_code,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCIT_C161322,Treatment group,MORDOR_metatranscriptome.txt::treatment_group,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001169,Age,MORDOR_metatranscriptome.txt::Age,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,MORDOR_metatranscriptome.txt::sample_type,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/PATO_0000047,Sex,MORDOR_metatranscriptome.txt::Sex,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,MORDOR_metatranscriptome.txt::host_body_site,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,MORDOR_metatranscriptome.txt::host_body_product,"","","","","","","","","","","","","",""
