IRI,label,variable,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,NICUDischarge.txt::env_feature,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000581,Delivery mode,NICUDischarge.txt::baby_delivery_mode,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000639,Study group,NICUDischarge.txt::Group,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009034,Maternal age at birth,NICUDischarge.txt::mom_age_at_birth,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009095,Gestational age at birth,NICUDischarge.txt::gestational_age,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009097,Postmenstrual age at sample collection,NICUDischarge.txt::Postmenstrual age at sample collection,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009137,Total antibiotic administered,NICUDischarge.txt::Total_abx,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009172,Group B Streptococcus infection,NICUDischarge.txt::GBS,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009175,Chorioamnionitis,NICUDischarge.txt::Chorioamnionitis,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009177,Necrotizing enterocolitis,NICUDischarge.txt::NecrotizingEnterocolitis,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009190,Age at discharge,NICUDischarge.txt::Age at discharge,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009242,Bacterial culture in blood,NICUDischarge.txt::BloodInfection,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009243,Bacterial culture in urine,NICUDischarge.txt::UrineInfection,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009270,Bacterial culture in tracheal,NICUDischarge.txt::TrachealInfection,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009271,"Bacterial culture, other",NICUDischarge.txt::OtherInfection,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009272,Maternal antibiotics administered,NICUDischarge.txt::MaternalAntimicrobials,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009273,Oral diet at 2 months of age,NICUDischarge.txt::EnteralFeeds_2mo,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009277,Gentamicin,NICUDischarge.txt::w_Gentamicin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009278,Gentamicin,NICUDischarge.txt::m_Gentamicin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009279,Gentamicin,NICUDischarge.txt::c_Gentamicin,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009280,Vancomycin,NICUDischarge.txt::w_Vancomycin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009281,Vancomycin,NICUDischarge.txt::m_Vancomycin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009282,Vancomycin,NICUDischarge.txt::c_Vancomycin,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
