IRI,label,variable,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ARO_3004306,Methicillin resistant Staphylococcus aureus,NICUNEC.txt::Methicillin-resistant Staphylococcus aureus (MRSA) screen,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000009,Country,NICUNEC.txt::country,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,NICUNEC.txt::env_feature,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000581,Delivery mode,NICUNEC.txt::baby_delivery_mode,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000639,Study group,NICUNEC.txt::Study cohort,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009095,Gestational age at birth,NICUNEC.txt::gestational_age,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009172,Group B Streptococcus infection,NICUNEC.txt::mother_group_b_streptococcus,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009175,Chorioamnionitis,NICUNEC.txt::chorioamnionitis,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009177,Necrotizing enterocolitis,NICUNEC.txt::Nectrotizing Enterocolitis (NEC),"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009186,Birth plurality,NICUNEC.txt::birth_plurality,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009187,Amnionicity,NICUNEC.txt::amnionicity,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009188,Chorionicity,NICUNEC.txt::chorionicity,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009189,Twin type,NICUNEC.txt::fraternal_or_identical_twins,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009191,Maternal antepartum antibiotics administered,NICUNEC.txt::maternal_antepartum_antibiotics,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009192,Maternal antepartum antibiotics administered time,NICUNEC.txt::maternal_antepartum_antibiotics_timing_prior_to_delivery,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009194,Acyclovir,NICUNEC.txt::sample_acyclovir,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009195,Amoxicillin,NICUNEC.txt::sample_amoxicillin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009196,Ampicillin,NICUNEC.txt::sample_ampicillin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009197,Cefazolin,NICUNEC.txt::sample_cefazolin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009198,Cefepime,NICUNEC.txt::sample_cefepime,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009199,Cefotaxime,NICUNEC.txt::sample_cefotaxime,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009200,Claforan,NICUNEC.txt::sample_claforan,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009201,Clindamycin,NICUNEC.txt::sample_clindamycin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009202,Fluconazole,NICUNEC.txt::sample_fluconazole,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009203,Gentamycin,NICUNEC.txt::sample_gentamycin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009204,Nafcillin,NICUNEC.txt::sample_nafcillin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009205,Nystatin,NICUNEC.txt::sample_nystatin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009206,Ofloxacin,NICUNEC.txt::sample_ofloxacin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009207,Vancomycin,NICUNEC.txt::sample_vancomycin,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009208,Zosyn,NICUNEC.txt::sample_zosyn,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009209,Season of birth,NICUNEC.txt::season_of_birth,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009210,Sepsis diagnosed,NICUNEC.txt::Sepsis,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009211,Survived,NICUNEC.txt::survived,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009212,Age at study,NICUNEC.txt::birth_study_day,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009213,Days of period NEC diagnosed,NICUNEC.txt::day_of_NEC,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009215,Sibling set ID,NICUNEC.txt::sibling_set_id,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009216,Born stunted,NICUNEC.txt::Intrauterine Growth Restriction (IUGR),"","","","","",EuPathDB_0009032,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,NICUNEC.txt::diet,"","","","","",EUPATH_0000590,"","","","","","","",""
http://purl.obolibrary.org/obo/IAO_0000414,Weight,NICUNEC.txt::birth_weight,"","","","","",EUPATH_0009022,g,http://purl.obolibrary.org/obo/UO_0000021,"","","","","",""
http://purl.obolibrary.org/obo/OBI_0001169,Age,NICUNEC.txt::Age at sample collection (days),"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,NICUNEC.txt::subject_id,"","","","","","","","","",everywhere,"","","",yes
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,NICUNEC.txt::sample_type,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/PATO_0000047,Sex,NICUNEC.txt::sex,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,NICUNEC.txt::body_site,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,NICUNEC.txt::body_product,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,NICUNEC.txt::body_habitat,"","","","","","","","","","","","","",""
