IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,PIH_Uganda.txt::country,PIH_Uganda.txt,"","","","","","","","","","","","","",""
ENVO_00000856,"City, village, or region",PIH_Uganda.txt::location,PIH_Uganda.txt,"","","","","",EUPATH_0000452,"","","","","","","",""
ENVO_01000739,Habitat,PIH_Uganda.txt::env_feature,PIH_Uganda.txt,"","","","","",ENVO_00002297,"","","","","","","",""
HP_0000238,Hydrocephalus,PIH_Uganda.txt::hydrocephalus,PIH_Uganda.txt,"","","","","","","","","","","","","",""
OBI_0001169,Age,PIH_Uganda.txt::age_at_collection_months,PIH_Uganda.txt,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
OBI_0100051,Sample type,PIH_Uganda.txt::sample_type,PIH_Uganda.txt,"","","","","","","","","","","","","",""
PATO_0000047,Sex,PIH_Uganda.txt::sex,PIH_Uganda.txt,"","","","","","","","","","","","","",""
SO_0001000,Region of 16S rRNA sequenced,PIH_Uganda.txt::region,PIH_Uganda.txt,"","","","","","","","","","","","","",""
UBERON_0000061,Host body site,PIH_Uganda.txt::body_site,PIH_Uganda.txt,"","","","","","","","","","","","","",""
UBERON_0000463,Host body product,PIH_Uganda.txt::body_product,PIH_Uganda.txt,"","","","","","","","","","","","","",""
UBERON_0000466,Host body habitat,PIH_Uganda.txt::body_habitat,PIH_Uganda.txt,"","","","","","","","","","","","","",""
