IRI,label,variable,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_00000009,Country,UgandaMaternal.txt::country,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000856,"City, village, or region",UgandaMaternal.txt::City,"","","","","",EUPATH_0000452,"","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,UgandaMaternal.txt::env_feature,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000048,"Plasmodium asexual stages, by microscopy",UgandaMaternal.txt::Malaria results,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000581,Delivery mode,UgandaMaternal.txt::Delivery Mode,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009036,Mom reported antibiotic use during pregnancy,UgandaMaternal.txt::Antibiotic use,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009107,"Cytomegalovirus, by PCR",UgandaMaternal.txt::Cytomegalovirus,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009109,Fever during labor,UgandaMaternal.txt::Fever during labor,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009110,Previous pregnancies count,UgandaMaternal.txt::Number of previous pregnancies,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0033193,HIV status,UgandaMaternal.txt::HIV status,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0038078,Delivery duration,UgandaMaternal.txt::Delivery duration,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/GSSO_004872,Vaginal infection,UgandaMaternal.txt::Vaginal infection,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001169,Age,UgandaMaternal.txt::Age (years),"","","","","","",years,http://purl.obolibrary.org/obo/UO_0000036,"","","","","",""
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,UgandaMaternal.txt::Sample type,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/PATO_0000047,Sex,UgandaMaternal.txt::Sex,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/SYMP_0019174,Chills,UgandaMaternal.txt::Chills reported,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,UgandaMaternal.txt::body_site,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,UgandaMaternal.txt::body_product,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,UgandaMaternal.txt::body_habitat,"","","","","","","","","","","","","",""
