IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_01000739,Habitat,BONUS.txt::env_feature,BONUS.txt,,,,,,ENVO_00002297,,,,,,,,
EUPATH_0000580,Antibiotic exposure,BONUS.txt::antibiotic_exposure,BONUS.txt,,,yes,,,,,,,,,,,
EUPATH_0000639,Study group,BONUS.txt::cohort,BONUS.txt,,,,,,,,,,,,,,
EUPATH_0009091,CFTR mutation (F508del),BONUS.txt::F508del-CFTR genotype,BONUS.txt,,,,,,,,,,,,,,
EUPATH_0009241,Low weight,BONUS.txt::Is low weight,BONUS.txt,,,yes,,,,,,,,,,,
EUPATH_0009244,Table food,BONUS.txt::Table food in diet,BONUS.txt,,,yes,,,,,,,,,,,
EUPATH_0009261,Low length,BONUS.txt::Is low length,BONUS.txt,,,yes,,,,,,,,,,,
EUPATH_0009262,Received acid blocker,BONUS.txt::Received acid blocker,BONUS.txt,,,,,,,,,,,,,,
EUPATH_0009263,Received proton pump inhibitor,BONUS.txt::Received protein pump inhibitor,BONUS.txt,,,,,,,,,,,,,,
EUPATH_0011918,Recumbent length,BONUS.txt::Body length (cm),BONUS.txt,,,yes,,,,cm,http://purl.obolibrary.org/obo/UO_0000015,,,,,,
EUPATH_0031068,Breast milk,BONUS.txt::Breastmilk in diet,BONUS.txt,,,yes,,,,,,,,,,,
FOODON_03303130,Infant formula,BONUS.txt::Formula in diet,BONUS.txt,,,yes,,,,,,,,,,,
HP_0001738,Pancreatic insufficiency,BONUS.txt::Pancreatic insufficiency,BONUS.txt,,,yes,,,,,,,,,,,
IAO_0000414,Weight,BONUS.txt::Host weight (kg),BONUS.txt,,,yes,,,EUPATH_0000732,kg,http://purl.obolibrary.org/obo/UO_0000009,,,,,,
OBI_0001169,Age,BONUS.txt::age_at_collection_months,BONUS.txt,,,yes,yes,yes,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,
OBI_0003071,Subject ID,BONUS.txt::subject_id,BONUS.txt,,,,,,,,,,everywhere,,,,yes
PATO_0000047,Sex,BONUS.txt::sex,BONUS.txt,,,,,,,,,,,,,,
UBERON_0000061,Host body site,BONUS.txt::body_site,BONUS.txt,,,,,,,,,,,,,,
UBERON_0000463,Host body product,BONUS.txt::body_product,BONUS.txt,,,,,,,,,,,,,,
UBERON_0000466,Host body habitat,BONUS.txt::body_habitat,BONUS.txt,,,,,,,,,,,,,,
EUPATH_0009245,Fecal fat,BONUS.txt::Fecal fat percentage,BONUS.txt,,,yes,,,,%,http://purl.obolibrary.org/obo/UO_0000187,,,,,,
NCIT_C105971,Calprotectin,BONUS.txt::Calprotectin,BONUS.txt,,,yes,,,,ug/g,http://purl.obolibrary.org/obo/EUPATH_0036575,,,,,,
OBI_0100051,Sample type,BONUS.txt::sample_type,BONUS.txt,,,,,,,,,,,,,,
