# version-2
variable	values	mappedTerm	valueOrder
gender	male	Male
gender	female	Female
GADA	TRUE	Yes
GADA	FALSE	No
IAA	TRUE	Yes
IAA	FALSE	No
IA2A	TRUE	Yes
IA2A	FALSE	No
ICA	TRUE	Yes
ICA	FALSE	No
ZNT8A	TRUE	Yes
ZNT8A	FALSE	No
t1d_diagnosed	TRUE	Yes
t1d_diagnosed	FALSE	No
milk_first_three_days	formula	Formula
milk_first_three_days	mother's breast milk	Mother's breast milk
milk_first_three_days	multiple types or not reported	Multiple types or not reported
birth_location	rural	Rural
birth_location	urban	Urban
mom_age_at_birth	NA	:::UNDEF:::
abx_while_pregnant	TRUE	Yes
abx_while_pregnant	FALSE	No
gestational_diabetes	TRUE	Yes
gestational_diabetes	FALSE	No
body_product	UBERON:feces	Feces
body_habitat	colon	Colon
body_site	colon	Colon
