# version-2
variable	values	mappedTerm	valueOrder
country	GAZ:United States of America	United States of America
f508del-cftr genotype	heterozygous	Heterozygous
f508del-cftr genotype	homozygous	Homozygous
f508del-cftr genotype	other	Other
achromobacter	Y	Yes
achromobacter	N	No
achromobacter xyloxidans	Y	Yes
achromobacter xyloxidans	N	No
acinetobacter	Y	Yes
acinetobacter	N	No
acinetobacter lwoffi	Y	Yes
acinetobacter lwoffi	N	No
adenovirus	Y	Yes
adenovirus	N	No
aspergillus	Y	Yes
aspergillus	N	No
azithromycin	Y	Yes
azithromycin	N	No
aztreonam	Y	Yes
aztreonam	N	No
burkholderia cenocepacia	Y	Yes
burkholderia cenocepacia	N	No
burkholderia multivorans	Y	Yes
burkholderia multivorans	N	No
candida albicans	Y	Yes
candida albicans	N	No
chryseobacterium	Y	Yes
chryseobacterium	N	No
chryseobacterium indologenes	Y	Yes
chryseobacterium indologenes	N	No
citrobacter	Y	Yes
citrobacter	N	No
citrobacter freundii	Y	Yes
citrobacter freundii	N	No
colistin	Y	Yes
colistin	N	No
coronavirus	Y	Yes
coronavirus	N	No
coronavirus 229e	Y	Yes
coronavirus 229e	N	No
coronavirus hku1	Y	Yes
coronavirus hku1	N	No
coronavirus nl63	Y	Yes
coronavirus nl63	N	No
coronavirus oc43	Y	Yes
coronavirus oc43	N	No
dornase	Y	Yes
dornase	N	No
enterobacter	Y	Yes
enterobacter	N	No
enterovirus	Y	Yes
enterovirus	N	No
escherichia coli	Y	Yes
escherichia coli	N	No
haemophilus	Y	Yes
haemophilus	N	No
haemophilus influenza	Y	Yes
haemophilus influenza	N	No
human metapneumovirus	Y	Yes
human metapneumovirus	N	No
influenza	Y	Yes
influenza	N	No
influenza a 2009	Y	Yes
influenza a 2009	N	No
klebsiella	Y	Yes
klebsiella	N	No
klebsiella oxytoca	Y	Yes
klebsiella oxytoca	N	No
klebsiella pneumoniae	Y	Yes
klebsiella pneumoniae	N	No
mcf (prelim)	Y	Yes
mcf (prelim)	N	No
methicillin resistant staphylococcus aureus (mrsa)	Y	Yes
methicillin resistant staphylococcus aureus (mrsa)	N	No
methicillin sensitive staphylococcus aureus (mssa)	Y	Yes
methicillin sensitive staphylococcus aureus (mssa)	N	No
mixed commensal flora (mcf)	Y	Yes
mixed commensal flora (mcf)	N	No
mssa (prelim)	Y	Yes
mssa (prelim)	N	No
mycobacterium abcessus	Y	Yes
mycobacterium abcessus	N	No
neisseria meningitidis	Y	Yes
neisseria meningitidis	N	No
nocardia	Y	Yes
nocardia	N	No
parainfluenza 3	Y	Yes
parainfluenza 3	N	No
pseudomonas	Y	Yes
pseudomonas	N	No
pseudomonas (mucoid)	Y	Yes
pseudomonas (mucoid)	N	No
pseudomonas (nonmucoid)	Y	Yes
pseudomonas (nonmucoid)	N	No
pseudomonas (prelim)	Y	Yes
pseudomonas (prelim)	N	No
pseudomonas luteola	Y	Yes
pseudomonas luteola	N	No
pseudomonas putida	Y	Yes
pseudomonas putida	N	No
respiratory syncytial virus	Y	Yes
respiratory syncytial virus	N	No
rhinovirus	Y	Yes
rhinovirus	N	No
serratia	Y	Yes
serratia	N	No
serratia liquifaciens	Y	Yes
serratia liquifaciens	N	No
serratia marcescens	Y	Yes
serratia marcescens	N	No
shewanella putrifaciens	Y	Yes
shewanella putrifaciens	N	No
staphylococcus	Y	Yes
staphylococcus	N	No
stenotrophomonas	Y	Yes
stenotrophomonas	N	No
streptococcus pneumoniae	Y	Yes
streptococcus pneumoniae	N	No
streptococcus pyogenes	Y	Yes
streptococcus pyogenes	N	No
tobramycin	Y	Yes
tobramycin	N	No
age (years)	{{.year}}	:::UNDEF:::
