IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,ENTiCE.txt::country,ENTiCE.txt,,,,,,,,,,,,,,
ENVO_01000739,Habitat,ENTiCE.txt::env_feature,ENTiCE.txt,,,,,,ENVO_00002297,,,,,,,,
OBI_0001622,Title,ENTiCE.txt::title,ENTiCE.txt,,,,,,,,,,,,,,
EUPATH_0009006,Days in study,ENTiCE.txt::Timepoint post-treatment,ENTiCE.txt,,,yes,yes,,,,,,,,,,
EUPATH_0009009,CCECAI,ENTiCE.txt::CCECAI,ENTiCE.txt,,,yes,,,,,,,,,,,
MP_0005381,Digestive phenotype,ENTiCE.txt::phenotype,ENTiCE.txt,,,,,,EUPATH_0009007,,,,,,,,
NCIT_C53693,Canine breed,ENTiCE.txt::Breed_Strain,ENTiCE.txt,,,,,,,,,,,,,,
OBI_0003071,Subject ID,ENTiCE.txt::host_subject_id,ENTiCE.txt,,,,,,EUPATH_0000606,,,,everywhere,,,,yes
OBI_0003074,Subject common name,ENTiCE.txt::host_common_name,ENTiCE.txt,,,,,,EUPATH_0000512,,,,,,,,
PATO_0000047,Sex,ENTiCE.txt::host_sex,ENTiCE.txt,,,,,,,,,,,,,,
UBERON_0000061,Host body site,ENTiCE.txt::body_site,ENTiCE.txt,,,,,,,,,,,,,,
UBERON_0000463,Host body product,ENTiCE.txt::body_product,ENTiCE.txt,,,,,,,,,,,,,,
UBERON_0000466,Host body habitat,ENTiCE.txt::body_habitat,ENTiCE.txt,,,,,,,,,,,,,,
OBI_0100051,Sample type,ENTiCE.txt::sample_type,ENTiCE.txt,,,,,,,,,,,,,,
SO_0001000,Region of 16S rRNA sequenced,ENTiCE.txt::region,ENTiCE.txt,,,,,,,,,,,,,,
