IRI,label,variable,dataFile,displayOrder,codebookDescription,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,EMP_797_Song_Family.txt::country,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
ENVO_00000176,Elevation,EMP_797_Song_Family.txt::elevation,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
ENVO_00000428,Environment (biome),EMP_797_Song_Family.txt::env_biome,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
ENVO_00010483,Environment (material),EMP_797_Song_Family.txt::env_matter,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
ENVO_01000739,Habitat,EMP_797_Song_Family.txt::env_feature,EMP_797_Song_Family.txt,"","","","","",ENVO_00002297,"","","","","","","",""
EUPATH_0000493,Family ID,EMP_797_Song_Family.txt::family,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
EUPATH_0000602,Presence of pets or farm animals,EMP_797_Song_Family.txt::pet_farm_animal,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
OBI_0001620,Latitude,EMP_797_Song_Family.txt::latitude,EMP_797_Song_Family.txt,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
OBI_0001621,Longitude,EMP_797_Song_Family.txt::longitude,EMP_797_Song_Family.txt,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
OBI_0001622,Title,EMP_797_Song_Family.txt::title,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
EUPATH_0000586,Drug usage,EMP_797_Song_Family.txt::drug_usage,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
EUPATH_0000593,Host total mass,EMP_797_Song_Family.txt::tot_mass,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
EUPATH_0000607,Weight loss in last three months,EMP_797_Song_Family.txt::weight_loss_3_month,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
EUPATH_0050531,Contents of diet,EMP_797_Song_Family.txt::diet,EMP_797_Song_Family.txt,"","","","","",EUPATH_0000590,"","","","","","","",""
OBI_0001169,Age,EMP_797_Song_Family.txt::host_age,EMP_797_Song_Family.txt,"","","","","","",years,http://purl.obolibrary.org/obo/UO_0000036,"","","","","",""
OBI_0003071,Subject ID,EMP_797_Song_Family.txt::host_subject_id,EMP_797_Song_Family.txt,"","","","","",EUPATH_0000606,"","","",everywhere,"","","",yes
OBI_0003074,Subject common name,EMP_797_Song_Family.txt::host_common_name,EMP_797_Song_Family.txt,"","","","","",EUPATH_0000512,"","","","","","","",""
PATO_0000047,Sex,EMP_797_Song_Family.txt::sex,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
UBERON_0000061,Host body site,EMP_797_Song_Family.txt::body_site,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
UBERON_0000105,Host life stage,EMP_797_Song_Family.txt::host_life_stage,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
UBERON_0000463,Host body product,EMP_797_Song_Family.txt::body_product,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
UBERON_0000466,Host body habitat,EMP_797_Song_Family.txt::body_habitat,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
OBI_0001619,Sample collection date,EMP_797_Song_Family.txt::collection_timestamp,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
OBI_0003070,Sample collection device or method,EMP_797_Song_Family.txt::samp_collect_device,EMP_797_Song_Family.txt,"","","","","",EUPATH_0000608,"","","","","","","",""
OBI_0100051,Sample type,EMP_797_Song_Family.txt::sample_type,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
SO_0001000,Region of 16S rRNA sequenced,EMP_797_Song_Family.txt::region,EMP_797_Song_Family.txt,"","","","","","","","","","","","","",""
