IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,FARMM_metagenomics.txt::country,FARMM_metagenomics.txt,,,,,,,,,,,,,,
ENVO_00000856,"City, village, or region",FARMM_metagenomics.txt::City,FARMM_metagenomics.txt,,,,,,EUPATH_0000452,,,,,,,,
ENVO_01000739,Habitat,FARMM_metagenomics.txt::env_feature,FARMM_metagenomics.txt,,,yes,,,,,,,,,,,
OBI_0001620,Latitude,FARMM_metagenomics.txt::latitude,FARMM_metagenomics.txt,,,,,,,degrees,http://purl.obolibrary.org/obo/UO_0000185,,everywhere,,,,
OBI_0001621,Longitude,FARMM_metagenomics.txt::longitude,FARMM_metagenomics.txt,,,,,,,degrees,http://purl.obolibrary.org/obo/UO_0000185,,everywhere,,,,
CMO_0000105,BMI,FARMM_metagenomics.txt::host_body_mass_index,FARMM_metagenomics.txt,,,,,,,,,,,,,,
EUPATH_0009125,Antibiotic medication related to sample collection,FARMM_metagenomics.txt::antibiotics,FARMM_metagenomics.txt,,,yes,,,,,,,,,,,
EUPATH_0010075,Height,FARMM_metagenomics.txt::host_height,FARMM_metagenomics.txt,,,,,,,,,,,,,,
EUPATH_0010375,Case or control participant,FARMM_metagenomics.txt::case_control,FARMM_metagenomics.txt,,,,,,,,,,,,,,
EUPATH_0011732,Diet,FARMM_metagenomics.txt::diet,FARMM_metagenomics.txt,,,,,,,,,,,,,,
IAO_0000414,Weight,FARMM_metagenomics.txt::Host weight (kg),FARMM_metagenomics.txt,,,,,,,kg,http://purl.obolibrary.org/obo/UO_0000009,,,,,,
OBI_0001169,Age,FARMM_metagenomics.txt::host_age,FARMM_metagenomics.txt,,,yes,yes,,,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,
OBI_0001508,Study timepoint,FARMM_metagenomics.txt::Study timepoint,FARMM_metagenomics.txt,,,yes,yes,yes,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
OBI_0003071,Subject ID,FARMM_metagenomics.txt::subject_id,FARMM_metagenomics.txt,,,,,,,,,,everywhere,,,,yes
OBI_0003074,Subject common name,FARMM_metagenomics.txt::host_common_name,FARMM_metagenomics.txt,,,,,,,,,,,,,,
UBERON_0000061,Host body site,FARMM_metagenomics.txt::host_body_site,FARMM_metagenomics.txt,,,,,,,,,,,,,,
UBERON_0000463,Host body product,FARMM_metagenomics.txt::host_body_product,FARMM_metagenomics.txt,,,,,,,,,,,,,,
UBERON_0000466,Host body habitat,FARMM_metagenomics.txt::body_habitat,FARMM_metagenomics.txt,,,,,,,,,,,,,,
OBI_0100051,Sample type,FARMM_metagenomics.txt::sample_type,FARMM_metagenomics.txt,,,yes,,,,,,,,,,,
