# version-2
env_feature	human-associated habitat	Human-associated habitat
env_biome	urban biome	Urban biome
country	USA	United States of America
body_habitat	Colon	Colon
body_habitat	UBERON:oral cavity	Oral cavity
body_habitat	UBERON:skin	Skin
body_habitat	UBERON:vagina	Vagina
body_product	UBERON:feces	Feces
body_product	UBERON:mucus	Mucus
body_product	UBERON:saliva	Saliva
body_product	UBERON:sebum	Sebum
body_product	UBERON:subgingival dental plaque	Subgingival dental plaque
body_product	UBERON:supragingival dental plaque	Supragingival dental plaque
body_site	Colon	Colon
body_site	UBERON:anterior nares	Anterior nares
body_site	UBERON:buccal mucosa	Buccal mucosa
body_site	UBERON:central vagina	Central vagina
body_site	UBERON:external ear	External ear
body_site	UBERON:gingiva	Gingiva
body_site	UBERON:hard palate	Hard palate
body_site	UBERON:mouth	Mouth
body_site	UBERON:palatine tonsil	Palatine tonsil
body_site	UBERON:posterior fornix of vagina	Posterior fornix of vagina
body_site	UBERON:skin of elbow	Skin of elbow
body_site	UBERON:throat	Throat
body_site	UBERON:tongue	Tongue
body_site	UBERON:tooth	Tooth
body_site	UBERON:vaginal introitus	Vaginal introitus
region	V1-V3	V1-V3
region	V3-V1	V1-V3
