IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,EMP_1928_HMP_V35.txt::geo_loc_name,EMP_1928_HMP_V35.txt,"","","","","","","","","","","","","",""
ENVO_00000176,Elevation,EMP_1928_HMP_V35.txt::elevation,EMP_1928_HMP_V35.txt,"","","","","","",feet,http://purl.obolibrary.org/obo/UO_0010013,"","","","","",""
ENVO_00000428,Environment (biome),EMP_1928_HMP_V35.txt::env_biome,EMP_1928_HMP_V35.txt,"","","","","","","","","","","","","",""
ENVO_00010483,Environment (material),EMP_1928_HMP_V35.txt::env_matter,EMP_1928_HMP_V35.txt,"","","","","","","","","","","","","",""
ENVO_01000739,Habitat,EMP_1928_HMP_V35.txt::env_feature,EMP_1928_HMP_V35.txt,"","","","","",ENVO_00002297,"","","","","","","",""
OBI_0001620,Latitude,EMP_1928_HMP_V35.txt::latitude,EMP_1928_HMP_V35.txt,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
OBI_0001621,Longitude,EMP_1928_HMP_V35.txt::longitude,EMP_1928_HMP_V35.txt,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
OBI_0001622,Title,EMP_1928_HMP_V35.txt::title,EMP_1928_HMP_V35.txt,"","","","","","","","","","","","","",""
OBI_0003071,Subject ID,EMP_1928_HMP_V35.txt::host_subject_id,EMP_1928_HMP_V35.txt,"","","","","","","","","",everywhere,"","","",yes
UBERON_0000061,Host body site,EMP_1928_HMP_V35.txt::body_site,EMP_1928_HMP_V35.txt,"","","","","","","","","","","","","",""
UBERON_0000463,Host body product,EMP_1928_HMP_V35.txt::body_product,EMP_1928_HMP_V35.txt,"","","","","","","","","","","","","",""
UBERON_0000466,Host body habitat,EMP_1928_HMP_V35.txt::body_habitat,EMP_1928_HMP_V35.txt,"","","","","","","","","","","","","",""
OBI_0100051,Sample type,EMP_1928_HMP_V35.txt::sample_type,EMP_1928_HMP_V35.txt,"","","","","","","","","","","","","",""
OBI_0001891,Sequencing center,EMP_1928_HMP_V35.txt::sequencecenter,EMP_1928_HMP_V35.txt,"","","","","","","","","","","","","",""
SO_0001000,Region of 16S rRNA sequenced,EMP_1928_HMP_V35.txt::region,EMP_1928_HMP_V35.txt,"","","","","","","","","","","","","",""
