variable	variable2	values	mappedTerm	valueOrder
geo_loc_name	geo_loc_name	USA	United States of America
env_feature	human-associated habitat	Human-associated habitat
body_habitat	body_habitat	UBERON:oral cavity	Oral cavity
body_habitat	body_habitat	UBERON:skin	Skin
body_habitat	body_habitat	UBERON:vagina	Vagina
body_product	body_product	UBERON:feces	Feces
body_product	body_product	UBERON:mucus	Mucus
body_product	body_product	UBERON:saliva	Saliva
body_product	body_product	UBERON:sebum	Sebum
body_product	body_product	UBERON:subgingival dental plaque	Subgingival dental plaque
body_product	body_product	UBERON:supragingival dental plaque	Supragingival dental plaque
body_site	body_site	UBERON:buccal mucosa	Buccal mucosa
body_site	body_site	UBERON:central vagina	Central vagina
body_site	body_site	UBERON:external ear	External ear
body_site	body_site	UBERON:gingiva	Gingiva
body_site	body_site	UBERON:hard palate	Palate
body_site	body_site	UBERON:oral cavity	Oral cavity
body_site	body_site	UBERON:palatine tonsil	Palatine tonsil
body_site	body_site	UBERON:posterior fornix of vagina	Posterior fornix of vagina	
body_site	body_site	UBERON:skin of elbow	Skin of elbos
body_site	body_site	UBERON:skin of nose	Skin of nose
body_site	body_site	UBERON:throat	Throat
body_site	body_site	UBERON:tongue	Tongue
body_site	body_site	UBERON:tooth	Tooth	
body_site	body_site	UBERON:vaginal introitus	Vaginal introitus
body_site	body_site	UBERON:central vagina	Central vagina
sample_type	sample_type	mucus	Mucus	
sample_type	sample_type	sebum	Sebum
sample_type	sample_type	stool	Stool
region	region	V5-V3	V3-V5
env_biome	env_biome	urban biome	Urban biome
env_feature	env_feature	host-associated habitat	Host-associated habitat
title	title	"Structure, function and diversity of the healthy human microbiome (V35)"	Structure, function and diversity of the healthy human microbiome (V35)
