IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,EMP_2192_Gilbert_House.txt::country,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
ENVO_00000176,Elevation,EMP_2192_Gilbert_House.txt::elevation,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
ENVO_00000428,Environment (biome),EMP_2192_Gilbert_House.txt::env_biome,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
ENVO_00010483,Environment (material),EMP_2192_Gilbert_House.txt::env_matter,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
ENVO_01000739,Habitat,EMP_2192_Gilbert_House.txt::env_feature,EMP_2192_Gilbert_House.txt,"","","","","",ENVO_00002297,"","","","","","","",""
EUPATH_0000019,Persons living in house count,EMP_2192_Gilbert_House.txt::number_residents_human,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
EUPATH_0000493,Family ID,EMP_2192_Gilbert_House.txt::family,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
EUPATH_0000494,Dwelling ID,EMP_2192_Gilbert_House.txt::house,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
EUPATH_0000588,Family move,EMP_2192_Gilbert_House.txt::moved,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
EUPATH_0000595,Child occupants,EMP_2192_Gilbert_House.txt::number_children,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
EUPATH_0000597,Percent adult occupants,EMP_2192_Gilbert_House.txt::percent_adult_residents,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
EUPATH_0000598,Percent male occupants,EMP_2192_Gilbert_House.txt::percent_male,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
EUPATH_0000602,Presence of pets or farm animals,EMP_2192_Gilbert_House.txt::pet_farm_animal,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
OBI_0001620,Latitude,EMP_2192_Gilbert_House.txt::latitude,EMP_2192_Gilbert_House.txt,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
OBI_0001621,Longitude,EMP_2192_Gilbert_House.txt::longitude,EMP_2192_Gilbert_House.txt,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
OBI_0001622,Title,EMP_2192_Gilbert_House.txt::title,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
OBI_0003071,Subject ID,EMP_2192_Gilbert_House.txt::host_subject_id,EMP_2192_Gilbert_House.txt,"","","","","",EUPATH_0000606,"","","",everywhere,"","","",yes
OBI_0003071,Subject ID,EMP_2192_Gilbert_House.txt::subject,EMP_2192_Gilbert_House.txt,"","","","","",EUPATH_0000606,"","","",everywhere,"","","",yes
OBI_0003074,Subject common name,EMP_2192_Gilbert_House.txt::host_common_name,EMP_2192_Gilbert_House.txt,"","","","","",EUPATH_0000512,"","","","","","","",""
PATO_0000047,Sex,EMP_2192_Gilbert_House.txt::sex,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
REO_0000699,Social role,EMP_2192_Gilbert_House.txt::role,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
UBERON_0000061,Host body site,EMP_2192_Gilbert_House.txt::body_site,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
UBERON_0000105,Host life stage,EMP_2192_Gilbert_House.txt::life_stage,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
UBERON_0000463,Host body product,EMP_2192_Gilbert_House.txt::body_product,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
UBERON_0000466,Host body habitat,EMP_2192_Gilbert_House.txt::body_habitat,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
EUPATH_0009002,Sample source type,EMP_2192_Gilbert_House.txt::source,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
EUPATH_0009122,Sample collection time relative to move,EMP_2192_Gilbert_House.txt::move_time,EMP_2192_Gilbert_House.txt,"","","","","",MICRO_0000486,"","","","","","","",""
OBI_0001619,Sample collection date,EMP_2192_Gilbert_House.txt::collection_timestamp,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
OBI_0001898,Notes,EMP_2192_Gilbert_House.txt::notes,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
OBI_0002599,Swab sample,EMP_2192_Gilbert_House.txt::surface,EMP_2192_Gilbert_House.txt,"","","","","",EUPATH_0009003,"","","","","","","",""
OBI_0100051,Sample type,EMP_2192_Gilbert_House.txt::sample_type,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
SO_0001000,Region of 16S rRNA sequenced,EMP_2192_Gilbert_House.txt::region,EMP_2192_Gilbert_House.txt,"","","","","","","","","","","","","",""
