IRI,label,variable,dataFile,displayOrder,codebookDescription,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,Malaysia_Helminth.txt::country,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
ENVO_00000856,"City, village, or region",Malaysia_Helminth.txt::location,Malaysia_Helminth.txt,"","","","","",EUPATH_0000452,"","","","","","","",""
OBI_0001620,Latitude,Malaysia_Helminth.txt::latitude,Malaysia_Helminth.txt,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
OBI_0001621,Longitude,Malaysia_Helminth.txt::longitude,Malaysia_Helminth.txt,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
EUPATH_0009341,Undercooked meat,Malaysia_Helminth.txt::Undercooked_meat,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009342,Boiled water,Malaysia_Helminth.txt::Boiled_water,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009343,Taken antibiotics in past 3 months,Malaysia_Helminth.txt::Antibiotics_past_3months,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009344,Taken probiotic food in past 3 months,Malaysia_Helminth.txt::Probiotic_food_past_3months,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009345,Diarrhea in past 3 months,Malaysia_Helminth.txt::Diarrhea_past_3months,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009349,Response to anthelminthic treatment,Malaysia_Helminth.txt::Response to anthelminthic,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
OBI_0001169,Age,Malaysia_Helminth.txt::age,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
OBI_0003071,Subject ID,Malaysia_Helminth.txt::subject_id,Malaysia_Helminth.txt,"","","","","","","","","",everywhere,"","","",yes
OMRSE_00000205,Ethnicity,Malaysia_Helminth.txt::Cultural group,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
OMRSE_00002045,Education level,Malaysia_Helminth.txt::level_of_education,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
PATO_0000047,Sex,Malaysia_Helminth.txt::sex,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
UBERON_0000061,Host body site,Malaysia_Helminth.txt::body_site,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
UBERON_0000463,Host body product,Malaysia_Helminth.txt::body_product,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
UBERON_0000466,Host body habitat,Malaysia_Helminth.txt::body_habitat,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009333,Sample collection time relative to treatment,Malaysia_Helminth.txt::sample_collection_timepoint,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009334,Helminth,Malaysia_Helminth.txt::Helminth_infection,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009335,Trichuris,Malaysia_Helminth.txt::Trichuris_infection,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009336,Ascaris,Malaysia_Helminth.txt::Ascaris_infection,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009337,Hookworm,Malaysia_Helminth.txt::Hookworm_infection,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009338,Trichuris infection intensity level,Malaysia_Helminth.txt::Trichuris_infection_intensity,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009339,Ascaris infection intensity level,Malaysia_Helminth.txt::Ascaris_infection_intensity,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009340,Hookworm infection intensity level,Malaysia_Helminth.txt::Hookworm_infection_intensity,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009346,"Trichuris infection intensity, by Kato-Katz",Malaysia_Helminth.txt::Trichuris trichuria burden,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009347,"Ascaris infection intensity, by Kato-Katz",Malaysia_Helminth.txt::Ascaris lumbricoides burden,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
EUPATH_0009348,"Hookworm infection intensity, by Kato-Katz",Malaysia_Helminth.txt::Hookworm burden,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
OBI_0100051,Sample type,Malaysia_Helminth.txt::sample_type,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
OBI_0000711,Library preparation,Malaysia_Helminth.txt::library protocol,Malaysia_Helminth.txt,"","","","","","","","","","","","","",""
