IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,MORDOR_metatranscriptome.txt::country,MORDOR_metatranscriptome.txt,"","","","","","","","","","","","","",""
ENVO_01000739,Habitat,MORDOR_metatranscriptome.txt::body_habitat,MORDOR_metatranscriptome.txt,"","","","","","","","","","","","","",""
EUPATH_0030004,Village code,MORDOR_metatranscriptome.txt::village_code,MORDOR_metatranscriptome.txt,"","","","","","","","","","","","","",""
NCIT_C161322,Treatment group,MORDOR_metatranscriptome.txt::treatment_group,MORDOR_metatranscriptome.txt,"","","","","","","","","","","","","",""
OBI_0001169,Age,MORDOR_metatranscriptome.txt::Age,MORDOR_metatranscriptome.txt,"","","","","","","","","","","","","",""
PATO_0000047,Sex,MORDOR_metatranscriptome.txt::Sex,MORDOR_metatranscriptome.txt,"","","","","","","","","","","","","",""
UBERON_0000061,Host body site,MORDOR_metatranscriptome.txt::host_body_site,MORDOR_metatranscriptome.txt,"","","","","","","","","","","","","",""
UBERON_0000463,Host body product,MORDOR_metatranscriptome.txt::host_body_product,MORDOR_metatranscriptome.txt,"","","","","","","","","","","","","",""
EUPATH_0009332,Phase,MORDOR_metatranscriptome.txt::phase,MORDOR_metatranscriptome.txt,"","","","","","","","","","","","","",""
OBI_0100051,Sample type,MORDOR_metatranscriptome.txt::sample_type,MORDOR_metatranscriptome.txt,"","","","","","","","","","","","","",""
