IRI,label,variable,dataFile,displayOrder,codebookDescription,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_01000739,Habitat,NICUDischarge.txt::env_feature,NICUDischarge.txt,,,,,,ENVO_00002297,,,,,,,,
EUPATH_0000581,Delivery mode,NICUDischarge.txt::baby_delivery_mode,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0000639,Study group,NICUDischarge.txt::Group,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009034,Maternal age at birth,NICUDischarge.txt::mom_age_at_birth,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009095,Gestational age at birth,NICUDischarge.txt::gestational_age,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009137,Total antibiotic administered,NICUDischarge.txt::Total_abx,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009172,Group B Streptococcus infection,NICUDischarge.txt::GBS,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009175,Chorioamnionitis,NICUDischarge.txt::Chorioamnionitis,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009177,Necrotizing enterocolitis,NICUDischarge.txt::NecrotizingEnterocolitis,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009190,Age at discharge,NICUDischarge.txt::Age at discharge,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009272,Maternal antibiotics administered,NICUDischarge.txt::MaternalAntimicrobials,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009273,Oral diet at 2 months of age,NICUDischarge.txt::EnteralFeeds_2mo,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009277,Gentamicin,NICUDischarge.txt::w_Gentamicin,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009278,Gentamicin,NICUDischarge.txt::m_Gentamicin,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009279,Gentamicin,NICUDischarge.txt::c_Gentamicin,NICUDischarge.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
EUPATH_0009280,Vancomycin,NICUDischarge.txt::w_Vancomycin,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009281,Vancomycin,NICUDischarge.txt::m_Vancomycin,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009282,Vancomycin,NICUDischarge.txt::c_Vancomycin,NICUDischarge.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
EUPATH_0009283,Clindamycin,NICUDischarge.txt::w_Clindamycin,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009284,Clindamycin,NICUDischarge.txt::m_Clindamycin,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009285,Clindamycin,NICUDischarge.txt::c_Clindamycin,NICUDischarge.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
EUPATH_0009286,Meropenem,NICUDischarge.txt::w_Meropenem,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009287,Meropenem,NICUDischarge.txt::m_Meropenem,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009288,Meropenem,NICUDischarge.txt::c_Meropenem,NICUDischarge.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
EUPATH_0009289,Fluconazole,NICUDischarge.txt::w_Fluconazole,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009290,Fluconazole,NICUDischarge.txt::m_Fluconazole,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009291,Fluconazole,NICUDischarge.txt::c_Fluconazole,NICUDischarge.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
EUPATH_0009292,Cefepime,NICUDischarge.txt::w_Cefepime,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009293,Cefepime,NICUDischarge.txt::m_Cefepime,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009294,Cefepime,NICUDischarge.txt::c_Cefepime,NICUDischarge.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
EUPATH_0009295,Cefotaxime,NICUDischarge.txt::w_Cefotaxime,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009296,Cefotaxime,NICUDischarge.txt::m_Cefotaxime,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009297,Cefotaxime,NICUDischarge.txt::c_Cefotaxime,NICUDischarge.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
EUPATH_0009298,Sulfamethoxazole/Trimethoprim,NICUDischarge.txt::w_SulfamethoxazoleTrimethoprim,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009299,Sulfamethoxazole/Trimethoprim,NICUDischarge.txt::m_SulfamethoxazoleTrimethoprim,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009300,Sulfamethoxazole/Trimethoprim,NICUDischarge.txt::c_SulfamethoxazoleTrimethoprim,NICUDischarge.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
EUPATH_0009301,Ticarcillin/Clavulanate,NICUDischarge.txt::w_TicarcillinClavulanate,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009302,Ticarcillin/Clavulanate,NICUDischarge.txt::m_TicarcillinClavulanate,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009303,Ticarcillin/Clavulanate,NICUDischarge.txt::c_TicarcillinClavulanate,NICUDischarge.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
EUPATH_0009304,Ampicillin,NICUDischarge.txt::w_Ampicillin,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009305,Ampicillin,NICUDischarge.txt::m_Ampicillin,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009306,Ampicillin,NICUDischarge.txt::c_Ampicillin,NICUDischarge.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
EUPATH_0009307,Oxacillin,NICUDischarge.txt::w_Oxacillin,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009308,Oxacillin,NICUDischarge.txt::m_Oxacillin,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009309,Oxacillin,NICUDischarge.txt::c_Oxacillin,NICUDischarge.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
EUPATH_0009310,Cefazolin,NICUDischarge.txt::w_Cefazolin,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009311,Cefazolin,NICUDischarge.txt::m_Cefazolin,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009312,Cefazolin,NICUDischarge.txt::c_Cefazolin,NICUDischarge.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
EUPATH_0009313,Cefoxitin,NICUDischarge.txt::w_Cefoxitin,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009314,Cefoxitin,NICUDischarge.txt::m_Cefoxitin,NICUDischarge.txt,,,,,,,,,,,,,,
EUPATH_0009315,Cefoxitin,NICUDischarge.txt::c_Cefoxitin,NICUDischarge.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
