IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,Resistome.txt::country,Resistome.txt,"","","","","","","","","","","","","",""
ENVO_01000739,Habitat,Resistome.txt::env_feature,Resistome.txt,"","","","","",ENVO_00002297,"","","","","","","",""
EUPATH_0000581,Delivery mode,Resistome.txt::baby_delivery_mode,Resistome.txt,"","","","","","","","","","","","","",""
EUPATH_0009095,Gestational age at birth,Resistome.txt::Gestational age at birth (days),Resistome.txt,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
EUPATH_0009099,Hospital room type,Resistome.txt::Room_Type,Resistome.txt,"","","","","","","","","","","","","",""
EUPATH_0009125,Antibiotic medication related to sample collection,Resistome.txt::Antibiotic_Treatment,Resistome.txt,"","","","","","","","","","","","","",""
EUPATH_0009126,Antibiotic medication indication,Resistome.txt::Indication,Resistome.txt,"","","","","","","","","","","","","",""
EUPATH_0009128,Gentamicin administered,Resistome.txt::Gentamicin,Resistome.txt,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
EUPATH_0009129,Cefazolin administered,Resistome.txt::Cefazolin,Resistome.txt,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
EUPATH_0009130,Ampicillin administered,Resistome.txt::Ampicillin,Resistome.txt,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
EUPATH_0009131,Trimethoprim-sulfamathoxazole administered,Resistome.txt::Trimethoprim-Sulfamathoxazole,Resistome.txt,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
EUPATH_0009132,Meropenem administered,Resistome.txt::Meropenem,Resistome.txt,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
EUPATH_0009133,Vancomycin administered,Resistome.txt::Vancomycin,Resistome.txt,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
EUPATH_0009134,Ticarcillin-clavulanate administered,Resistome.txt::Ticarcillin-Clavulanate,Resistome.txt,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
