IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,UgandaMaternal.txt::country,UgandaMaternal.txt,"","","","","","","","","","","","","",""
ENVO_00000856,"City, village, or region",UgandaMaternal.txt::City,UgandaMaternal.txt,"","","","","",EUPATH_0000452,"","","","","","","",""
ENVO_01000739,Habitat,UgandaMaternal.txt::env_feature,UgandaMaternal.txt,"","","","","",ENVO_00002297,"","","","","","","",""
EUPATH_0000581,Delivery mode,UgandaMaternal.txt::Delivery Mode,UgandaMaternal.txt,"","","","","","","","","","","","","",""
EUPATH_0009036,Mom reported antibiotic use during pregnancy,UgandaMaternal.txt::Antibiotic use,UgandaMaternal.txt,"","","","","","","","","","","","","",""
EUPATH_0009109,Fever during labor,UgandaMaternal.txt::Fever during labor,UgandaMaternal.txt,"","","","","","","","","","","","","",""
EUPATH_0009110,Previous pregnancies count,UgandaMaternal.txt::Number of previous pregnancies,UgandaMaternal.txt,"","","","","","","","","","","","","",""
EUPATH_0033193,HIV status,UgandaMaternal.txt::HIV status,UgandaMaternal.txt,"","","","","","","","","","","","","",""
EUPATH_0038078,Delivery duration,UgandaMaternal.txt::Delivery duration,UgandaMaternal.txt,"","","","","","","","","","","","","",""
GSSO_004872,Vaginal infection,UgandaMaternal.txt::Vaginal infection,UgandaMaternal.txt,"","","","","","","","","","","","","",""
OBI_0001169,Age,UgandaMaternal.txt::Age (years),UgandaMaternal.txt,"","","","","","",years,http://purl.obolibrary.org/obo/UO_0000036,"","","","","",""
PATO_0000047,Sex,UgandaMaternal.txt::Sex,UgandaMaternal.txt,"","","","","","","","","","","","","",""
SYMP_0019174,Chills,UgandaMaternal.txt::Chills reported,UgandaMaternal.txt,"","","","","","","","","","","","","",""
UBERON_0000061,Host body site,UgandaMaternal.txt::body_site,UgandaMaternal.txt,"","","","","","","","","","","","","",""
UBERON_0000463,Host body product,UgandaMaternal.txt::body_product,UgandaMaternal.txt,"","","","","","","","","","","","","",""
UBERON_0000466,Host body habitat,UgandaMaternal.txt::body_habitat,UgandaMaternal.txt,"","","","","","","","","","","","","",""
EUPATH_0000048,"Plasmodium asexual stages, by microscopy",UgandaMaternal.txt::Malaria results,UgandaMaternal.txt,"","","","","","","","","","","","","",""
EUPATH_0009107,"Cytomegalovirus, by PCR",UgandaMaternal.txt::Cytomegalovirus,UgandaMaternal.txt,"","","","","","","","","","","","","",""
OBI_0100051,Sample type,UgandaMaternal.txt::Sample type,UgandaMaternal.txt,"","","","","","","","","","","","","",""
