ID,Label,unitLabel,unitIRI,dataset
EUPATH_0000092,"Plasmodium asexual stages, by microscopy result",/500 WBC,http://purl.obolibrary.org/obo/EUPATH_0024232,icemr_southern_africa
EUPATH_0023018,"Plasmodium gametocytes, by microscopy result",/500 WBC,http://purl.obolibrary.org/obo/EUPATH_0024232,icemr_southern_africa
EUPATH_0024241,"Plasmodium asexual stages, by microscopy result, 2nd",/500 WBC,http://purl.obolibrary.org/obo/EUPATH_0024232,icemr_southern_africa
EUPATH_0024242,"Plasmodium asexual stages, by microscopy result, 3rd",/500 WBC,http://purl.obolibrary.org/obo/EUPATH_0024232,icemr_southern_africa
EUPATH_0024243,"Plasmodium gametocytes, by microscopy result, 2nd",/500 WBC,http://purl.obolibrary.org/obo/EUPATH_0024232,icemr_southern_africa
EUPATH_0024244,"Plasmodium gametocytes, by microscopy result, 3rd",/500 WBC,http://purl.obolibrary.org/obo/EUPATH_0024232,icemr_southern_africa
EUPATH_0032252,"Streptococcus pneumoniae lytA copies, by qPCR result",/mL,http://purl.obolibrary.org/obo/NCIT_C103452,gates_perch
EUPATH_0032492,"Bordetella pertussis copies, by multiplexed qPCR result",/mL,http://purl.obolibrary.org/obo/NCIT_C103452,gates_perch
EUPATH_0032495,"Chlamydophila pneumoniae copies, by multiplexed qPCR result",/mL,http://purl.obolibrary.org/obo/NCIT_C103452,gates_perch
EUPATH_0032519,"Haemophilus influenzae copies, by multiplexed qPCR result",/mL,http://purl.obolibrary.org/obo/NCIT_C103452,gates_perch
EUPATH_0032521,"Haemophilus influenzae type B copies, by multiplexed qPCR result",/mL,http://purl.obolibrary.org/obo/NCIT_C103452,gates_perch
EUPATH_0032533,"Legionella copies, by multiplexed qPCR result",/mL,http://purl.obolibrary.org/obo/NCIT_C103452,gates_perch
EUPATH_0032536,"Moraxella catarrhalis (Branhamella catarrhalis) copies, by multiplexed qPCR result",/mL,http://purl.obolibrary.org/obo/NCIT_C103452,gates_perch
EUPATH_0032541,"Mycoplasma pneumoniae copies, by multiplexed qPCR result",/mL,http://purl.obolibrary.org/obo/NCIT_C103452,gates_perch
EUPATH_0032549,"Salmonella copies, by multiplexed qPCR result",/mL,http://purl.obolibrary.org/obo/NCIT_C103452,gates_perch
EUPATH_0032554,"Staphylococcus aureus copies, by multiplexed qPCR result",/mL,http://purl.obolibrary.org/obo/NCIT_C103452,gates_perch
EUPATH_0032563,"Streptococcus pneumoniae copies, by multiplexed qPCR result",/mL,http://purl.obolibrary.org/obo/NCIT_C103452,gates_perch
EUPATH_0032570,"Pneumocystis jiroveci copies, by multiplexed qPCR result",/mL,http://purl.obolibrary.org/obo/NCIT_C103452,gates_perch
EUPATH_0032573,"Adenovirus copies, by multiplexed qPCR result",/mL,http://purl.obolibrary.org/obo/NCIT_C103452,gates_perch
