IRI	label	display label
http://purl.obolibrary.org/obo/CHEBI_44247	(15Z)-tetracosenoic acid	
http://purl.obolibrary.org/obo/CHEBI_65136	"(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoic acid"	
http://purl.obolibrary.org/obo/CHEBI_53488	"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoic acid"	
http://purl.obolibrary.org/obo/CHEBI_8746	(R)-salbutamol	
http://purl.obolibrary.org/obo/OBI_0002763	16s ribosomal gene sequencing assay	
http://purl.obolibrary.org/obo/EUPATH_0000808	16S rRNA sequencing assay targeting V1-V2 region	
http://purl.obolibrary.org/obo/EUPATH_0000809	16S rRNA sequencing assay targeting V1-V3 region	
http://purl.obolibrary.org/obo/EUPATH_0000810	16S rRNA sequencing assay targeting V2 region	
http://purl.obolibrary.org/obo/EUPATH_0000811	16S rRNA sequencing assay targeting V3-V4 region	
http://purl.obolibrary.org/obo/EUPATH_0000812	16S rRNA sequencing assay targeting V3-V5 region	
http://purl.obolibrary.org/obo/EUPATH_0000813	16S rRNA sequencing assay targeting V4 region	
http://purl.obolibrary.org/obo/ONS_0000106	24-hour dietary recall	24 hour food recall
http://purl.obolibrary.org/obo/EUPATH_0009247	4th level EC metagenome abundance data	
http://purl.obolibrary.org/obo/EUPATH_0004991	60 day follow-up date	Observation date
http://purl.obolibrary.org/obo/EUPATH_0023052	60-day follow-up observation time	Observation time
http://purl.obolibrary.org/obo/OBI_0000865	96-well neutralization assay	
http://purl.obolibrary.org/obo/UBERON_0005172	abdomen element	
http://purl.obolibrary.org/obo/HP_0011848	Abdominal colic	
http://purl.obolibrary.org/obo/HP_0002027	Abdominal pain	Abdominal pain
http://purl.obolibrary.org/obo/HP_0011458	Abdominal symptom	
http://purl.obolibrary.org/obo/UBERON_0017672	abdominal viscera	
http://purl.obolibrary.org/obo/HP_0001892	Abnormal bleeding	Abnormal bleeding
http://purl.obolibrary.org/obo/HP_0003111	Abnormal blood ion concentration	
http://purl.obolibrary.org/obo/HP_0030829	Abnormal breath sound	
http://purl.obolibrary.org/obo/HP_0011025	Abnormal cardiovascular system physiology	
http://purl.obolibrary.org/obo/HP_0032180	Abnormal circulating metabolite concentration	
http://purl.obolibrary.org/obo/HP_0001787	Abnormal delivery	Delivery complications
http://purl.obolibrary.org/obo/HP_0001595	Abnormal hair morphology	Abnormal hair
http://purl.obolibrary.org/obo/HP_0012337	Abnormal homeostasis	
http://purl.obolibrary.org/obo/HP_0011893	Abnormal leukocyte count	
http://purl.obolibrary.org/obo/HP_0001881	Abnormal leukocyte morphology	
http://purl.obolibrary.org/obo/HP_0002088	Abnormal lung morphology	
http://purl.obolibrary.org/obo/HP_0012638	Abnormal nervous system physiology	
http://purl.obolibrary.org/obo/HP_0000163	Abnormal oral cavity morphology	
http://purl.obolibrary.org/obo/HP_0002793	Abnormal pattern of respiration	Breathing issues
http://purl.obolibrary.org/obo/HP_0012211	Abnormal renal physiology	Renal impairment
http://purl.obolibrary.org/obo/HP_0002795	Abnormal respiratory system physiology	
http://purl.obolibrary.org/obo/HP_0001871	Abnormality of blood and blood-forming tissues	
http://purl.obolibrary.org/obo/HP_0025032	Abnormality of digestive system physiology	
http://purl.obolibrary.org/obo/HP_0011032	Abnormality of fluid regulation	
http://purl.obolibrary.org/obo/HP_0011446	Abnormality of higher mental function	
http://purl.obolibrary.org/obo/HP_0010978	Abnormality of immune system physiology	
http://purl.obolibrary.org/obo/HP_0001939	Abnormality of metabolism/homeostasis	
http://purl.obolibrary.org/obo/HP_0001197	Abnormality of prenatal development or birth	
http://purl.obolibrary.org/obo/HP_0011121	Abnormality of skin morphology	
http://purl.obolibrary.org/obo/HP_0011122	Abnormality of skin physiology	
http://purl.obolibrary.org/obo/HP_0004370	Abnormality of temperature regulation	
http://purl.obolibrary.org/obo/HP_0002012	Abnormality of the abdominal organs	
