IRI,label,parentIRI,parentLabel,replaces,dataSet
http://purl.obolibrary.org/obo/HP_0002014,Diarrhea,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,DOID_13250,SSA ICEMR Kenya Cohort | Amazonia ICEMR Peru Cohort | India ICEMR Cross-Sectional | avenir_rct | India ICEMR Severe P.vivax and falciparum Cohort | PRISM2 ICEMR Border Cohort | PROMOTE BC3 Cohort | India ICEMR Cohort | PRISM ICEMR Cohort | India ICEMR Fever Surveillance | PROVIDE Randomized Controlled Trial | PRISM2 ICEMR Cohort | NIH Crypto
http://purl.obolibrary.org/obo/CHEBI_92511,Ketotifen,http://purl.obolibrary.org/obo/EUPATH_0025092,Medication,DRON_00017034,PROVIDE Randomized Controlled Trial
http://purl.obolibrary.org/obo/EUPATH_0053034,"Cumulative incidence over 2013, 2014, and 2016",http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,ENVO_00000004,Namibia_RACD_rfMDA_RAVC
http://purl.obolibrary.org/obo/EUPATH_0000054,Sub-county in Uganda,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,ENVO_00000008,UMSP Surveillance | PRISM ICEMR Cohort | PRISM2 ICEMR Border Cohort
http://purl.obolibrary.org/obo/ENVO_01000825,Eaves,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,EUPATH_0000015,LLINE UP Cluster Randomized Trial | PROMOTE BC3 Cohort | Malawi ICEMR Case-Control | LLINEUP2 | PRISM2 ICEMR Border Cohort | PRISM2 ICEMR Cohort | PRISM ICEMR Cohort
http://purl.obolibrary.org/obo/EUPATH_0020184,Severe malaria signs,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,EUPATH_0000046,PRISM2 ICEMR Cohort | West Africa ICEMR | PRISM ICEMR Cohort | PRISM2 ICEMR Border Cohort
http://purl.obolibrary.org/obo/CMO_0000026,Hemoglobin,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,EUPATH_0000047,PERCH Case Control | ELICIT | South Asia ICEMR Surveillance | LLINEUP2 | India ICEMR Cross-Sectional | India ICEMR Cohort | SHINE | Kalifabougou | Southern Africa ICEMR Cross-sectional | India ICEMR Severe P.vivax and falciparum Cohort | SIP | SW PACIFIC | India ICEMR Fever Surveillance | West Africa ICEMR | SCORE Sm Cohort | PROMOTE BC3 Cohort | LLINE UP Cluster Randomized Trial | Myanmar ICEMR | PRISM2 ICEMR Border Cohort | PRISM ICEMR Cohort | PRISM2 ICEMR Cohort | NECTAR1 | India ICEMR DAMaN | Amazonia ICEMR Brazil Cohort | India ICEMR Meghalaya Cohort
http://purl.obolibrary.org/obo/EUPATH_0004991,Observation date,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,EUPATH_0000091,India ICEMR Cohort | SHINE | SSA ICEMR Kenya Cohort | South Asia ICEMR Surveillance | ICEMR2_cross_sectional | Amazonia ICEMR Peru Cohort | PROMOTE BC3 Cohort | Amazonia ICEMR Brazil Cohort | Southeast Asia ICEMR Surveillance | LLINEUP2 | SW PACIFIC | PRISM2 ICEMR Cohort | India ICEMR Cross-Sectional | PRISM2 ICEMR Border Cohort | Southern Africa ICEMR Cross-sectional | Kalifabougou | GEMS1 Case Control | Namibia_RACD_rfMDA_RAVC | SIP | PERCH Case Control | India ICEMR Fever Surveillance | UMSP Surveillance | India ICEMR Meghalaya Cohort | LLINE UP Cluster Randomized Trial | PROVIDE Randomized Controlled Trial | NIH Crypto | VIDA Case Control | MAL-ED 0-60m Cohort | India ICEMR Behavior Cross-sectional | India ICEMR Severe P.vivax and falciparum Cohort | PRISM ICEMR Cohort | West Africa ICEMR | India ICEMR DAMaN | GEMS1A Case Control
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,EUPATH_0000095,SCORE Five Country
http://purl.obolibrary.org/obo/OBI_0003073,Temperature,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,EUPATH_0000110,Kalifabougou | PRISM2 ICEMR Border Cohort | India ICEMR DAMaN | SIP | Southeast Asia ICEMR Surveillance | India ICEMR Fever Surveillance | ICEMR2_cross_sectional | Southern Africa ICEMR Cross-sectional | PROVIDE Randomized Controlled Trial | PROMOTE BC3 Cohort | PRISM ICEMR Cohort | LLINEUP2 | PRISM2 ICEMR Cohort | MAL-ED 0-60m Cohort | Myanmar ICEMR | Malawi ICEMR Case-Control | NECTAR1 | India ICEMR Cohort | India ICEMR Cross-Sectional | India ICEMR Meghalaya Cohort | Amazonia ICEMR Peru Cohort | India ICEMR Severe P.vivax and falciparum Cohort | South Asia ICEMR Surveillance | NIH Crypto | West Africa ICEMR | PERCH Case Control | GAMIN RCT | SSA ICEMR Kenya Cohort
http://purl.obolibrary.org/obo/OBI_0003075,Age at enrollment,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,EUPATH_0000120,PRISM2 ICEMR Border Cohort | WASHb BNG Cluster Randomized Trial | West Africa ICEMR | PRISM ICEMR Cohort | SCORE S. mansoni Cluster Randomized Trial | Amazonia ICEMR Peru Cohort | Amazonia ICEMR Brazil Cohort | India ICEMR Cohort | Southeast Asia ICEMR Surveillance | Preventing Congenital Syphilis | ELICIT | India ICEMR Severe P.vivax and falciparum Cohort | Kalifabougou | South Asia ICEMR Surveillance | PROMOTE BC3 Cohort | PROVIDE Randomized Controlled Trial | India ICEMR Cross-Sectional
http://purl.obolibrary.org/obo/EUPATH_0053052,First case date,http://purl.obolibrary.org/obo/EUPATH_0053216,Community intervention,EUPATH_0000120,Namibia_RACD_rfMDA_RAVC
http://purl.obolibrary.org/obo/OBI_0003055,Filter paper sample,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,EUPATH_0000127,West Africa ICEMR | Amazonia ICEMR Peru Cohort | PRISM ICEMR Cohort | India ICEMR Cohort | India ICEMR Meghalaya Cohort | PROMOTE BC3 Cohort | India ICEMR Cross-Sectional | SSA ICEMR Kenya Cohort | Kalifabougou | India ICEMR Fever Surveillance | India ICEMR DAMaN
http://purl.obolibrary.org/obo/BFO_0000015,Observation type,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,EUPATH_0000311,PROVIDE Randomized Controlled Trial | Southeast Asia ICEMR Surveillance | PRISM2 ICEMR Cohort | India ICEMR Cohort | Kalifabougou | India ICEMR Cross-Sectional | GAMIN RCT | PERCH Case Control | PRISM2 ICEMR Border Cohort | PROMOTE BC3 Cohort | India ICEMR Meghalaya Cohort | NIH Crypto | PRISM ICEMR Cohort | India ICEMR Severe P.vivax and falciparum Cohort | India ICEMR Fever Surveillance | West Africa ICEMR | GANC | BetterBirth | SIP
