"STABLE_ID","LABEL","DEFINITION","PARENT_STABLE_ID","PARENT_LABEL","CATEGORY"
http://purl.obolibrary.org/obo/EUPATH_0030165,Albendazole administration in the last 12 months,Binary variable for treatment with deworming drug albendazole (ALB) in last 12 months at school,http://purl.obolibrary.org/obo/EUPATH_0030143,School level information,Community
http://purl.obolibrary.org/obo/EUPATH_0064406,Antimalarial resistance type,,http://purl.obolibrary.org/obo/EUPATH_0064414,Plasmodium in blood,Community
http://purl.obolibrary.org/obo/IAO_0000442,Authors of publication,,http://purl.obolibrary.org/obo/IAO_0000311,Publication information,Community
http://purl.obolibrary.org/obo/EUPATH_0061054,Average annual household income in USD,Average annual household income of the district reported by Uttar Pradesh Statistical Diary and converted to US dollars,http://purl.obolibrary.org/obo/EUPATH_0061050,Community level information,Community
http://purl.obolibrary.org/obo/EUPATH_0061053,Average annual household income in local currency,Average annual household income of the district in Indian rupees reported by Uttar Pradesh Statistical Diary,http://purl.obolibrary.org/obo/EUPATH_0061050,Community level information,Community
http://purl.obolibrary.org/obo/EUPATH_0053011,Average annual incidence,,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,Community
http://purl.obolibrary.org/obo/EUPATH_0053012,Average distance to health facility,Mean household distance to health facility in the cluster,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,Community
http://purl.obolibrary.org/obo/EUPATH_0053013,Average distance to the  nearest household,Mean nearest household distance,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,Community
http://purl.obolibrary.org/obo/EUPATH_0053102,Average household size,Mean household size,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/GSSO_006824,Birth rate,Crude birth rate of district reported by the Uttar Pradesh Annual Health Survey 2012-2013,http://purl.obolibrary.org/obo/EUPATH_0061050,Community level information,Community
http://purl.obolibrary.org/obo/EUPATH_0030148,Boys in school count,,http://purl.obolibrary.org/obo/EUPATH_0030143,School level information,Community
http://purl.obolibrary.org/obo/EUPATH_0053015,Cases covered by RACD intervention,Cases covered by a RACD (reactive case detection) intervention,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0053016,Cases covered by TPE intervention,Cases covered by a TPE (targeted parasite elimination) intervention,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0053014,Cases covered by intervention,Cases covered by an intervention,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0053017,Cases spray covered proportion,,http://purl.obolibrary.org/obo/EUPATH_0053216,Community intervention,Community
http://purl.obolibrary.org/obo/EUPATH_0061187,Changed health center type,"Facility's new category, if changed at any time throughout the study",http://purl.obolibrary.org/obo/EUPATH_0061777,Health center administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,"Clusters were the unit of randomization, and each consisted of 1 or more administrative villages. Two or more neighboring may have been combined to create 1 cluster as long as the cluster of villages had at least 8 eligible pregnant women and shared a border.",http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,"Clusters--defined as one health sub-district--were randomly assigned to one of four study arms. 104 clusters cover 48 districts in Eastern and Western Uganda, and were the unit of randomization for intervention assignment.",http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,The unit of randomization. A cluster consisted of a group of 8 proximate compounds (multiple households sharing a common courtyard) within a village that were visited by a single local promoter. Clusters were separated from each other by at least a 15 min walk (1 km).,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0053009,Cluster area,,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0044153,Cluster as-treated,"The type of long-lasting insecticide-treated bednet (LLIN) received by the cluster during the 2016-2017 Universal Coverage Campaign (UCC), for the as-treated analysis. LLINs were distributed to clusters after the baseline survey was performed at the 0 month 'Study timepoint'. Certain clusters received a different LLIN type than that which was originally assigned to that cluster ('Cluster study arm'). For the as-treated analysis, clusters were grouped by type of LLINs received according to household data from the 6-month study timepoint ('UCC LLIN type'). For clusters with mixed LLIN distribution, the number of LLINs from the dominant type received was divided by the total number of LLINs received in that cluster; non-study nets were excluded. To be included in the as-treated analyses, the proportion of the dominant LLIN had to be more than 75%. 'Cluster as-treated' analyses were presented as the main study findings.",http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0044154,"Cluster as-treated, dichotomized","The type of long-lasting insecticide-treated bednet (LLIN) received by the cluster during the 2016-2017 Universal Coverage Campaign (UCC), for the as-treated analysis. LLINs were distributed to clusters after the baseline survey was performed at the 0 month 'Study timepoint'. Clusters received either conventional LLINs or LLINs containing piperonyl butoxide (PBO). Conventional LLINs include PermaNet 2.0 and Olyset Net. PBO LLINs include PermaNet 3.0 and Olyset Plus. Certain clusters received a different LLIN type than that which was originally assigned to that cluster ('Cluster study arm'). For the as-treated analysis, clusters were grouped by type of LLINs received according to household data from the 6-month study timepoint ('UCC LLIN type'). For clusters with mixed LLIN distribution, the number of LLINs from the dominant type received was divided by the total number of LLINs received in that cluster; non-study nets were excluded. To be included in the as-treated analyses, the proportion of the dominant LLIN had to be more than 75%. 'Cluster as-treated' analyses were presented as the main study findings.",http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0053022,Cluster assigned to RAVC,EA assigned to receive RAVC,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0053023,Cluster person time,Person time based on cluster level,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0044124,Cluster study arm,"Both arms were provided supplies to screen and treat syphilis. The intervention arm used behavioral strategies including selection of opinion leaders, academic detailing visits with antenatal care providers, reminders, audits and feedback, supportive supervision, and the preparation of kits with the supplies for syphilis screening and treatment with the goal of improving rates of syphilis screening and treating.",http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0044124,Cluster study arm,"If a site was included in LLINEUP2, which study arm they were in",http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0044124,Cluster study arm,Intervention arm,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0044124,Cluster study arm,"The actual randomized, blinded intervention assigned to the cluster. The passive control arm enabled measurement of the effect of regular promoter visits in the active control arm.",http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0044124,Cluster study arm,"The actual randomized, blinded intervention assigned to the compound. Compounds consisted of multiple households (typically 3 to 10 in Bangladesh), usually comprised of blood relatives, who share a common courtyard. Groups of 8 proximate compounds were assigned to a cluster, and each randomization block was made up of 8 adjacent clusters that were pair-matched by geography. Each cluster within the randomization block was randomly allocated to one of 7 study arms, including 2 clusters randomly allocated to the control arm. A description of each study arm can be found on the study details page.",http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0044124,Cluster study arm,"Type of net assigned to the cluster, for the intention-to-treat analysis. Clusters were randomized to receive one of 4 types of long-lasting insecticide-treated bednets (LLINs).",http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0044124,Cluster study arm,,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0044121,"Cluster study arm, dichotomized",Type of net assigned to the cluster for the intention-to-treat analysis. Clusters were randomized to receive either conventional long-lasting insecticide-treated bednets (LLINs) or LLINs containing piperonyl butoxide (PBO). Conventional LLINs include PermaNet 2.0 and Olyset Net. PBO LLINs include PermaNet 3.0 and Olyset Plus.,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0050010,Cluster trial phase,"Cross-sectional surveys were conducted at baseline (month 0, prior to distribution of long-lasting insecticide-treated bednets (LLINs)) and at 6 months, 12 months, 18 months and 25 months after LLIN distribution.",http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0044172,Cluster-level anemia prevalence (hemoglobin <11 g/dL),"Log10 of the prevalence of anemia (defined as hemoglobin levels less than 11g/dL) in each cluster at baseline (month 0, prior to distribution of long-lasting insecticide-treated bednets (LLINs)).",http://purl.obolibrary.org/obo/EUPATH_0044169,Baseline cluster-level characteristics,Community
http://purl.obolibrary.org/obo/EUPATH_0044170,Cluster-level mean female Anopheles,"Average number of female Anopheline mosquitoes per house in each cluster at baseline (month 0, prior to distribution of long-lasting insecticide-treated bednets (LLINs)).",http://purl.obolibrary.org/obo/EUPATH_0044169,Baseline cluster-level characteristics,Community
http://purl.obolibrary.org/obo/EUPATH_0044174,Cluster-level parasite prevalence,"Log10 of the Plasmodium parasite prevalence in each cluster at baseline (month 0, prior to distribution of long-lasting insecticide-treated bednets (LLINs)).",http://purl.obolibrary.org/obo/EUPATH_0044169,Baseline cluster-level characteristics,Community
http://purl.obolibrary.org/obo/EUPATH_0044171,Cluster-level parasite prevalence categorization,"Categorization of Plasmodium parasite prevalence in each cluster at baseline (month 0, prior to distribution of long-lasting insecticide-treated bednets (LLINs)).",http://purl.obolibrary.org/obo/EUPATH_0044169,Baseline cluster-level characteristics,Community
http://purl.obolibrary.org/obo/EUPATH_0061162,Coaching end date,,http://purl.obolibrary.org/obo/EUPATH_0061777,Health center administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0061163,Coaching start date,,http://purl.obolibrary.org/obo/EUPATH_0061777,Health center administrative information,Community
http://purl.obolibrary.org/obo/EUPATH_0035060,Compound potty,Whether the target child participant's compound had a potty (a bowl used by small children as a toilet) for child defecation. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,http://purl.obolibrary.org/obo/EUPATH_0035117,Community waste disposal,Community
http://purl.obolibrary.org/obo/EUPATH_0035032,Compound time to drinking water source,Distance (measured in minutes to walk one way) to the primary water source from the target child participant's home. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,http://purl.obolibrary.org/obo/EUPATH_0035121,Community water,Community
http://purl.obolibrary.org/obo/EUPATH_0035005,Compound treated drinking water today or yesterday,Whether the target child participant's compound reported treating their drinking water or doing anything to make it less cloudy today or yesterday. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,http://purl.obolibrary.org/obo/EUPATH_0035120,Community drinking water treatment,Community
http://purl.obolibrary.org/obo/EUPATH_0035039,Compound's hand washing location within 6 steps of kitchen,Whether the target child participant's compound had a handwashing station located within 6 steps of the kitchen. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,http://purl.obolibrary.org/obo/EUPATH_0035123,Community hygiene,Community
http://purl.obolibrary.org/obo/EUPATH_0035041,Compound's hand washing location within 6 steps of kitchen has soap,Whether the target child participant's compound had a handwashing station with soap located within 6 steps of the kitchen. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,http://purl.obolibrary.org/obo/EUPATH_0035123,Community hygiene,Community
http://purl.obolibrary.org/obo/EUPATH_0035040,Compound's hand washing location within 6 steps of kitchen has water,Whether the target child participant's compound had a handwashing station with water located within 6 steps of the kitchen. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,http://purl.obolibrary.org/obo/EUPATH_0035123,Community hygiene,Community
http://purl.obolibrary.org/obo/EUPATH_0035036,Compound's hand washing location within 6 steps of toilet or latrine,Whether the target child participant's compound had a handwashing station located within 6 steps of the toilet or latrine. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,http://purl.obolibrary.org/obo/EUPATH_0035123,Community hygiene,Community
http://purl.obolibrary.org/obo/EUPATH_0035038,Compound's hand washing location within 6 steps of toilet or latrine has soap,Whether the target child participant's compound had a handwashing station with soap located within 6 steps of the toilet or latrine. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,http://purl.obolibrary.org/obo/EUPATH_0035123,Community hygiene,Community
http://purl.obolibrary.org/obo/EUPATH_0035037,Compound's hand washing location within 6 steps of toilet or latrine has water,Whether the target child participant's compound had a handwashing station with water located within 6 steps of the toilet or latrine. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,http://purl.obolibrary.org/obo/EUPATH_0035123,Community hygiene,Community
http://purl.obolibrary.org/obo/EUPATH_0035118,Compound's toilet or latrine has concrete floor,Whether the target child participant's toilet or latrine had a concrete floor or slab. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,http://purl.obolibrary.org/obo/EUPATH_0035117,Community waste disposal,Community
http://purl.obolibrary.org/obo/ENVO_00000009,Country,Country in which study was conducted,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Community
http://purl.obolibrary.org/obo/ENVO_00000009,Country,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Community
http://purl.obolibrary.org/obo/CLINEPIDB_00093,County,County of collection,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Community
http://purl.obolibrary.org/obo/EUPATH_0053032,Cumulative incidence 2012-2016,,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,Community
http://purl.obolibrary.org/obo/EUPATH_0053033,Cumulative incidence 2013-2014,,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,Community
http://purl.obolibrary.org/obo/EUPATH_0053034,"Cumulative incidence over 2013, 2014, and 2016",,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,Community
