sid,type_count,labels,termTypes,datasets
EUPATH_0000440,2,Resident status,category|multifilter,gates_gamin | icemr_india_cx | icemr_india_cohort
EUPATH_0010356,2,Symptoms in the last 7 days,category|multifilter,gates_gems1a | gates_gems | icemr_amazonia_brazil
EUPATH_0011878,2,Symptoms by caregiver report,category|multifilter,gates_washb_kenya | gates_washb_bangladesh | gates_perch | gates_vida_hucs_kenya | gates_sip | gates_shine | gates_provide | gates_vida_hucs_gambia_mali | gates_maled
EUPATH_0011962,2,Giardia in stool,category|multifilter,gates_gems1a | gates_gems | gates_provide | gates_maled
EUPATH_0011963,2,Strongyloides in stool,category|multifilter,gates_gems1a | gates_provide | gates_maled
EUPATH_0011971,2,Cryptosporidium in stool,category|multifilter,gates_gems1a | gates_gems | gates_provide | gates_maled
EUPATH_0011974,2,Entamoeba in stool,category|multifilter,gates_gems1a | gates_gems | gates_provide | gates_maled
EUPATH_0011976,2,Escherichia in stool,category|multifilter,gates_gems1a | gates_gems | gates_provide | gates_maled
EUPATH_0021232,2,Lentivirus in blood,category|multifilter,general_promote | icemr_india_severe_malaria
EUPATH_0024011,2,Symptoms in past day,category|multifilter,icemr_myanmar | icemr_southern_africa
EUPATH_0027019,2,Blood tests performed,category|multifilter,gates_pcs | icemr_west_africa | general_kalifabougou | icemr_india_meghalaya | gates_sip | icemr_india_daman | icemr_myanmar | gates_llineup
EUPATH_0030118,2,Ancylostomatoidea in stool,category|multifilter,gates_gems1a | gates_score_burundi | gates_score_seasonal | gates_score_sm_crt | gates_provide | gates_score_sm_cohort | gates_score_rwanda | gates_maled
EUPATH_0030119,2,Ascaris in stool,category|multifilter,gates_gems1a | gates_score_burundi | gates_score_seasonal | gates_score_sm_crt | gates_provide | gates_score_sm_cohort | gates_score_rwanda | gates_maled
EUPATH_0030120,2,Trichuris in stool,category|multifilter,gates_score_burundi | gates_score_seasonal | gates_score_sm_crt | gates_provide | gates_score_sm_cohort | gates_score_rwanda | gates_maled
EUPATH_0033293,2,Bacteria in blood,category|multifilter,gates_pcs | gates_perch | general_promote | icemr_south_asia | gates_sip | icemr_india_severe_malaria | icemr_india_fever_surv
EUPATH_0033307,2,Eukaryota in blood,category|multifilter,icemr_west_africa | gates_gamin | icemr_prism2_border_cohort | general_umsp | icemr_india_cx | general_kalifabougou | icemr_amazonia_brazil | icemr_india_meghalaya | gates_perch | icemr_malawi | general_promote | icemr_india_cohort | icemr_south_asia | icemr_prism2 | gates_namibia | icemr_india_behavior | icemr_southeast_asia | icemr_prism | icemr_amazonia_peru | icemr_india_daman | icemr_india_severe_malaria | icemr_myanmar | gates_llineup | icemr_southern_africa | gates_avenir | icemr_india_fever_surv
EUPATH_0033308,2,Plasmodium in blood,category|multifilter,icemr_west_africa | gates_gamin | icemr_prism2_border_cohort | general_umsp | icemr_india_cx | general_kalifabougou | icemr_amazonia_brazil | icemr_india_meghalaya | gates_perch | icemr_malawi | general_promote | icemr_india_cohort | icemr_south_asia | icemr_prism2 | gates_namibia | icemr_india_behavior | icemr_southeast_asia | icemr_prism | icemr_amazonia_peru | icemr_india_daman | icemr_india_severe_malaria | icemr_myanmar | gates_llineup | icemr_southern_africa | gates_avenir | icemr_india_fever_surv
EUPATH_0036031,2,Virus in blood,category|multifilter,general_promote | gates_provide | icemr_india_severe_malaria | icemr_india_fever_surv
EUPATH_0042161,2,Medical history,category|multifilter,gates_pcs | gates_gamin | icemr_amazonia_brazil | gates_perch | general_promote | gates_shine | gates_namibia | icemr_india_daman
OBI_0000655,2,Blood sample,category|multifilter,icemr_west_africa | gates_gamin | icemr_india_cx | general_kalifabougou | icemr_india_meghalaya | gates_perch | general_promote | icemr_india_cohort | icemr_south_asia | gates_namibia | icemr_india_behavior | icemr_prism | gates_provide | icemr_amazonia_peru | icemr_india_daman | icemr_myanmar | gates_maled | icemr_india_fever_surv
