sid,dataset_count,labels,termTypes,pLabels,datasets
EUPATH_0015331,2,"Adenovirus 40/41 Ct value, by TAC result",variable,Raw virus data for stool,gates_maled_phase3 | gates_gems
EUPATH_0015330,2,"Adenovirus Ct value, by TAC result",variable,Raw virus data for stool,gates_maled_phase3 | gates_gems
EUPATH_0011964,2,Adenovirus in stool,category,Virus in stool,gates_maled_phase3 | gates_gems
EUPATH_0010035,2,Administrative information,category,Participant,gates_maled_phase3 | gates_gems
EUPATH_0015332,2,"Aeromonas Ct value, by TAC result",variable,Raw bacteria data for stool,gates_maled_phase3 | gates_gems
EUPATH_0011965,2,Aeromonas in stool,category,Bacteria in stool,gates_maled_phase3 | gates_gems
EUPATH_0010603,2,"Aeromonas, by bacteriology",value,Aeromonas in stool,gates_maled_phase3 | gates_gems
EUPATH_0000579,2,Age (days),"variable, derived | variable",Observation,gates_maled_phase3 | gates_gems
EUPATH_0015333,2,"Ancylostoma Ct value, by TAC result",variable,Raw eukaryota data for stool,gates_maled_phase3 | gates_gems
EUPATH_0000649,2,Anthropometry,category,Observation,gates_maled_phase3 | gates_gems
EUPATH_0015334,2,"Ascaris Ct value, by TAC result",variable,Raw eukaryota data for stool,gates_maled_phase3 | gates_gems
EUPATH_0000144,2,Assets,multifilter,Socioeconomic factors,gates_maled_phase3 | gates_gems
EUPATH_0015335,2,"Astrovirus Ct value, by TAC result",variable,Raw virus data for stool,gates_maled_phase3 | gates_gems
EUPATH_0011985,2,Astrovirus in stool,category,Virus in stool,gates_maled_phase3 | gates_gems
EUPATH_0015397,2,"Atypical EPEC Ct value, by TAC result",variable,Raw bacteria data for stool,gates_maled_phase3 | gates_gems
EUPATH_0010619,2,"Atypical EPEC, by PCR",value,Escherichia in stool,gates_maled_phase3 | gates_gems
EUPATH_0000662,2,BMI-for-age z-score,variable,Anthropometry,gates_maled_phase3 | gates_gems
EUPATH_0011967,2,Bacteria in stool,multifilter,Stool microbiology test,gates_maled_phase3 | gates_gems
EUPATH_0015337,2,"Bacteroides fragilis Ct value, by TAC result",variable,Raw bacteria data for stool,gates_maled_phase3 | gates_gems
EFO_0004950,2,Birth date,variable,Demographics,gates_maled_phase3 | gates_gems
EUPATH_0011690,2,Breastfeeding summary,category,Feeding,gates_maled_phase3 | gates_gems
EUPATH_0015338,2,"Campylobacter Ct value, by TAC result",variable,Raw bacteria data for stool,gates_maled_phase3 | gates_gems
EUPATH_0011969,2,Campylobacter in stool,category,Bacteria in stool,gates_maled_phase3 | gates_gems
EUPATH_0015341,2,"Campylobacter jejuni or C. coli Ct value, by TAC result",variable,Raw bacteria data for stool,gates_maled_phase3 | gates_gems
ENVO_00000004,2,Country,variable,Geographic location,gates_maled_phase3 | gates_gems
EUPATH_0015342,2,"Cryptosporidium Ct value, by TAC result",variable,Raw eukaryota data for stool,gates_maled_phase3 | gates_gems
EUPATH_0015343,2,"Cryptosporidium hominis Ct value, by TAC result",variable,Raw eukaryota data for stool,gates_maled_phase3 | gates_gems
EUPATH_0011971,2,Cryptosporidium in stool,category,Eukaryota in stool,gates_maled_phase3 | gates_gems
EUPATH_0015344,2,"Cryptosporidium parvum Ct value, by TAC result",variable,Raw eukaryota data for stool,gates_maled_phase3 | gates_gems
EUPATH_0011000,2,"Cryptosporidium, by ELISA",value,Cryptosporidium in stool,gates_maled_phase3 | gates_gems
EUPATH_0015345,2,"Cyclospora Ct value, by TAC result",variable,Raw eukaryota data for stool,gates_maled_phase3 | gates_gems
EUPATH_0010981,2,Demographics,category,Participant,gates_maled_phase3 | gates_gems
EUPATH_0010238,2,Diarrheal episode duration (days),variable,Diarrheal episodes,gates_maled_phase3 | gates_gems
EUPATH_0010016,2,Diarrheal episodes,category,Observation,gates_maled_phase3 | gates_gems
ENVO_00003064,2,Drinking water source,variable | multifilter,Household water,gates_maled_phase3 | gates_gems
EUPATH_0000303,2,Dwelling characteristics,category,Household,gates_maled_phase3 | gates_gems
EUPATH_0000302,2,Dwelling facilities,category,Household,gates_maled_phase3 | gates_gems
EUPATH_0015389,2,"EAEC Ct value, by TAC result",variable,Raw bacteria data for stool,gates_maled_phase3 | gates_gems
EUPATH_0015346,2,"EAEC aaiC Ct value, by TAC result",variable,Raw bacteria data for stool,gates_maled_phase3 | gates_gems
EUPATH_0010659,2,"EAEC aaiC-pos, by PCR result",variable,Raw bacteria data for stool,gates_maled_phase3 | gates_gems
EUPATH_0015348,2,"EAEC aatA Ct value, by TAC result",variable,Raw bacteria data for stool,gates_maled_phase3 | gates_gems
EUPATH_0010655,2,"EAEC aatA-pos or aaiC-pos, by PCR",value,Escherichia in stool,gates_maled_phase3 | gates_gems
EUPATH_0010663,2,"EAEC aatA-pos, by PCR result",variable,Raw bacteria data for stool,gates_maled_phase3 | gates_gems
EUPATH_0015349,2,"EAEC aggR Ct value, by TAC result",variable,Raw bacteria data for stool,gates_maled_phase3 | gates_gems
EUPATH_0015353,2,"EPEC bfpA Ct value, by TAC result",variable,Raw bacteria data for stool,gates_maled_phase3 | gates_gems
EUPATH_0015318,2,"EPEC bfpA-pos, by PCR result",variable,Raw bacteria data for stool,gates_maled_phase3 | gates_gems
